id,t,dTot,dFed,rFed,oFed,sFed
p16,0,0,0,0,20,0
p16,3,40,20,0,19,0
p16,31,40,20,0,0,0
p16,33,40,20,1,0,0
p16,34,40,20,0,0,0
p16,61,40,20,7,0,0
p16,91,40,20,8,0,0
p16,121,40,20,11,0,0
p16,122,40,20,18,0,0
p16,601,39,19,18,1,0
p16,602,39,19,19,1,0
p16,603,39,19,18,1,0
p16,605,39,19,19,1,0
p16,608,39,19,19,0,0
p16,609,39,19,18,0,0
p16,610,39,19,17,0,0
p16,611,39,19,16,0,0
p16,612,39,19,14,0,0
p16,613,39,19,13,0,0
p16,614,39,19,12,0,0
p16,615,39,19,11,0,0
p16,616,39,19,10,0,0
p16,617,39,19,7,0,0
p16,618,39,19,4,0,0
p16,619,39,19,2,0,0
p16,631,37,17,2,2,0
p16,632,35,15,2,4,0
p16,633,32,12,2,7,0
p16,634,30,10,2,9,0
p16,635,28,8,2,11,0
p16,636,25,5,2,14,0
p16,637,23,3,2,16,0
p16,638,22,2,2,17,0
p16,639,21,1,2,8,9
p16,640,20,0,2,9,9
p16,641,20,0,2,9,9
p16,642,20,0,1,8,8
p16,643,20,0,1,7,7
p16,644,20,0,1,5,5
p16,645,20,0,1,4,4
p16,646,20,0,0,2,2
p16,676,20,0,0,1,1
p16,677,20,0,0,0,0
p16,681,19,0,0,1,0
p16,682,18,0,0,2,0
p16,683,17,0,0,3,0
p16,684,16,0,0,4,0
p16,687,15,0,0,5,0
p16,691,14,0,0,6,0
p16,693,13,0,0,7,0
p16,707,13,0,0,7,7
p16,718,12,0,0,8,7
p16,727,11,0,0,9,7
p16,737,11,0,0,9,9
p16,745,10,0,0,10,9
p16,747,8,0,0,12,9
p16,751,7,0,0,13,9
p16,752,6,0,0,14,9
p16,753,5,0,0,15,9
p16,754,4,0,0,16,9
p16,755,3,0,0,17,9
p16,758,2,0,0,18,9
p16,763,2,0,0,18,8
p16,1200,42,22,0,18,8
p16,1217,42,22,0,8,8
p16,1218,42,22,0,7,7
p16,1219,42,22,0,5,5
p16,1220,42,22,0,4,4
p16,1221,42,22,0,3,3
p16,1222,42,22,0,2,2
p16,1223,42,22,0,0,0
p16,1229,42,22,1,0,0
p16,1231,42,22,2,0,0
p16,1232,42,22,3,0,0
p16,1233,42,22,4,0,0
p16,1237,42,22,3,0,0
p16,1238,40,20,4,2,0
p16,1243,40,20,4,2,0
p16,1246,40,20,4,2,0
p16,1247,40,20,4,2,0
p16,1248,40,20,5,2,0
p16,1249,40,20,6,2,0
p16,1250,40,20,5,2,0
p16,1251,40,20,5,2,0
p16,1252,40,20,9,2,0
p16,1254,40,20,8,1,1
p16,1255,40,20,7,0,0
p16,1256,40,20,7,0,0
p16,1257,40,20,6,0,0
p16,1258,40,20,5,0,0
p16,1260,40,20,4,0,0
p16,1263,40,20,3,0,0
p16,1268,40,20,2,0,0
p16,1270,40,20,1,0,0
p16,1287,40,20,0,0,0
p16,1298,40,20,1,0,0
p16,1299,40,20,0,0,0
p16,1329,40,20,1,0,0
p16,1330,40,20,2,0,0
p16,1334,40,20,3,0,0
p16,1336,40,20,4,0,0
p16,1341,40,20,5,0,0
p16,1342,40,20,4,0,0
p16,1346,40,20,5,0,0
p16,1347,40,20,6,0,0
p16,1351,40,20,7,0,0
p16,1354,40,20,8,0,0
p16,1368,40,20,9,0,0
p16,1375,40,20,10,0,0
p16,1376,40,20,9,0,0
p16,1431,40,20,10,0,0
p16,1432,40,20,9,0,0
p16,1438,40,20,10,0,0
p16,1449,40,20,11,0,0
p16,1453,40,20,12,0,0
p16,1464,40,20,13,0,0
p16,1470,40,20,14,0,0
p16,1482,40,20,15,0,0
p16,1498,40,20,16,0,0
p16,1500,40,20,15,0,0
p16,1514,40,20,16,0,0
p16,1517,40,20,17,0,0
p16,1532,40,20,18,0,0
p16,1548,40,20,19,0,0
p16,1558,40,20,20,0,0
p16,1802,40,20,19,0,0
p16,1805,40,20,15,0,0
p16,1809,40,20,14,0,0
p16,1813,40,20,13,0,0
p16,1816,40,20,11,0,0
p16,1818,38,18,11,2,0
p16,1819,36,16,11,4,0
p16,1820,35,15,11,5,0
p16,1821,33,13,11,7,0
p16,1822,31,11,10,9,0
p16,1823,30,10,9,10,0
p16,1824,29,9,8,11,0
p16,1825,28,8,6,1,3
p16,1826,28,8,5,1,3
p16,1827,27,7,4,2,3
p16,1828,26,6,3,1,2
p16,1829,24,4,3,3,2
p16,1830,23,3,3,4,2
p16,1832,22,2,2,5,2
p16,1835,22,2,0,5,2
p16,1853,21,1,0,6,2
p16,1855,20,0,0,7,2
p16,1858,20,0,0,1,1
p16,1859,20,0,0,0,0
p16,1934,19,0,0,1,0
p16,1937,18,0,0,2,0
p16,1939,16,0,0,4,0
p16,1949,16,0,0,4,4
p16,1963,15,0,0,5,4
p16,1964,14,0,0,6,4
p16,1966,13,0,0,7,4
p16,1969,12,0,0,8,4
p16,1979,12,0,0,8,6
p16,1993,11,0,0,9,6
p16,2009,11,0,0,9,8
p16,2031,10,0,0,10,8
p16,2039,10,0,0,10,10
p16,2050,9,0,0,11,10
p16,2061,8,0,0,12,10
p16,2069,8,0,0,12,11
p16,2091,6,0,0,14,11
p16,2092,5,0,0,15,11
p16,2117,4,0,0,16,11
p16,2119,3,0,0,17,11
p16,2120,2,0,0,18,11
p16,2129,2,0,0,18,12
p16,2149,1,0,0,19,12
