t,kappa,nof,cycle
0,0.0,fdnof,30
1,0.23017902813299232,fdnof,30
30,0.6339144215530903,fdnof,30
31,0.9852216748768473,fdnof,30
32,1.0,fdnof,30
60,1.0,fdnof,30
61,1.0,fdnof,30
91,1.0,fdnof,30
121,1.0,fdnof,30
122,1.0,fdnof,30
152,1.0,fdnof,30
182,1.0,fdnof,30
242,1.0,fdnof,30
390,1.0,fdnof,30
391,1.0,fdnof,30
421,1.0,fdnof,30
570,1.0,fdnof,30
571,1.0,fdnof,30
601,1.0,fdnof,30
602,1.0,fdnof,30
663,1.0,fdnof,30
871,1.0,fdnof,30
997,1.0,fdnof,30
1142,1.0,fdnof,30
1232,1.0,fdnof,30
1323,1.0,fdnof,30
1383,1.0,fdnof,30
1387,1.0,fdnof,30
1388,1.0,fdnof,30
1414,1.0,fdnof,30
1449,1.0,fdnof,30
1594,1.0,fdnof,30
1595,1.0,fdnof,30
1800,1.6924939467312348,fdnof,30
1801,1.7272727272727273,fdnof,30
1802,1.735159817351598,fdnof,30
1804,1.7511520737327189,fdnof,30
1805,1.7674418604651163,fdnof,30
1806,1.853658536585366,fdnof,30
1807,1.9095477386934674,fdnof,30
1808,1.9387755102040816,fdnof,30
1809,2.021276595744681,fdnof,30
1810,2.1714285714285713,fdnof,30
1811,2.3824451410658307,fdnof,30
1812,2.7240143369175627,fdnof,30
1813,3.1535269709543567,fdnof,30
1814,3.5514018691588785,fdnof,30
1815,4.130434782608695,fdnof,30
1816,4.810126582278481,fdnof,30
1817,5.467625899280575,fdnof,30
1818,6.129032258064516,fdnof,30
1819,8.539325842696629,fdnof,30
1820,11.176470588235293,fdnof,30
1821,15.510204081632653,fdnof,30
1822,21.714285714285715,fdnof,30
1823,31.666666666666668,fdnof,30
1824,31.666666666666668,fdnof,30
1830,20.18918918918919,fdnof,30
1831,8.679012345679013,fdnof,30
1832,5.954545454545454,fdnof,30
1833,4.544776119402985,fdnof,30
1834,3.2045454545454546,fdnof,30
1835,2.7083333333333335,fdnof,30
1836,2.8452380952380953,fdnof,30
1837,3.5271317829457365,fdnof,30
1838,2.801324503311258,fdnof,30
1839,2.670967741935484,fdnof,30
1840,3.2845528455284554,fdnof,30
1841,3.4869565217391303,fdnof,30
1842,3.9603960396039604,fdnof,30
1843,4.651162790697675,fdnof,30
1844,5.2631578947368425,fdnof,30
1845,6.451612903225806,fdnof,30
1846,7.2727272727272725,fdnof,30
1847,8.333333333333334,fdnof,30
1856,8.0,fdnof,30
1861,7.6923076923076925,fdnof,30
1862,7.8431372549019605,fdnof,30
1863,9.30232558139535,fdnof,30
1864,8.695652173913043,fdnof,30
1865,9.75609756097561,fdnof,30
1866,10.256410256410257,fdnof,30
1867,10.526315789473685,fdnof,30
1868,10.526315789473685,fdnof,30
1871,10.526315789473685,fdnof,30
1872,10.526315789473685,fdnof,30
1873,10.81081081081081,fdnof,30
1874,10.81081081081081,fdnof,30
1875,9.523809523809524,fdnof,30
1876,9.523809523809524,fdnof,30
1877,9.090909090909092,fdnof,30
1878,8.51063829787234,fdnof,30
1879,7.8431372549019605,fdnof,30
1880,6.779661016949152,fdnof,30
1881,6.349206349206349,fdnof,30
1882,5.633802816901408,fdnof,30
1883,5.128205128205129,fdnof,30
1884,4.819277108433735,fdnof,30
1885,4.597701149425287,fdnof,30
1886,4.123711340206185,fdnof,30
1887,3.883495145631068,fdnof,30
1888,3.7037037037037037,fdnof,30
1889,3.4482758620689653,fdnof,30
1890,3.3057851239669422,fdnof,30
1891,3.2,fdnof,30
1892,3.1746031746031744,fdnof,30
