t,kappa,nof,cycle
0,0.0,sdnof,30
1,0.22988505747126436,sdnof,30
30,0.6003159557661928,sdnof,30
31,0.966183574879227,sdnof,30
32,1.0,sdnof,30
60,1.0,sdnof,30
61,1.0,sdnof,30
91,1.0,sdnof,30
121,1.0,sdnof,30
122,1.0,sdnof,30
152,1.0,sdnof,30
182,1.0,sdnof,30
212,1.0,sdnof,30
242,1.0,sdnof,30
1800,1.5961538461538463,sdnof,30
1801,1.7334851936218678,sdnof,30
1802,1.7575057736720554,sdnof,30
1803,1.8697788697788698,sdnof,30
1804,2.1436619718309857,sdnof,30
1805,2.4869281045751634,sdnof,30
1806,3.044,sdnof,30
1807,3.9635416666666665,sdnof,30
1808,5.637037037037037,sdnof,30
1809,8.848837209302326,sdnof,30
1810,12.079365079365079,sdnof,30
1811,20.56756756756757,sdnof,30
1812,20.56756756756757,sdnof,30
1830,11.870967741935484,sdnof,30
1831,6.321100917431193,sdnof,30
1832,5.1525423728813555,sdnof,30
1833,4.554621848739496,sdnof,30
1834,8.131147540983607,sdnof,30
1835,3.1603053435114505,sdnof,30
1836,3.1825396825396823,sdnof,30
1837,4.2105263157894735,sdnof,30
1838,7.8431372549019605,sdnof,30
1839,10.256410256410257,sdnof,30
1854,10.0,sdnof,30
1855,9.75609756097561,sdnof,30
1856,9.523809523809524,sdnof,30
1857,9.30232558139535,sdnof,30
1859,8.88888888888889,sdnof,30
1860,8.51063829787234,sdnof,30
1862,10.256410256410257,sdnof,30
1863,10.81081081081081,sdnof,30
1864,10.81081081081081,sdnof,30
1867,10.81081081081081,sdnof,30
1868,11.428571428571429,sdnof,30
1882,11.11111111111111,sdnof,30
1883,10.256410256410257,sdnof,30
1884,8.88888888888889,sdnof,30
1885,7.547169811320755,sdnof,30
1886,5.970149253731344,sdnof,30
1887,5.333333333333333,sdnof,30
1888,4.444444444444445,sdnof,30
1889,3.8461538461538463,sdnof,30
1890,3.3057851239669422,sdnof,30
1891,2.962962962962963,sdnof,30
1892,2.857142857142857,sdnof,30
1893,2.9411764705882355,sdnof,30
1894,3.076923076923077,sdnof,30
1895,3.053435114503817,sdnof,30
1896,2.962962962962963,sdnof,30
1898,2.985074626865672,sdnof,30
1899,2.9411764705882355,sdnof,30
1912,2.9197080291970803,sdnof,30
1914,2.898550724637681,sdnof,30
1915,2.857142857142857,sdnof,30
1916,2.816901408450704,sdnof,30
1917,2.797202797202797,sdnof,30
1918,2.6666666666666665,sdnof,30
1919,2.6315789473684212,sdnof,30
1920,2.6143790849673203,sdnof,30
1922,2.5,sdnof,30
1923,2.484472049689441,sdnof,30
1924,2.5,sdnof,30
