id,t,dTot,dFed,rFed,oFed,sFed
p26,0,0,0,0,20,0
p26,31,0,0,0,20,1
p26,61,0,0,0,20,20
p26,601,40,20,0,19,19
p26,602,40,20,0,14,13
p26,603,40,20,0,10,10
p26,604,40,20,0,8,7
p26,605,40,20,0,6,5
p26,606,40,20,0,3,2
p26,607,40,20,0,0,0
p26,638,40,20,0,0,0
p26,668,40,20,0,0,0
p26,695,40,20,0,0,0
p26,697,40,20,3,0,0
p26,698,40,20,5,0,0
p26,728,40,20,4,0,0
p26,729,40,20,5,0,0
p26,755,40,20,8,0,0
p26,756,40,20,9,0,0
p26,757,40,20,10,0,0
p26,758,40,20,13,0,0
p26,759,40,20,14,0,0
p26,789,40,20,15,0,0
p26,819,40,20,14,0,0
p26,878,40,20,15,0,0
p26,904,40,20,16,0,0
p26,965,40,20,17,0,0
p26,966,40,20,19,0,0
p26,1055,40,20,20,0,0
p26,1146,40,20,19,0,0
p26,1202,34,14,19,6,0
p26,1203,31,11,19,9,0
p26,1204,28,8,19,12,0
p26,1205,26,6,18,14,0
p26,1206,24,4,16,16,0
p26,1207,21,1,12,19,0
p26,1208,20,0,11,20,0
p26,1209,20,0,10,10,4
p26,1210,20,0,7,10,4
p26,1211,20,0,3,10,4
p26,1212,20,0,2,10,4
p26,1213,20,0,1,10,4
p26,1214,20,0,0,10,4
p26,1239,20,0,0,7,7
p26,1240,20,0,0,6,5
p26,1324,19,0,0,1,0
p26,1325,18,0,0,2,0
p26,1326,16,0,0,4,0
p26,1330,16,0,0,4,4
p26,1358,14,0,0,6,4
p26,1359,10,0,0,10,4
p26,1360,10,0,0,10,10
p26,1361,10,0,0,10,10
p26,1385,9,0,0,11,10
p26,1387,7,0,0,13,10
p26,1388,6,0,0,14,10
p26,1391,6,0,0,14,14
p26,1421,6,0,0,14,14
p26,1451,6,0,0,14,14
p26,1481,6,0,0,14,14
p26,1508,4,0,0,16,14
p26,1511,4,0,0,16,16
p26,1538,3,0,0,17,16
p26,1568,2,0,0,18,16
p26,1629,0,0,0,20,16
p26,1691,0,0,0,20,17
p26,1721,0,0,0,20,19
p26,1751,0,0,0,20,20
p26,1800,40,20,0,20,20
p26,1811,40,20,0,19,19
