id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p41,0,0,0,0,0,0,0,0,0
p41,1,40,40,0,0,0,0,40,1
p41,6,40,40,1,0,0,0,39,2
p41,7,40,40,0,0,0,0,40,5
p41,8,40,40,0,0,0,0,40,9
p41,9,40,40,0,0,0,0,40,14
p41,10,40,40,0,0,0,0,40,34
p41,11,40,40,8,0,0,0,32,26
p41,12,40,40,12,0,0,0,28,22
p41,13,40,40,14,0,0,0,26,18
p41,14,40,40,16,0,0,0,24,2
p41,15,40,40,16,0,0,0,24,5
p41,16,40,40,17,0,0,0,23,17
p41,17,40,40,20,0,0,0,20,13
p41,18,40,40,22,0,0,0,18,9
p41,19,40,40,22,0,0,0,18,7
p41,20,40,40,22,0,0,0,18,6
p41,21,40,40,22,0,0,0,18,14
p41,22,40,40,23,0,0,0,17,11
p41,23,40,40,23,0,0,0,17,8
p41,24,40,40,23,0,0,0,17,4
p41,25,40,40,23,0,0,0,17,2
p41,26,40,40,23,0,0,0,17,16
p41,27,40,40,23,0,0,0,17,12
p41,28,40,40,23,0,0,0,17,9
p41,29,40,40,23,0,0,0,17,6
p41,30,40,40,23,0,0,0,17,4
p41,31,40,40,23,0,0,0,17,14
p41,32,40,40,23,0,0,0,17,7
p41,33,40,40,23,0,0,0,17,6
p41,34,40,40,23,0,0,0,17,5
p41,35,40,40,23,0,0,0,17,1
p41,36,40,40,23,0,0,0,17,17
p41,37,40,40,23,0,0,0,17,15
p41,38,40,40,23,0,0,0,17,14
p41,39,40,40,23,0,0,0,17,11
p41,40,40,40,23,0,0,0,17,9
p41,41,40,40,23,0,0,0,17,17
p41,42,40,40,23,0,0,0,17,10
p41,43,40,40,23,0,0,0,17,8
p41,44,40,40,23,0,0,0,17,7
p41,45,40,40,23,0,0,0,17,2
p41,46,40,40,23,0,0,0,17,14
p41,47,40,40,23,0,0,0,17,11
p41,48,40,40,23,0,0,0,17,9
p41,49,40,40,23,0,0,0,17,7
p41,50,40,40,23,0,0,0,17,4
p41,51,40,40,23,0,0,0,17,0
p41,52,40,40,23,0,0,0,17,15
p41,53,40,40,23,0,0,0,17,10
p41,54,40,40,23,0,0,0,17,5
p41,55,40,40,23,0,0,0,17,2
p41,56,40,40,23,0,0,0,17,1
p41,57,40,40,23,0,0,0,17,13
p41,58,40,40,23,0,0,0,17,9
p41,59,40,40,23,0,0,0,17,6
p41,60,40,40,23,0,0,0,17,3
p41,61,40,40,23,0,0,0,17,1
p41,62,40,40,23,0,0,0,17,15
p41,64,40,40,23,0,0,0,17,12
p41,65,40,40,23,0,0,0,17,10
p41,66,40,40,23,0,0,0,17,6
p41,67,40,40,23,0,0,0,17,13
p41,68,40,40,23,0,0,0,17,12
p41,69,40,40,23,0,0,0,17,10
p41,70,40,40,23,0,0,0,17,9
p41,71,40,40,23,0,0,0,17,8
p41,72,40,40,23,0,0,0,17,5
p41,73,40,40,23,0,0,0,17,12
p41,75,40,40,23,0,0,0,17,8
p41,76,40,40,23,0,0,0,17,6
p41,78,40,40,23,0,0,0,17,14
p41,79,40,40,23,0,0,0,17,13
p41,80,40,40,23,0,0,0,17,12
p41,81,40,40,23,0,0,0,17,7
p41,82,40,40,23,0,0,0,17,5
p41,83,40,40,23,0,0,0,17,1
p41,84,40,40,23,0,0,0,17,13
p41,85,40,40,23,0,0,0,17,11
p41,86,40,40,23,0,0,0,17,8
p41,87,40,40,23,0,0,0,17,6
p41,88,40,40,23,0,0,0,17,5
p41,89,40,40,23,0,0,0,17,10
p41,90,40,40,23,0,0,0,17,11
p41,91,40,40,23,0,0,0,17,12
p41,92,40,40,23,0,0,0,17,9
p41,93,40,40,23,0,0,0,17,7
p41,94,40,40,23,0,0,0,17,6
p41,95,40,40,23,0,0,0,17,16
p41,96,40,40,23,0,0,0,17,13
p41,97,40,40,23,0,0,0,17,11
p41,98,40,40,23,0,0,0,17,6
p41,99,40,40,23,0,0,0,17,3
p41,100,40,40,23,0,0,0,17,5
p41,101,40,40,23,0,0,0,17,12
p41,102,40,40,23,0,0,0,17,14
p41,103,40,40,23,0,0,0,17,11
p41,104,40,40,23,0,0,0,17,10
p41,105,40,40,23,0,0,0,17,7
p41,106,40,40,23,0,0,0,17,5
p41,107,40,40,23,0,0,0,17,14
p41,108,40,40,23,0,0,0,17,11
p41,109,40,40,23,0,0,0,17,6
p41,110,40,40,23,0,0,0,17,5
p41,111,40,40,23,0,0,0,17,4
p41,112,40,40,23,0,0,0,17,12
p41,113,40,40,23,0,0,0,17,12
p41,114,40,40,23,0,0,0,17,11
p41,115,40,40,23,0,0,0,17,10
p41,116,40,40,23,0,0,0,17,8
p41,117,40,40,23,0,0,0,17,6
p41,118,40,40,23,0,0,0,17,13
p41,119,40,40,23,0,0,0,17,11
p41,120,40,40,23,0,0,0,17,9
p41,121,40,40,23,0,0,0,17,8
p41,122,40,40,23,0,0,0,17,7
p41,124,40,40,23,0,0,0,17,12
p41,126,40,40,23,0,0,0,17,10
p41,127,40,40,23,0,0,0,17,6
p41,128,40,40,23,0,0,0,17,5
p41,129,40,40,23,0,0,0,17,7
p41,130,40,40,23,0,0,0,17,9
p41,131,40,40,23,0,0,0,17,14
p41,132,40,40,23,0,0,0,17,12
p41,134,40,40,23,0,0,0,17,8
p41,135,40,40,23,0,0,0,17,6
p41,136,40,40,23,0,0,0,17,11
p41,137,40,40,23,0,0,0,17,15
p41,138,40,40,23,0,0,0,17,11
p41,139,40,40,23,0,0,0,17,10
p41,140,40,40,23,0,0,0,17,9
p41,142,40,40,23,0,0,0,17,12
p41,143,40,40,23,0,0,0,17,15
p41,144,40,40,23,0,0,0,17,11
p41,145,40,40,23,0,0,0,17,8
p41,146,40,40,23,0,0,0,17,7
p41,147,40,40,23,0,0,0,17,4
p41,148,40,40,23,0,0,0,17,12
p41,149,40,40,23,0,0,0,17,13
p41,150,40,40,23,0,0,0,17,12
p41,152,40,40,23,0,0,0,17,8
p41,153,40,40,23,0,0,0,17,6
p41,154,40,40,23,0,0,0,17,15
p41,155,40,40,23,0,0,0,17,15
p41,156,40,40,23,0,0,0,17,13
p41,157,40,40,23,0,0,0,17,12
p41,158,40,40,23,0,0,0,17,11
p41,159,40,40,23,0,0,0,17,10
p41,160,40,40,23,0,0,0,17,17
p41,161,40,40,23,0,0,0,17,16
p41,162,40,40,23,0,0,0,17,12
p41,163,40,40,23,0,0,0,17,11
p41,164,40,40,23,0,0,0,17,7
p41,165,40,40,23,0,0,0,17,10
p41,166,40,40,23,0,0,0,17,14
p41,167,40,40,23,0,0,0,17,11
