id,t,dTot,dFed,rFed,oFed,sFed,unat
p15,0,0,0,0,20,0,0
p15,1,30,10,0,18,0,0
p15,6,30,10,0,10,0,0
p15,7,30,10,0,0,0,3
p15,8,30,10,0,0,0,10
p15,10,30,10,1,0,0,9
p15,11,30,10,5,0,0,5
p15,12,30,10,6,0,0,4
p15,13,30,10,6,0,0,4
p15,15,30,10,7,0,0,3
p15,16,30,10,8,0,0,1
p15,18,30,10,9,0,0,1
p15,20,30,10,10,0,0,0
p15,601,28,8,7,2,0,0
p15,602,28,8,5,2,0,0
p15,603,28,8,2,2,0,0
p15,604,28,8,2,0,0,5
p15,606,20,0,1,8,0,4
p15,607,10,0,1,18,0,4
p15,608,10,0,1,18,0,3
p15,609,10,0,2,18,1,1
p15,610,10,0,2,18,2,1
p15,614,9,0,3,14,11,0
p15,615,7,0,2,15,13,0
p15,618,6,0,1,15,13,0
p15,619,3,0,1,18,12,0
p15,620,3,0,1,18,14,0
p15,624,2,0,0,18,14,0
p15,625,0,0,0,20,16,0
p15,630,0,0,0,20,17,0
p15,725,0,0,0,20,15,0
p15,1200,30,10,0,20,15,0
p15,1205,30,10,0,13,13,0
p15,1206,30,10,0,0,0,4
p15,1207,30,10,0,0,0,3
p15,1208,30,10,0,0,0,2
p15,1209,30,10,2,0,0,0
p15,1211,30,10,2,0,0,6
p15,1212,30,10,4,0,0,3
p15,1213,30,10,4,0,0,2
p15,1216,30,10,4,0,0,1
p15,1217,30,10,5,0,0,1
p15,1220,30,10,5,0,0,0
p15,1222,30,10,5,0,0,5
p15,1224,30,10,5,0,0,4
p15,1225,30,10,5,0,0,2
p15,1226,30,10,5,0,0,0
p15,1227,30,10,5,0,0,4
p15,1229,30,10,5,0,0,3
p15,1231,30,10,5,0,0,2
p15,1232,30,10,5,0,0,4
p15,1233,30,10,5,0,0,3
p15,1234,30,10,5,0,0,2
p15,1236,30,10,5,0,0,0
p15,1237,30,10,5,0,0,1
p15,1241,30,10,5,0,0,0
p15,1242,30,10,5,0,0,2
p15,1243,30,10,6,0,0,1
p15,1244,30,10,7,0,0,0
p15,1247,30,10,7,0,0,3
p15,1249,30,10,7,0,0,2
p15,1251,30,10,7,0,0,1
p15,1252,30,10,7,0,0,1
p15,1253,30,10,7,0,0,0
p15,1257,30,10,7,0,0,1
p15,1259,30,10,7,0,0,0
p15,1262,30,10,8,0,0,1
p15,1267,30,10,8,0,0,1
p15,1271,30,10,8,0,0,0
p15,1272,30,10,8,0,0,2
p15,1276,30,10,8,0,0,1
p15,1277,30,10,8,0,0,2
p15,1278,30,10,9,0,0,1
p15,1282,30,10,9,0,0,1
p15,1283,30,10,9,0,0,0
p15,1287,30,10,9,0,0,1
p15,1288,30,10,9,0,0,0
p15,1292,30,10,9,0,0,1
p15,1293,30,10,10,0,0,0
p15,1802,30,10,8,0,0,0
p15,1803,30,10,3,0,0,0
p15,1804,30,10,1,0,0,0
p15,1805,24,4,0,6,0,0
p15,1806,10,0,0,20,0,0
p15,1807,10,0,0,10,5,0
p15,1811,9,0,0,11,5,0
p15,1812,8,0,0,12,6,0
p15,1816,7,0,0,13,6,0
p15,1817,6,0,0,14,7,0
p15,1822,5,0,0,15,8,0
p15,1832,5,0,0,15,9,0
p15,1837,5,0,0,15,10,0
p15,1846,4,0,0,16,10,0
p15,1847,3,0,0,17,10,0
p15,1867,2,0,0,18,10,0
p15,1882,1,0,0,19,10,0
p15,1897,0,0,0,20,10,0
p15,2400,30,10,0,20,10,0
p15,2402,30,10,0,7,7,0
p15,2403,30,10,0,0,0,6
p15,2404,30,10,1,0,0,5
p15,2405,30,10,2,0,0,4
p15,2406,30,10,2,0,0,2
p15,2408,30,10,2,0,0,6
p15,2409,30,10,2,0,0,3
p15,2410,30,10,3,0,0,2
p15,2413,30,10,3,0,0,6
p15,2414,30,10,3,0,0,4
p15,2415,30,10,3,0,0,3
