id,t,dTot,dFed,rFed,oFed,sFed,unat
p39,0,0,0,0,20,0,0
p39,8,0,0,0,20,1,0
p39,23,0,0,0,20,2,0
p39,33,0,0,0,20,3,0
p39,38,0,0,0,20,4,0
p39,60,0,0,0,20,4,0
p39,120,0,0,0,20,4,0
p39,180,0,0,0,20,4,0
p39,240,0,0,0,20,4,0
p39,300,0,0,0,20,4,0
p39,360,0,0,0,20,4,0
p39,420,0,0,0,20,4,0
p39,480,0,0,0,20,4,0
p39,540,0,0,0,20,4,0
p39,600,30,10,0,20,4,0
p39,603,30,10,0,0,0,10
p39,604,30,10,0,0,0,4
p39,607,30,10,1,0,0,1
p39,608,30,10,1,0,0,1
p39,609,30,10,6,0,0,1
p39,610,30,10,6,0,0,1
p39,615,30,10,5,0,0,1
p39,617,30,10,6,0,0,0
p39,620,30,10,10,0,0,0
p39,660,30,10,10,0,0,0
p39,720,30,10,10,0,0,0
p39,780,30,10,10,0,0,0
p39,840,30,10,10,0,0,0
p39,900,30,10,10,0,0,0
p39,960,30,10,10,0,0,0
p39,1020,30,10,10,0,0,0
p39,1080,30,10,10,0,0,0
p39,1140,30,10,10,0,0,0
p39,1200,30,10,10,0,0,0
p39,1202,30,10,8,0,0,0
p39,1203,10,0,8,20,0,0
p39,1205,10,0,6,17,3,0
p39,1206,10,0,0,17,3,0
p39,1210,8,0,0,12,2,0
p39,1214,5,0,0,15,2,0
p39,1220,4,0,0,16,3,0
p39,1224,3,0,0,17,3,0
p39,1225,0,0,0,20,4,0
p39,1230,0,0,0,20,5,0
p39,1245,0,0,0,20,6,0
p39,1260,0,0,0,20,6,0
p39,1265,0,0,0,20,7,0
p39,1320,0,0,0,20,7,0
p39,1380,0,0,0,20,7,0
p39,1440,0,0,0,20,7,0
p39,1500,0,0,0,20,7,0
p39,1560,0,0,0,20,7,0
p39,1620,0,0,0,20,7,0
p39,1680,0,0,0,20,7,0
p39,1740,0,0,0,20,7,0
p39,1800,30,10,0,15,7,0
p39,1801,30,10,0,0,0,4
p39,1802,30,10,1,0,0,2
p39,1803,30,10,1,0,0,1
p39,1804,30,10,2,0,0,0
p39,1806,30,10,3,0,0,0
p39,1807,30,10,4,0,0,0
p39,1811,30,10,3,0,0,1
p39,1812,30,10,4,0,0,0
p39,1816,30,10,4,0,0,3
p39,1817,30,10,7,0,0,0
p39,1821,30,10,8,0,0,1
p39,1822,30,10,9,0,0,0
p39,1826,30,10,9,0,0,0
p39,1831,30,10,9,0,0,0
p39,1836,30,10,9,0,0,0
p39,1841,30,10,9,0,0,0
p39,1846,30,10,9,0,0,1
p39,1848,30,10,9,0,0,0
p39,1851,30,10,9,0,0,0
p39,1856,30,10,9,0,0,0
p39,1860,30,10,9,0,0,0
p39,1861,30,10,9,0,0,1
p39,1864,30,10,10,0,0,0
p39,1920,30,10,10,0,0,0
p39,1980,30,10,10,0,0,0
p39,2040,30,10,10,0,0,0
p39,2100,30,10,10,0,0,0
p39,2160,30,10,10,0,0,0
p39,2220,30,10,10,0,0,0
p39,2280,30,10,10,0,0,0
p39,2340,30,10,10,0,0,0
p39,2400,27,7,10,3,0,0
p39,2401,10,0,9,20,0,0
p39,2402,9,0,5,20,0,0
p39,2403,9,0,3,20,0,0
p39,2404,8,0,1,20,0,0
p39,2405,8,0,0,20,0,0
p39,2406,8,0,0,12,2,0
p39,2411,7,0,0,13,3,0
p39,2416,6,0,0,14,3,0
p39,2420,5,0,0,15,3,0
p39,2421,2,0,0,18,3,0
p39,2426,1,0,0,19,4,0
p39,2431,1,0,0,19,6,0
p39,2441,1,0,0,19,7,0
p39,2460,1,0,0,19,7,0
p39,2465,0,0,0,20,7,0
p39,2520,0,0,0,20,7,0
p39,2580,0,0,0,20,7,0
p39,2640,0,0,0,20,7,0
p39,2700,0,0,0,20,7,0
p39,2760,0,0,0,20,7,0
p39,2820,0,0,0,20,7,0
p39,2880,0,0,0,20,7,0
p39,2940,0,0,0,20,7,0
