id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p32,0,0,0,0,20,0,0,0,0
p32,7,0,0,0,20,1,0,0,0
p32,12,0,0,0,20,2,0,0,0
p32,17,0,0,0,20,3,0,0,0
p32,22,0,0,0,20,5,0,0,0
p32,600,30,10,0,20,5,0,30,0
p32,602,30,10,0,0,0,20,10,10
p32,603,30,10,0,0,0,20,10,6
p32,604,30,10,0,0,0,20,10,2
p32,607,30,10,0,0,0,20,10,9
p32,608,30,10,2,0,0,20,8,7
p32,609,30,10,5,0,0,20,5,4
p32,610,30,10,6,0,0,20,4,2
p32,612,30,10,7,0,0,20,3,2
p32,615,30,10,8,0,0,20,2,1
p32,617,30,10,9,0,0,20,1,0
p32,622,30,10,9,0,0,20,1,1
p32,627,30,10,10,0,0,20,0,0
p32,1202,10,0,8,20,0,0,2,0
p32,1203,10,0,7,17,1,3,0,0
p32,1204,10,0,3,17,1,3,4,0
p32,1205,10,0,1,17,1,3,6,0
p32,1206,10,0,0,17,1,3,7,0
p32,1208,10,0,0,10,2,10,0,0
p32,1210,9,0,0,11,2,9,0,0
p32,1212,4,0,0,16,2,4,0,0
p32,1213,3,0,0,17,2,3,0,0
p32,1217,1,0,0,19,2,1,0,0
p32,1223,1,0,0,19,4,1,0,0
p32,1228,0,0,0,20,5,0,0,0
p32,1243,0,0,0,20,6,0,0,0
p32,1248,0,0,0,20,7,0,0,0
p32,1263,0,0,0,20,8,0,0,0
p32,1800,30,10,0,20,8,0,30,0
p32,1803,30,10,0,0,0,20,10,5
p32,1804,30,10,1,0,0,20,9,4
p32,1806,30,10,1,0,0,20,9,3
p32,1807,30,10,3,0,0,20,7,1
p32,1808,30,10,4,0,0,20,6,4
p32,1809,30,10,5,0,0,20,5,3
p32,1810,30,10,6,0,0,20,4,2
p32,1813,30,10,6,0,0,20,4,2
p32,1815,30,10,7,0,0,20,3,1
p32,1818,30,10,8,0,0,20,2,1
p32,1822,30,10,9,0,0,20,1,0
p32,1823,30,10,9,0,0,20,1,1
p32,1826,30,10,10,0,0,20,0,0
p32,2401,30,10,9,0,0,20,1,0
p32,2402,30,10,6,0,0,20,4,0
p32,2403,10,0,4,17,2,3,3,0
