id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p31,0,0,0,0,20,0,0,0,0
p31,14,0,0,0,20,1,0,0,0
p31,19,0,0,0,20,6,0,0,0
p31,29,0,0,0,20,13,0,0,0
p31,34,0,0,0,20,17,0,0,0
p31,39,0,0,0,20,20,0,0,0
p31,600,40,20,0,20,20,0,40,0
p31,605,40,20,0,18,17,2,38,0
p31,606,40,20,0,13,13,7,33,0
p31,607,40,20,0,7,6,13,27,0
p31,608,40,20,0,0,0,20,20,0
p31,609,40,20,0,0,0,20,20,15
p31,610,40,20,0,0,0,20,20,19
p31,612,40,20,0,0,0,20,20,19
p31,613,40,20,0,0,0,20,20,13
p31,614,40,20,1,0,0,20,19,9
p31,615,40,20,1,0,0,20,19,7
p31,616,40,20,0,0,0,20,20,8
p31,618,40,20,1,0,0,20,19,5
p31,621,40,20,1,0,0,20,19,4
p31,622,40,20,2,0,0,20,18,13
p31,623,40,20,2,0,0,20,18,10
p31,624,40,20,2,0,0,20,18,5
p31,627,40,20,4,0,0,20,16,2
p31,628,40,20,4,0,0,20,16,10
p31,629,40,20,7,0,0,20,13,1
p31,631,40,20,8,0,0,20,12,1
p31,633,40,20,7,0,0,20,13,10
p31,634,40,20,8,0,0,20,12,6
p31,635,40,20,9,0,0,20,11,2
p31,636,40,20,8,0,0,20,12,2
p31,637,40,20,8,0,0,20,12,0
p31,638,40,20,8,0,0,20,12,9
p31,639,40,20,9,0,0,20,11,8
p31,640,40,20,8,0,0,20,12,8
p31,641,40,20,8,0,0,20,12,3
p31,642,40,20,8,0,0,20,12,1
p31,643,40,20,8,0,0,20,12,9
p31,645,40,20,8,0,0,20,12,5
p31,647,40,20,10,0,0,20,10,2
p31,648,40,20,10,0,0,20,10,7
p31,649,40,20,12,0,0,20,8,5
p31,650,40,20,12,0,0,20,8,3
p31,651,40,20,13,0,0,20,7,1
p31,652,40,20,13,0,0,20,7,0
p31,653,40,20,13,0,0,20,7,4
p31,654,40,20,14,0,0,20,6,3
p31,655,40,20,13,0,0,20,7,2
p31,656,40,20,14,0,0,20,6,1
p31,657,40,20,15,0,0,20,5,0
p31,658,40,20,15,0,0,20,5,5
p31,659,40,20,13,0,0,20,7,5
p31,660,40,20,13,0,0,20,7,4
p31,661,40,20,13,0,0,20,7,3
p31,662,40,20,14,0,0,20,6,0
p31,663,40,20,14,0,0,20,6,5
p31,664,40,20,13,0,0,20,7,5
p31,665,40,20,15,0,0,20,5,3
p31,666,40,20,16,0,0,20,4,2
p31,667,40,20,16,0,0,20,4,1
p31,668,40,20,17,0,0,20,3,0
p31,670,40,20,15,0,0,20,5,0
p31,673,40,20,15,0,0,20,5,3
p31,676,40,20,16,0,0,20,4,2
p31,677,40,20,17,0,0,20,3,1
p31,678,40,20,17,0,0,20,3,3
p31,681,40,20,17,0,0,20,3,2
p31,682,40,20,18,0,0,20,2,0
p31,683,40,20,18,0,0,20,2,1
p31,686,40,20,15,0,0,20,5,1
p31,687,40,20,16,0,0,20,4,0
p31,688,40,20,16,0,0,20,4,3
p31,689,40,20,16,0,0,20,4,2
p31,691,40,20,17,0,0,20,3,0
p31,693,40,20,17,0,0,20,3,1
p31,697,40,20,16,0,0,20,4,0
p31,698,40,20,16,0,0,20,4,1
p31,702,40,20,15,0,0,20,5,1
p31,703,40,20,16,0,0,20,4,3
p31,704,40,20,16,0,0,20,4,2
p31,707,40,20,16,0,0,20,4,1
p31,708,40,20,17,0,0,20,3,2
p31,711,40,20,18,0,0,20,2,1
p31,712,40,20,18,0,0,20,2,0
p31,713,40,20,18,0,0,20,2,1
p31,716,40,20,19,0,0,20,1,0
p31,717,40,20,18,0,0,20,2,0
p31,718,40,20,18,0,0,20,2,0
p31,722,40,20,17,0,0,20,3,0
p31,723,40,20,17,0,0,20,3,1
p31,727,40,20,17,0,0,20,3,0
p31,728,40,20,17,0,0,20,3,0
p31,733,40,20,17,0,0,20,3,1
p31,734,40,20,18,0,0,20,2,0
p31,738,40,20,18,0,0,20,2,1
p31,742,40,20,18,0,0,20,2,0
p31,743,40,20,18,0,0,20,2,1
p31,744,40,20,18,0,0,20,2,0
p31,748,40,20,18,0,0,20,2,2
p31,752,40,20,18,0,0,20,2,0
p31,753,40,20,18,0,0,20,2,2
p31,757,40,20,18,0,0,20,2,0
p31,758,40,20,18,0,0,20,2,1
p31,763,40,20,19,0,0,20,1,1
p31,768,40,20,20,0,0,20,0,0
p31,968,40,20,19,0,0,20,1,0
p31,969,40,20,19,0,0,20,1,0
p31,974,40,20,19,0,0,20,1,1
p31,977,40,20,19,0,0,20,1,0
p31,979,40,20,19,0,0,20,1,1
p31,983,40,20,20,0,0,20,0,0
p31,1202,40,20,11,0,0,20,9,0
p31,1203,40,20,8,0,0,20,12,0
p31,1204,40,20,6,0,0,20,14,3
p31,1205,38,18,4,1,1,19,15,7
p31,1206,33,13,1,4,0,16,16,7
p31,1207,27,7,0,10,0,10,17,7
p31,1208,20,0,0,17,0,3,17,7
p31,1209,20,0,0,17,0,3,17,6
p31,1211,20,0,0,6,3,14,6,5
p31,1212,20,0,0,6,3,14,6,4
p31,1213,20,0,0,6,3,14,6,0
p31,1216,20,0,0,0,0,20,0,0
p31,1227,19,0,0,1,0,19,0,0
p31,1231,19,0,0,1,1,19,0,0
p31,1232,18,0,0,2,1,18,0,0
p31,1234,17,0,0,3,1,17,0,0
p31,1235,16,0,0,4,1,16,0,0
p31,1236,16,0,0,4,4,16,0,0
p31,1243,15,0,0,5,4,15,0,0
p31,1244,14,0,0,6,4,14,0,0
p31,1246,14,0,0,6,6,14,0,0
p31,1255,12,0,0,8,6,12,0,0
p31,1256,12,0,0,8,8,12,0,0
p31,1260,11,0,0,9,8,11,0,0
p31,1261,11,0,0,9,9,11,0,0
p31,1264,10,0,0,10,9,10,0,0
p31,1270,9,0,0,11,9,9,0,0
p31,1272,7,0,0,13,9,7,0,0
p31,1274,6,0,0,14,9,6,0,0
p31,1276,6,0,0,14,10,6,0,0
p31,1281,6,0,0,14,13,6,0,0
p31,1285,5,0,0,15,13,5,0,0
p31,1286,5,0,0,15,15,5,0,0
p31,1294,4,0,0,16,15,4,0,0
p31,1297,3,0,0,17,15,3,0,0
p31,1306,3,0,0,17,16,3,0,0
p31,1307,2,0,0,18,16,2,0,0
p31,1323,1,0,0,19,16,1,0,0
p31,1324,0,0,0,20,16,0,0,0
p31,1331,0,0,0,20,17,0,0,0
p31,1361,0,0,0,20,18,0,0,0
p31,1391,0,0,0,20,19,0,0,0
p31,1406,0,0,0,20,20,0,0,0
p31,1451,0,0,0,20,20,0,0,0
p31,1800,40,20,0,20,20,0,40,0
p31,1801,40,20,0,10,10,10,30,0
p31,1802,40,20,0,0,0,20,20,2
p31,1803,40,20,0,0,0,20,20,7
p31,1804,40,20,0,0,0,20,20,10
p31,1806,40,20,2,0,0,20,18,7
p31,1807,40,20,5,0,0,20,15,4
p31,1808,40,20,5,0,0,20,15,2
p31,1809,40,20,6,0,0,20,14,12
p31,1810,40,20,5,0,0,20,15,11
p31,1811,40,20,5,0,0,20,15,4
p31,1812,40,20,3,0,0,20,17,3
p31,1813,40,20,0,0,0,20,20,2
p31,1814,40,20,0,0,0,20,20,11
p31,1815,40,20,0,0,0,20,20,9
p31,1816,40,20,0,0,0,20,20,8
p31,1817,40,20,0,0,0,20,20,4
p31,1818,40,20,1,0,0,20,19,3
p31,1819,40,20,1,0,0,20,19,8
p31,1820,40,20,1,0,0,20,19,7
p31,1822,40,20,1,0,0,20,19,3
p31,1823,40,20,1,0,0,20,19,2
p31,1824,40,20,1,0,0,20,19,8
p31,1826,40,20,1,0,0,20,19,7
p31,1827,40,20,1,0,0,20,19,3
p31,1828,40,20,1,0,0,20,19,2
p31,1829,40,20,1,0,0,20,19,7
p31,1830,40,20,1,0,0,20,19,8
p31,1832,40,20,1,0,0,20,19,3
p31,1833,40,20,3,0,0,20,17,1
p31,1834,40,20,3,0,0,20,17,1
p31,1835,40,20,3,0,0,20,17,6
p31,1836,40,20,3,0,0,20,17,5
p31,1837,40,20,3,0,0,20,17,4
p31,1838,40,20,5,0,0,20,15,2
p31,1839,40,20,7,0,0,20,13,1
p31,1840,40,20,8,0,0,20,12,2
p31,1841,40,20,7,0,0,20,13,6
p31,1842,40,20,7,0,0,20,13,5
p31,1843,40,20,7,0,0,20,13,2
p31,1844,40,20,8,0,0,20,12,1
p31,1845,40,20,9,0,0,20,11,5
p31,1847,40,20,11,0,0,20,9,3
p31,1848,40,20,9,0,0,20,11,2
p31,1849,40,20,10,0,0,20,10,1
p31,1850,40,20,11,0,0,20,9,0
p31,1851,40,20,12,0,0,20,8,4
p31,1855,40,20,12,0,0,20,8,2
p31,1856,40,20,12,0,0,20,8,4
p31,1859,40,20,12,0,0,20,8,1
p31,1861,40,20,12,0,0,20,8,4
p31,1862,40,20,14,0,0,20,6,2
p31,1864,40,20,15,0,0,20,5,1
p31,1866,40,20,15,0,0,20,5,1
p31,1869,40,20,15,0,0,20,5,0
p31,1871,40,20,15,0,0,20,5,1
p31,1872,40,20,15,0,0,20,5,0
p31,1876,40,20,15,0,0,20,5,1
p31,1881,40,20,16,0,0,20,4,3
p31,1883,40,20,17,0,0,20,3,1
p31,1886,40,20,17,0,0,20,3,1
p31,1888,40,20,18,0,0,20,2,0
p31,1891,40,20,18,0,0,20,2,2
p31,1895,40,20,20,0,0,20,0,0
p31,1900,40,20,19,0,0,20,1,0
p31,1901,40,20,19,0,0,20,1,1
p31,1903,40,20,20,0,0,20,0,0
p31,1910,40,20,19,0,0,20,1,0
p31,1911,40,20,19,0,0,20,1,0
p31,1915,40,20,18,0,0,20,2,0
p31,1916,40,20,18,0,0,20,2,1
p31,1918,40,20,19,0,0,20,1,0
p31,1921,40,20,19,0,0,20,1,0
p31,1926,40,20,19,0,0,20,1,0
p31,1931,40,20,19,0,0,20,1,0
p31,1936,40,20,19,0,0,20,1,1
p31,1940,40,20,20,0,0,20,0,0
p31,1960,40,20,19,0,0,20,1,0
p31,1961,40,20,19,0,0,20,1,1
p31,1962,40,20,20,0,0,20,0,0
p31,1967,40,20,19,0,0,20,1,0
p31,1971,40,20,19,0,0,20,1,0
p31,1976,40,20,19,0,0,20,1,0
p31,1981,40,20,19,0,0,20,1,0
p31,1986,40,20,19,0,0,20,1,1
p31,1987,40,20,19,0,0,20,1,0
p31,1991,40,20,19,0,0,20,1,1
