id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p21,0,0,0,0,20,0,0,0,0
p21,6,0,0,0,20,1,0,0,0
p21,11,0,0,0,20,3,0,0,0
p21,16,0,0,0,20,10,0,0,0
p21,26,0,0,0,20,20,0,0,0
p21,60,0,0,0,20,20,0,0,0
p21,120,0,0,0,20,20,0,0,0
p21,180,0,0,0,20,20,0,0,0
p21,240,0,0,0,20,20,0,0,0
p21,300,0,0,0,20,20,0,0,0
p21,360,0,0,0,20,20,0,0,0
p21,420,0,0,0,20,20,0,0,0
p21,480,0,0,0,20,20,0,0,0
p21,540,0,0,0,20,20,0,0,0
p21,600,40,20,0,20,20,0,40,0
p21,602,40,20,0,16,15,4,36,0
p21,603,40,20,0,0,0,20,20,19
p21,605,40,20,1,0,0,20,19,18
p21,606,40,20,2,0,0,20,18,17
p21,607,40,20,4,0,0,20,16,13
p21,608,40,20,4,0,0,20,16,12
p21,609,40,20,4,0,0,20,16,9
p21,610,40,20,4,0,0,20,16,5
p21,612,40,20,1,0,0,20,19,5
p21,613,40,20,1,0,0,20,19,3
p21,614,40,20,2,0,0,20,18,1
p21,615,40,20,2,0,0,20,18,4
p21,616,40,20,2,0,0,20,18,9
p21,617,40,20,3,0,0,20,17,7
p21,618,40,20,3,0,0,20,17,6
p21,619,40,20,2,0,0,20,18,5
p21,621,40,20,2,0,0,20,18,2
p21,622,40,20,2,0,0,20,18,8
p21,623,40,20,3,0,0,20,17,9
p21,624,40,20,4,0,0,20,16,5
p21,626,40,20,4,0,0,20,16,4
p21,627,40,20,5,0,0,20,15,2
p21,628,40,20,6,0,0,20,14,11
p21,629,40,20,8,0,0,20,12,8
p21,631,40,20,8,0,0,20,12,7
p21,632,40,20,9,0,0,20,11,5
p21,633,40,20,5,0,0,20,15,5
p21,634,40,20,6,0,0,20,14,11
p21,635,40,20,11,0,0,20,9,3
p21,636,40,20,12,0,0,20,8,1
p21,637,40,20,13,0,0,20,7,0
p21,639,40,20,13,0,0,20,7,5
p21,640,40,20,15,0,0,20,5,3
p21,641,40,20,15,0,0,20,5,0
p21,644,40,20,15,0,0,20,5,4
p21,645,40,20,15,0,0,20,5,3
p21,647,40,20,16,0,0,20,4,1
p21,648,40,20,17,0,0,20,3,0
p21,649,40,20,17,0,0,20,3,3
p21,650,40,20,17,0,0,20,3,1
p21,651,40,20,14,0,0,20,6,0
p21,652,40,20,15,0,0,20,5,0
p21,654,40,20,15,0,0,20,5,4
p21,655,40,20,17,0,0,20,3,2
p21,656,40,20,18,0,0,20,2,1
p21,657,40,20,17,0,0,20,3,0
p21,659,40,20,17,0,0,20,3,3
p21,660,40,20,16,0,0,20,4,3
p21,662,40,20,17,0,0,20,3,2
p21,664,40,20,17,0,0,20,3,2
p21,665,40,20,18,0,0,20,2,1
p21,667,40,20,19,0,0,20,1,0
p21,669,40,20,19,0,0,20,1,0
p21,674,40,20,19,0,0,20,1,1
p21,677,40,20,19,0,0,20,1,0
p21,679,40,20,19,0,0,20,1,1
p21,680,40,20,20,0,0,20,0,0
p21,687,40,20,18,0,0,20,2,0
p21,689,40,20,18,0,0,20,2,2
p21,691,40,20,19,0,0,20,1,1
p21,692,40,20,19,0,0,20,1,0
p21,694,40,20,19,0,0,20,1,1
p21,696,40,20,19,0,0,20,1,0
p21,699,40,20,19,0,0,20,1,0
p21,701,40,20,20,0,0,20,0,0
p21,705,40,20,19,0,0,20,1,0
p21,706,40,20,18,0,0,20,2,0
p21,709,40,20,18,0,0,20,2,1
p21,711,40,20,19,0,0,20,1,0
p21,714,40,20,19,0,0,20,1,1
p21,717,40,20,19,0,0,20,1,0
p21,719,40,20,19,0,0,20,1,0
p21,720,40,20,19,0,0,20,1,0
p21,724,40,20,19,0,0,20,1,1
p21,725,40,20,20,0,0,20,0,0
p21,780,40,20,20,0,0,20,0,0
p21,840,40,20,20,0,0,20,0,0
p21,900,40,20,20,0,0,20,0,0
p21,960,40,20,20,0,0,20,0,0
p21,983,40,20,19,0,0,20,1,0
p21,985,40,20,19,0,0,20,1,1
p21,987,40,20,19,0,0,20,1,0
p21,990,40,20,19,0,0,20,1,0
p21,995,40,20,19,0,0,20,1,0
p21,1000,40,20,19,0,0,20,1,1
p21,1003,40,20,19,0,0,20,1,0
p21,1005,40,20,19,0,0,20,1,1
p21,1006,40,20,19,0,0,20,1,0
p21,1010,40,20,19,0,0,20,1,1
p21,1012,40,20,20,0,0,20,0,0
p21,1020,40,20,20,0,0,20,0,0
p21,1080,40,20,20,0,0,20,0,0
p21,1140,40,20,20,0,0,20,0,0
p21,1200,40,20,20,0,0,20,0,0
p21,1201,40,20,16,0,0,20,4,0
p21,1202,37,17,16,3,0,17,4,0
p21,1203,20,0,8,20,0,0,12,0
p21,1204,20,0,4,20,0,0,16,0
p21,1205,20,0,3,20,0,0,17,0
p21,1206,20,0,3,3,3,17,0,0
p21,1208,20,0,0,3,3,17,3,0
p21,1210,19,0,0,4,0,16,3,0
p21,1211,19,0,0,1,1,19,0,0
p21,1223,18,0,0,2,1,18,0,0
p21,1226,17,0,0,3,3,17,0,0
p21,1227,16,0,0,4,3,16,0,0
p21,1230,15,0,0,5,3,15,0,0
p21,1232,14,0,0,6,5,14,0,0
p21,1235,13,0,0,7,5,13,0,0
