id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p3,0,0,0,0,20,0,0,0,0
p3,1,30,10,0,18,0,2,28,0
p3,6,30,10,0,2,2,18,12,0
p3,7,30,10,0,0,0,20,10,6
p3,8,30,10,0,0,0,20,10,9
p3,10,30,10,2,0,0,20,8,6
p3,11,30,10,2,0,0,20,8,5
p3,12,30,10,4,0,0,20,6,1
p3,13,30,10,5,0,0,20,5,4
p3,16,30,10,6,0,0,20,4,3
p3,17,30,10,6,0,0,20,4,0
p3,18,30,10,6,0,0,20,4,4
p3,21,30,10,6,0,0,20,4,3
p3,22,30,10,6,0,0,20,4,2
p3,23,30,10,6,0,0,20,4,3
p3,25,30,10,6,0,0,20,4,2
p3,27,30,10,6,0,0,20,4,0
p3,28,30,10,6,0,0,20,4,4
p3,31,30,10,6,0,0,20,4,3
p3,32,30,10,6,0,0,20,4,0
p3,33,30,10,6,0,0,20,4,2
p3,37,30,10,6,0,0,20,4,1
p3,38,30,10,6,0,0,20,4,4
p3,40,30,10,6,0,0,20,4,3
p3,41,30,10,6,0,0,20,4,1
p3,42,30,10,6,0,0,20,4,0
p3,43,30,10,6,0,0,20,4,3
p3,46,30,10,6,0,0,20,4,2
p3,48,30,10,6,0,0,20,4,0
p3,49,30,10,6,0,0,20,4,2
p3,52,30,10,6,0,0,20,4,1
p3,54,30,10,6,0,0,20,4,4
p3,55,30,10,6,0,0,20,4,3
p3,56,30,10,6,0,0,20,4,2
p3,57,30,10,6,0,0,20,4,1
p3,60,30,10,6,0,0,20,4,3
p3,64,30,10,6,0,0,20,4,1
p3,66,30,10,6,0,0,20,4,3
p3,67,30,10,6,0,0,20,4,2
p3,70,30,10,6,0,0,20,4,1
p3,71,30,10,6,0,0,20,4,0
p3,72,30,10,6,0,0,20,4,3
p3,76,30,10,6,0,0,20,4,2
p3,78,30,10,6,0,0,20,4,2
p3,79,30,10,6,0,0,20,4,1
p3,83,30,10,6,0,0,20,4,0
p3,84,30,10,6,0,0,20,4,4
p3,85,30,10,6,0,0,20,4,3
p3,89,30,10,6,0,0,20,4,0
p3,90,30,10,6,0,0,20,4,1
p3,94,30,10,6,0,0,20,4,0
p3,97,30,10,6,0,0,20,4,3
p3,100,30,10,6,0,0,20,4,2
p3,103,30,10,6,0,0,20,4,1
p3,107,30,10,6,0,0,20,4,0
p3,112,30,10,6,0,0,20,4,1
p3,113,30,10,6,0,0,20,4,2
p3,114,30,10,6,0,0,20,4,2
p3,119,30,10,6,0,0,20,4,1
p3,120,30,10,6,0,0,20,4,3
p3,121,30,10,6,0,0,20,4,2
p3,122,30,10,6,0,0,20,4,1
p3,128,30,10,6,0,0,20,4,2
p3,129,30,10,6,0,0,20,4,3
p3,130,30,10,6,0,0,20,4,3
p3,133,30,10,6,0,0,20,4,2
p3,134,30,10,6,0,0,20,4,0
p3,138,30,10,6,0,0,20,4,2
p3,140,30,10,6,0,0,20,4,1
p3,141,30,10,6,0,0,20,4,2
p3,142,30,10,6,0,0,20,4,1
p3,147,30,10,6,0,0,20,4,0
p3,148,30,10,6,0,0,20,4,2
p3,150,30,10,6,0,0,20,4,3
p3,151,30,10,6,0,0,20,4,3
p3,154,30,10,6,0,0,20,4,2
p3,155,30,10,6,0,0,20,4,1
p3,158,30,10,6,0,0,20,4,3
p3,160,30,10,6,0,0,20,4,3
p3,162,30,10,6,0,0,20,4,2
p3,165,30,10,6,0,0,20,4,1
p3,168,30,10,6,0,0,20,4,2
p3,170,30,10,6,0,0,20,4,2
p3,171,30,10,6,0,0,20,4,2
p3,178,30,10,6,0,0,20,4,2
p3,179,30,10,6,0,0,20,4,1
p3,181,30,10,6,0,0,20,4,2
p3,189,30,10,6,0,0,20,4,3
p3,192,30,10,6,0,0,20,4,4
p3,193,30,10,6,0,0,20,4,3
p3,195,30,10,6,0,0,20,4,2
p3,197,30,10,6,0,0,20,4,1
p3,201,30,10,6,0,0,20,4,2
p3,202,30,10,6,0,0,20,4,3
p3,203,30,10,6,0,0,20,4,2
p3,204,30,10,6,0,0,20,4,2
p3,211,30,10,6,0,0,20,4,1
p3,213,30,10,6,0,0,20,4,1
p3,216,30,10,6,0,0,20,4,2
p3,224,30,10,6,0,0,20,4,1
p3,225,30,10,6,0,0,20,4,1
p3,229,30,10,6,0,0,20,4,2
p3,230,30,10,6,0,0,20,4,1
p3,238,30,10,6,0,0,20,4,2
p3,239,30,10,6,0,0,20,4,3
p3,240,30,10,6,0,0,20,4,2
p3,242,30,10,6,0,0,20,4,2
p3,251,30,10,6,0,0,20,4,2
p3,254,30,10,6,0,0,20,4,1
p3,264,30,10,6,0,0,20,4,2
p3,266,30,10,6,0,0,20,4,2
p3,267,30,10,6,0,0,20,4,3
p3,269,30,10,6,0,0,20,4,1
p3,274,30,10,6,0,0,20,4,0
p3,277,30,10,6,0,0,20,4,1
p3,280,30,10,6,0,0,20,4,2
p3,281,30,10,6,0,0,20,4,2
p3,288,30,10,6,0,0,20,4,1
p3,291,30,10,6,0,0,20,4,2
p3,301,30,10,6,0,0,20,4,1
p3,304,30,10,6,0,0,20,4,2
p3,305,30,10,6,0,0,20,4,1
p3,308,30,10,6,0,0,20,4,2
p3,309,30,10,6,0,0,20,4,2
p3,319,30,10,6,0,0,20,4,4
p3,322,30,10,6,0,0,20,4,2
p3,329,30,10,6,0,0,20,4,1
p3,333,30,10,6,0,0,20,4,2
p3,335,30,10,6,0,0,20,4,1
p3,337,30,10,6,0,0,20,4,2
p3,338,30,10,6,0,0,20,4,3
p3,345,30,10,6,0,0,20,4,2
p3,348,30,10,6,0,0,20,4,3
p3,351,30,10,6,0,0,20,4,2
p3,352,30,10,6,0,0,20,4,3
p3,356,30,10,6,0,0,20,4,2
p3,360,30,10,6,0,0,20,4,1
p3,364,30,10,6,0,0,20,4,1
p3,366,30,10,6,0,0,20,4,0
p3,368,30,10,6,0,0,20,4,2
p3,379,30,10,6,0,0,20,4,3
p3,380,30,10,6,0,0,20,4,3
p3,387,30,10,6,0,0,20,4,2
p3,388,30,10,6,0,0,20,4,1
p3,393,30,10,6,0,0,20,4,0
p3,396,30,10,6,0,0,20,4,1
p3,397,30,10,6,0,0,20,4,2
p3,400,30,10,6,0,0,20,4,1
p3,401,30,10,6,0,0,20,4,3
p3,407,30,10,6,0,0,20,4,2
p3,410,30,10,6,0,0,20,4,1
p3,413,30,10,6,0,0,20,4,2
p3,418,30,10,6,0,0,20,4,2
p3,425,30,10,6,0,0,20,4,0
p3,428,30,10,6,0,0,20,4,1
p3,431,30,10,6,0,0,20,4,1
p3,434,30,10,6,0,0,20,4,2
p3,437,30,10,6,0,0,20,4,3
p3,438,30,10,6,0,0,20,4,2
p3,443,30,10,6,0,0,20,4,1
p3,445,30,10,6,0,0,20,4,2
p3,448,30,10,6,0,0,20,4,3
p3,451,30,10,6,0,0,20,4,2
p3,458,30,10,6,0,0,20,4,1
p3,460,30,10,6,0,0,20,4,0
p3,463,30,10,6,0,0,20,4,1
p3,465,30,10,6,0,0,20,4,2
p3,468,30,10,6,0,0,20,4,3
p3,470,30,10,6,0,0,20,4,4
p3,471,30,10,6,0,0,20,4,3
p3,474,30,10,6,0,0,20,4,2
p3,479,30,10,6,0,0,20,4,2
p3,481,30,10,6,0,0,20,4,1
p3,482,30,10,6,0,0,20,4,0
p3,485,30,10,6,0,0,20,4,0
p3,494,30,10,6,0,0,20,4,1
p3,497,30,10,6,0,0,20,4,2
p3,500,30,10,6,0,0,20,4,3
p3,503,30,10,6,0,0,20,4,4
p3,505,30,10,6,0,0,20,4,3
p3,512,30,10,6,0,0,20,4,4
p3,515,30,10,6,0,0,20,4,2
p3,518,30,10,6,0,0,20,4,1
p3,529,30,10,6,0,0,20,4,2
p3,531,30,10,6,0,0,20,4,2
p3,534,30,10,6,0,0,20,4,3
p3,536,30,10,6,0,0,20,4,1
p3,546,30,10,6,0,0,20,4,0
p3,547,30,10,6,0,0,20,4,1
p3,549,30,10,6,0,0,20,4,2
p3,551,30,10,6,0,0,20,4,1
p3,555,30,10,6,0,0,20,4,2
p3,565,30,10,6,0,0,20,4,3
p3,567,30,10,6,0,0,20,4,2
p3,570,30,10,6,0,0,20,4,2
p3,579,30,10,6,0,0,20,4,1
p3,583,30,10,6,0,0,20,4,0
p3,586,30,10,6,0,0,20,4,1
p3,590,30,10,6,0,0,20,4,2
p3,592,30,10,6,0,0,20,4,3
p3,598,30,10,6,0,0,20,4,2
p3,601,28,8,6,2,2,18,4,2
p3,603,28,8,6,2,2,18,4,2
p3,604,28,8,6,1,1,19,3,2
p3,606,26,6,6,3,3,17,3,2
p3,607,24,4,6,5,4,15,3,2
p3,608,24,4,6,5,5,15,3,2
p3,609,24,4,6,5,5,15,3,1
p3,610,23,3,6,6,6,14,3,1
p3,611,23,3,6,6,7,14,3,1
p3,612,22,2,7,7,8,13,2,1
p3,613,20,0,7,9,9,11,2,1
p3,614,18,0,8,10,10,10,0,0
p3,615,16,0,8,12,11,8,0,0
p3,616,14,0,8,14,14,6,0,0
p3,617,12,0,8,16,16,4,0,0
p3,618,8,0,6,18,18,2,0,0
p3,619,8,0,6,18,17,2,0,0
p3,620,6,0,4,18,17,2,0,0
p3,622,5,0,3,18,17,2,0,0
p3,624,4,0,2,18,17,2,0,0
p3,638,4,0,2,18,17,2,0,0
p3,643,4,0,2,18,17,2,0,0
p3,647,4,0,2,18,16,2,0,0
p3,649,4,0,2,18,17,2,0,0
p3,654,4,0,2,18,17,2,0,0
p3,671,4,0,2,18,16,2,0,0
p3,676,4,0,2,18,17,2,0,0
p3,690,4,0,2,18,17,2,0,0
p3,755,4,0,2,18,17,2,0,0
p3,769,4,0,2,18,16,2,0,0
p3,771,4,0,2,18,17,2,0,0
p3,1200,18,0,2,18,17,2,14,0
p3,1201,28,8,2,18,17,2,24,0
p3,1204,33,13,2,19,18,1,30,0
p3,1213,32,12,1,19,18,1,30,0
p3,1215,30,10,0,20,19,0,30,0
p3,1216,30,10,0,20,19,0,30,0
p3,1228,30,10,0,19,18,1,29,0
p3,1229,30,10,0,18,17,2,28,0
p3,1232,30,10,0,17,16,3,27,0
p3,1233,30,10,0,16,15,4,26,0
p3,1236,30,10,0,15,14,5,25,0
p3,1237,30,10,0,15,13,5,25,0
p3,1238,30,10,0,14,12,6,24,0
p3,1239,30,10,0,13,11,7,23,0
p3,1240,30,10,0,11,10,9,21,0
p3,1242,30,10,0,11,9,9,21,0
p3,1243,30,10,0,10,9,10,20,0
p3,1244,30,10,0,10,8,10,20,0
p3,1245,30,10,0,8,7,12,18,0
p3,1246,30,10,0,6,4,14,16,0
p3,1247,30,10,0,4,3,16,14,0
p3,1248,30,10,0,3,2,17,13,0
p3,1249,30,10,0,1,0,19,11,2
p3,1250,30,10,0,1,0,19,11,7
p3,1251,30,10,0,1,0,19,11,10
p3,1254,30,10,0,1,0,19,11,9
p3,1255,30,10,0,1,0,19,11,6
p3,1256,30,10,0,1,0,19,11,5
p3,1257,30,10,1,1,0,19,10,5
p3,1260,30,10,1,1,0,19,10,2
p3,1262,30,10,1,1,0,19,10,0
p3,1263,30,10,1,1,0,19,10,8
p3,1265,30,10,1,1,0,19,10,7
p3,1266,30,10,1,1,0,19,10,5
p3,1267,30,10,2,1,0,19,9,2
p3,1269,30,10,2,1,0,19,9,5
p3,1270,30,10,2,1,0,19,9,6
p3,1272,30,10,3,1,0,19,8,5
p3,1273,30,10,3,1,0,19,8,1
p3,1274,30,10,3,1,0,19,8,0
p3,1275,30,10,3,1,0,19,8,7
p3,1276,30,10,3,1,0,19,8,6
p3,1277,30,10,3,1,0,19,8,4
p3,1278,30,10,3,1,0,19,8,3
p3,1279,30,10,3,1,0,19,8,2
p3,1280,30,10,3,1,0,19,8,1
p3,1281,30,10,3,1,0,19,8,0
p3,1282,30,10,3,1,0,19,8,5
p3,1283,30,10,3,1,0,19,8,7
p3,1284,30,10,4,1,0,19,7,6
p3,1286,30,10,4,1,0,19,7,5
p3,1287,30,10,4,1,0,19,7,4
p3,1288,30,10,4,1,0,19,7,2
p3,1289,30,10,4,1,0,19,7,2
p3,1290,30,10,4,1,0,19,7,2
p3,1291,30,10,4,1,0,19,7,0
p3,1296,30,10,4,1,0,19,7,2
p3,1297,30,10,4,1,0,19,7,4
p3,1298,30,10,4,1,0,19,7,5
p3,1300,30,10,4,1,0,19,7,4
p3,1302,30,10,4,1,0,19,7,2
p3,1303,30,10,4,1,0,19,7,7
p3,1304,30,10,4,1,0,19,7,2
p3,1306,30,10,4,1,0,19,7,1
p3,1308,30,10,4,1,0,19,7,0
p3,1309,30,10,4,1,0,19,7,3
p3,1310,30,10,4,1,0,19,7,2
p3,1311,30,10,4,1,0,19,7,1
p3,1314,30,10,4,1,0,19,7,0
p3,1316,30,10,4,1,0,19,7,3
p3,1317,30,10,4,1,0,19,7,6
p3,1318,30,10,4,1,0,19,7,7
p3,1320,30,10,4,1,0,19,7,6
p3,1321,30,10,6,1,0,19,5,3
p3,1322,30,10,6,1,0,19,5,1
p3,1324,30,10,6,1,0,19,5,2
p3,1325,30,10,6,1,0,19,5,2
p3,1327,30,10,6,1,0,19,5,1
p3,1331,30,10,6,1,0,19,5,3
p3,1332,30,10,7,1,0,19,4,2
p3,1335,30,10,7,1,0,19,4,1
p3,1337,30,10,7,1,0,19,4,1
p3,1338,30,10,7,1,0,19,4,3
p3,1341,30,10,7,1,0,19,4,2
p3,1344,30,10,8,1,0,19,3,1
p3,1345,30,10,8,1,0,19,3,0
p3,1346,30,10,8,1,0,19,3,1
p3,1347,30,10,8,1,0,19,3,2
p3,1352,30,10,8,1,0,19,3,1
p3,1354,30,10,8,1,0,19,3,2
p3,1355,30,10,8,1,0,19,3,2
p3,1360,30,10,8,1,0,19,3,1
p3,1362,30,10,8,1,0,19,3,2
p3,1363,30,10,8,1,0,19,3,3
p3,1364,30,10,8,1,0,19,3,2
p3,1368,30,10,8,1,0,19,3,1
p3,1369,30,10,8,1,0,19,3,0
p3,1372,30,10,8,1,0,19,3,2
p3,1373,30,10,8,1,0,19,3,3
p3,1376,30,10,8,1,0,19,3,2
p3,1379,30,10,8,1,0,19,3,1
p3,1380,30,10,8,1,0,19,3,2
p3,1381,30,10,8,1,0,19,3,3
p3,1383,30,10,8,1,0,19,3,2
p3,1384,30,10,8,1,0,19,3,1
p3,1386,30,10,9,1,0,19,2,0
p3,1389,30,10,9,1,0,19,2,1
p3,1390,30,10,9,1,0,19,2,2
p3,1394,30,10,9,1,0,19,2,1
p3,1400,30,10,9,1,0,19,2,0
p3,1408,30,10,9,1,0,19,2,1
p3,1409,30,10,9,1,0,19,2,2
p3,1413,30,10,9,1,0,19,2,1
p3,1419,30,10,9,1,0,19,2,1
p3,1427,30,10,9,1,0,19,2,0
p3,1428,30,10,9,1,0,19,2,1
