id,t,dTot,dFed,rFed,oFed,sFed,unat
p28,0,0,0,0,20,0,0
p28,5,0,0,0,20,1,0
p28,10,0,0,0,20,10,0
p28,20,0,0,0,20,11,0
p28,25,0,0,0,20,12,0
p28,45,0,0,0,20,13,0
p28,601,30,10,0,20,13,0
p28,605,30,10,0,12,12,0
p28,606,30,10,0,0,0,3
p28,607,30,10,1,0,0,9
p28,608,30,10,7,0,0,2
p28,609,30,10,8,0,0,1
p28,611,30,10,9,0,0,0
p28,612,30,10,9,0,0,1
p28,614,30,10,8,0,0,1
p28,616,30,10,9,0,0,0
p28,617,30,10,9,0,0,1
p28,618,30,10,10,0,0,0
p28,1201,30,10,8,0,0,0
p28,1203,30,10,9,0,0,0
p28,1204,30,10,4,0,0,0
p28,1205,22,2,2,8,0,0
p28,1206,10,0,2,20,0,0
p28,1208,10,0,2,12,12,0
p28,1212,7,0,2,15,12,0
p28,1213,2,0,1,19,16,0
p28,1218,0,0,0,20,18,0
p28,1327,0,0,0,20,15,0
p28,1800,30,10,0,20,15,0
p28,1803,30,10,0,11,10,0
p28,1804,30,10,4,0,0,6
p28,1805,30,10,6,0,0,4
p28,1806,30,10,7,0,0,3
p28,1807,30,10,8,0,0,2
p28,1808,30,10,8,0,0,0
p28,1809,30,10,8,0,0,2
p28,1811,30,10,9,0,0,0
p28,1814,30,10,9,0,0,1
p28,1816,30,10,9,0,0,0
p28,1819,30,10,9,0,0,1
p28,1822,30,10,10,0,0,0
p28,2401,30,10,7,0,0,0
p28,2402,30,10,5,0,0,0
p28,2403,23,3,5,7,0,0
p28,2404,6,0,1,15,7,0
p28,2405,5,0,0,15,7,0
p28,2408,4,0,0,16,7,0
p28,2409,2,0,0,18,10,0
p28,2413,1,0,0,19,10,0
p28,2414,1,0,0,19,11,0
p28,2419,1,0,0,19,12,0
p28,2424,0,0,0,20,12,0
p28,3000,30,10,0,20,12,0
p28,3004,30,10,0,0,0,9
p28,3005,30,10,0,0,0,9
p28,3006,30,10,0,0,0,8
p28,3007,30,10,3,0,0,5
p28,3008,30,10,5,0,0,1
p28,3010,30,10,5,0,0,4
p28,3012,30,10,7,0,0,2
p28,3013,30,10,8,0,0,0
p28,3015,30,10,8,0,0,2
p28,3016,30,10,8,0,0,1
p28,3017,30,10,8,0,0,0
p28,3020,30,10,8,0,0,2
p28,3024,30,10,8,0,0,0
p28,3025,30,10,8,0,0,2
p28,3027,30,10,10,0,0,0
p28,3602,30,10,5,0,0,0
p28,3603,30,10,3,0,0,0
p28,3604,10,0,0,20,0,0
p28,3605,10,0,0,10,7,0
p28,3609,6,0,0,14,7,0
p28,3610,5,0,0,15,7,0
p28,3614,3,0,0,17,10,0
p28,3615,2,0,0,18,13,0
p28,3620,2,0,0,18,14,0
p28,3629,0,0,0,20,14,0
p28,4200,30,10,0,20,14,0
p28,4205,30,10,0,3,3,0
p28,4206,30,10,0,0,0,10
p28,4208,30,10,2,0,0,8
p28,4209,30,10,3,0,0,7
p28,4210,30,10,4,0,0,4
p28,4211,30,10,5,0,0,3
p28,4215,30,10,5,0,0,2
p28,4216,30,10,6,0,0,4
p28,4218,30,10,7,0,0,3
p28,4219,30,10,8,0,0,2
p28,4220,30,10,9,0,0,1
p28,4221,30,10,9,0,0,0
p28,4226,30,10,9,0,0,1
p28,4228,30,10,10,0,0,0
p28,4800,30,10,9,0,0,0
p28,4801,30,10,7,0,0,3
p28,4803,30,10,4,0,0,3
p28,4804,30,10,1,0,0,2
p28,4805,14,0,0,16,0,1
p28,4806,10,0,0,10,5,0
p28,4811,7,0,0,13,8,0
p28,4816,5,0,0,15,10,0
p28,4821,1,0,0,19,10,0
p28,4826,1,0,0,19,11,0
p28,4831,0,0,0,20,11,0
p28,5400,30,10,0,20,11,0
p28,5401,30,10,0,19,11,0
p28,5402,30,10,0,0,0,3
p28,5403,30,10,0,0,0,9
p28,5404,30,10,1,0,0,8
p28,5406,30,10,2,0,0,5
p28,5407,30,10,5,0,0,2
p28,5408,30,10,5,0,0,3
p28,5409,30,10,6,0,0,2
p28,5410,30,10,7,0,0,1
p28,5412,30,10,8,0,0,0
p28,5413,30,10,8,0,0,2
p28,5415,30,10,9,0,0,1
p28,5417,30,10,10,0,0,0
p28,6001,30,10,7,0,0,0
p28,6002,10,0,7,20,0,0
p28,6003,10,0,2,13,1,0
p28,6004,9,0,0,13,1,0
p28,6007,8,0,0,14,1,0
p28,6008,6,0,0,14,8,0
p28,6012,4,0,0,16,8,0
p28,6013,2,0,0,18,9,0
p28,6017,1,0,0,19,9,0
p28,6018,0,0,0,20,12,0
p28,6023,0,0,0,20,13,0
p28,6600,30,10,0,20,13,0
p28,6603,30,10,0,10,9,0
p28,6604,30,10,0,0,0,10
p28,6605,30,10,0,0,0,9
p28,6606,30,10,2,0,0,7
p28,6607,30,10,3,0,0,4
p28,6608,30,10,4,0,0,2
p28,6609,30,10,5,0,0,5
p28,6612,30,10,6,0,0,4
p28,6613,30,10,6,0,0,2
p28,6614,30,10,8,0,0,2
p28,6617,30,10,9,0,0,1
p28,6619,30,10,10,0,0,0
p28,7201,30,10,8,0,0,0
p28,7202,30,10,5,0,0,0
p28,7203,20,0,5,10,0,0
p28,7204,10,0,2,20,0,0
p28,7205,10,0,0,10,8,0
p28,7209,9,0,0,11,8,0
p28,7210,8,0,0,12,8,0
p28,7214,4,0,0,16,13,0
p28,7215,2,0,0,18,14,0
p28,7219,1,0,0,19,14,0
p28,7220,0,0,0,20,14,0
p28,7800,30,10,0,20,14,0
p28,7805,30,10,0,0,0,1
p28,7806,30,10,2,0,0,8
p28,7807,30,10,2,0,0,7
p28,7808,30,10,4,0,0,4
p28,7809,30,10,4,0,0,3
p28,7810,30,10,5,0,0,0
p28,7811,30,10,5,0,0,5
p28,7813,30,10,6,0,0,3
p28,7816,30,10,8,0,0,2
p28,7819,30,10,9,0,0,1
p28,7820,30,10,10,0,0,0
p28,8401,30,10,6,0,0,1
p28,8402,30,10,4,0,0,1
p28,8403,30,10,1,0,0,1
p28,8404,30,10,0,0,0,1
p28,8405,10,0,0,20,0,1
p28,8406,10,0,0,11,11,1
p28,8407,10,0,0,11,11,0
p28,8410,8,0,0,13,11,0
p28,8411,6,0,0,14,14,0
p28,8415,5,0,0,15,14,0
p28,8416,4,0,0,16,16,0
p28,8420,3,0,0,17,16,0
p28,8421,1,0,0,19,18,0
p28,8426,1,0,0,19,19,0
p28,8431,0,0,0,20,19,0
p28,9000,30,10,0,20,19,0
p28,9001,30,10,0,14,13,0
p28,9002,30,10,0,1,1,0
p28,9003,30,10,1,0,0,9
p28,9005,30,10,1,0,0,7
p28,9007,30,10,2,0,0,5
p28,9008,30,10,5,0,0,5
p28,9009,30,10,6,0,0,2
p28,9013,30,10,6,0,0,3
p28,9014,30,10,6,0,0,2
p28,9017,30,10,6,0,0,1
p28,9018,30,10,8,0,0,2
p28,9020,30,10,10,0,0,0
p28,9600,30,10,8,0,0,0
p28,9601,24,4,8,6,0,0
p28,9602,11,0,7,19,0,0
p28,9603,9,0,4,20,0,0
p28,9604,9,0,1,15,2,0
p28,9605,9,0,0,15,2,0
p28,9608,8,0,0,16,2,0
p28,9609,6,0,0,14,9,0
p28,9613,4,0,0,16,9,0
p28,9614,4,0,0,16,10,0
p28,9619,4,0,0,16,12,0
p28,9623,2,0,0,18,12,0
p28,9624,0,0,0,20,12,0
p28,9629,0,0,0,20,13,0
p28,10200,30,10,0,20,13,0
p28,10204,30,10,0,2,2,0
p28,10205,30,10,2,0,0,8
p28,10206,30,10,4,0,0,6
p28,10207,30,10,5,0,0,5
p28,10208,30,10,6,0,0,1
p28,10209,30,10,7,0,0,0
p28,10210,30,10,9,0,0,1
p28,10213,30,10,9,0,0,0
p28,10215,30,10,9,0,0,1
p28,10216,30,10,10,0,0,0
p28,10801,30,10,7,0,0,0
p28,10802,30,10,3,0,0,0
p28,10803,30,10,1,0,0,0
p28,10804,12,0,0,18,0,0
p28,10805,10,0,0,20,0,0
p28,10806,10,0,0,10,7,0
p28,10809,8,0,0,12,7,0
p28,10810,7,0,0,13,7,0
p28,10811,3,0,0,17,14,0
p28,10814,2,0,0,18,14,0
p28,10815,1,0,0,19,14,0
p28,10816,1,0,0,19,15,0
p28,10819,0,0,0,20,15,0
p28,10825,0,0,0,20,14,0
p28,10826,0,0,0,20,15,0
p28,11400,30,10,0,20,15,0
p28,11401,30,10,0,0,0,10
p28,11403,30,10,7,0,0,1
p28,11405,30,10,7,0,0,0
p28,11406,30,10,7,0,0,3
p28,11408,30,10,7,0,0,2
p28,11410,30,10,8,0,0,1
p28,11411,30,10,8,0,0,2
p28,11413,30,10,9,0,0,1
p28,11414,30,10,9,0,0,0
p28,11416,30,10,9,0,0,1
p28,11418,30,10,10,0,0,0
p28,12001,10,0,10,20,0,0
p28,12003,4,0,4,20,0,0
p28,12004,3,0,1,20,0,0
p28,12005,3,0,0,20,0,0
p28,12006,3,0,0,17,6,0
p28,12011,2,0,0,18,7,0
p28,12015,1,0,0,19,7,0
p28,12021,0,0,0,20,9,0
p28,12600,30,10,0,20,9,0
p28,12602,30,10,0,0,0,10
p28,12603,30,10,0,0,0,9
p28,12604,30,10,0,0,0,8
p28,12605,30,10,2,0,0,6
p28,12606,30,10,6,0,0,2
p28,12607,30,10,6,0,0,2
p28,12609,30,10,6,0,0,1
p28,12611,30,10,7,0,0,0
p28,12612,30,10,7,0,0,2
p28,12615,30,10,7,0,0,1
p28,12616,30,10,8,0,0,0
p28,12617,30,10,8,0,0,2
p28,12620,30,10,8,0,0,1
p28,12621,30,10,8,0,0,0
p28,12622,30,10,8,0,0,2
p28,12625,30,10,9,0,0,1
p28,12626,30,10,9,0,0,0
p28,12627,30,10,9,0,0,1
p28,12630,30,10,9,0,0,0
p28,12632,30,10,9,0,0,1
p28,12635,30,10,10,0,0,0
p28,13201,30,10,5,0,0,0
p28,13202,10,0,4,14,4,0
p28,13205,8,0,0,14,4,0
p28,13206,7,0,0,15,4,0
p28,13207,4,0,0,16,7,0
p28,13212,3,0,0,17,12,0
p28,13217,2,0,0,18,12,0
p28,13222,2,0,0,18,15,0
p28,13227,1,0,0,19,16,0
p28,13232,1,0,0,19,17,0
p28,13237,0,0,0,20,17,0
p28,13800,30,10,0,20,17,0
p28,13802,30,10,0,11,11,0
p28,13803,30,10,0,0,0,10
p28,13805,30,10,1,0,0,7
p28,13806,30,10,1,0,0,4
p28,13807,30,10,2,0,0,2
p28,13808,30,10,3,0,0,7
p28,13809,30,10,3,0,0,4
p28,13810,30,10,4,0,0,3
p28,13812,30,10,5,0,0,2
p28,13813,30,10,7,0,0,3
p28,13815,30,10,8,0,0,1
p28,13817,30,10,9,0,0,0
p28,13818,30,10,9,0,0,1
p28,13819,30,10,9,0,0,0
p28,13823,30,10,9,0,0,1
p28,13826,30,10,9,0,0,0
p28,13828,30,10,9,0,0,1
p28,13833,30,10,9,0,0,1
p28,13835,30,10,10,0,0,0
p28,14402,21,1,10,9,0,0
p28,14403,10,0,7,20,0,0
p28,14404,10,0,4,16,4,0
p28,14405,9,0,0,16,4,0
p28,14408,8,0,0,17,4,0
p28,14409,8,0,0,12,11,0
p28,14413,6,0,0,14,11,0
p28,14414,4,0,0,16,14,0
p28,14418,2,0,0,18,14,0
p28,14419,1,0,0,19,16,0
p28,14424,1,0,0,19,18,0
p28,14439,0,0,0,20,18,0
p28,15000,30,10,0,20,18,0
p28,15004,30,10,0,3,3,0
p28,15005,30,10,2,0,0,8
p28,15006,30,10,3,0,0,5
p28,15007,30,10,3,0,0,4
p28,15009,30,10,6,0,0,1
p28,15010,30,10,6,0,0,0
p28,15012,30,10,9,0,0,1
p28,15014,30,10,10,0,0,0
p28,15601,30,10,6,0,0,0
