id,t,dTot,dFed,rFed,oFed,sFed,unat
p1,0,0,0,0,20,0,0
p1,5,30,10,3,0,0,7
p1,6,30,10,3,0,0,5
p1,7,30,10,3,0,0,3
p1,10,30,10,4,0,0,4
p1,11,30,10,5,0,0,3
p1,12,30,10,5,0,0,2
p1,15,30,10,7,0,0,3
p1,17,30,10,8,0,0,1
p1,20,30,10,9,0,0,1
p1,21,30,10,10,0,0,0
p1,60,30,10,10,0,0,0
p1,120,30,10,10,0,0,0
p1,180,30,10,10,0,0,0
p1,240,30,10,10,0,0,0
p1,300,30,10,10,0,0,0
p1,360,30,10,10,0,0,0
p1,420,30,10,10,0,0,0
p1,480,30,10,10,0,0,0
p1,540,30,10,10,0,0,0
p1,600,28,8,10,2,0,0
p1,601,28,8,3,2,0,0
p1,602,28,8,1,2,0,0
p1,605,10,0,0,20,0,0
p1,606,10,0,0,10,6,0
p1,610,7,0,0,13,6,0
p1,611,6,0,0,14,12,0
p1,615,5,0,0,15,12,0
p1,616,5,0,0,15,15,0
p1,620,2,0,0,18,15,0
p1,625,1,0,0,19,15,0
p1,626,0,0,0,20,16,0
p1,660,0,0,0,20,16,0
p1,720,0,0,0,20,16,0
p1,780,0,0,0,20,16,0
p1,840,0,0,0,20,16,0
p1,900,0,0,0,20,16,0
p1,960,0,0,0,20,16,0
p1,1020,0,0,0,20,16,0
p1,1080,0,0,0,20,16,0
p1,1140,0,0,0,20,16,0
p1,1200,30,10,0,20,16,0
p1,1201,30,10,0,2,2,0
p1,1202,30,10,1,0,0,8
p1,1203,30,10,1,0,0,5
p1,1204,30,10,3,0,0,2
p1,1205,30,10,3,0,0,0
p1,1207,30,10,6,0,0,4
p1,1208,30,10,6,0,0,3
p1,1209,30,10,7,0,0,0
p1,1212,30,10,7,0,0,3
p1,1213,30,10,8,0,0,2
p1,1215,30,10,9,0,0,0
p1,1217,30,10,9,0,0,1
p1,1219,30,10,9,0,0,0
p1,1222,30,10,9,0,0,1
p1,1225,30,10,10,0,0,0
p1,1260,30,10,10,0,0,0
p1,1320,30,10,10,0,0,0
p1,1380,30,10,10,0,0,0
p1,1440,30,10,10,0,0,0
p1,1500,30,10,10,0,0,0
p1,1560,30,10,10,0,0,0
p1,1620,30,10,10,0,0,0
p1,1680,30,10,10,0,0,0
p1,1740,30,10,10,0,0,0
p1,1800,30,10,10,0,0,0
p1,1801,12,0,10,18,0,0
p1,1802,9,0,7,20,0,0
p1,1803,9,0,5,20,0,0
p1,1804,7,0,3,20,0,0
p1,1805,7,0,1,20,0,0
p1,1806,7,0,0,20,0,0
p1,1807,7,0,0,13,7,0
p1,1811,6,0,0,14,7,0
p1,1812,3,0,0,17,8,0
p1,1817,1,0,0,19,11,0
p1,1822,1,0,0,19,13,0
p1,1826,0,0,0,20,13,0
p1,1860,0,0,0,20,13,0
p1,1920,0,0,0,20,13,0
p1,1980,0,0,0,20,13,0
p1,2040,0,0,0,20,13,0
p1,2100,0,0,0,20,13,0
p1,2160,0,0,0,20,13,0
p1,2220,0,0,0,20,13,0
p1,2280,0,0,0,20,13,0
p1,2340,0,0,0,20,13,0
p1,2400,30,10,0,20,13,0
p1,2402,30,10,0,0,0,9
p1,2403,30,10,1,0,0,8
p1,2404,30,10,3,0,0,6
p1,2406,30,10,7,0,0,2
p1,2407,30,10,7,0,0,0
p1,2408,30,10,8,0,0,1
p1,2413,30,10,9,0,0,1
p1,2414,30,10,10,0,0,0
p1,2460,30,10,10,0,0,0
p1,2520,30,10,10,0,0,0
p1,2580,30,10,10,0,0,0
p1,2640,30,10,10,0,0,0
p1,2700,30,10,10,0,0,0
p1,2760,30,10,10,0,0,0
p1,2820,30,10,10,0,0,0
p1,2880,30,10,10,0,0,0
p1,2940,30,10,10,0,0,0
p1,3000,30,10,10,0,0,0
p1,3001,30,10,9,0,0,0
p1,3002,10,0,6,20,0,0
p1,3003,9,0,5,16,8,0
p1,3004,7,0,0,16,8,0
p1,3007,5,0,0,18,8,0
p1,3008,3,0,0,17,9,0
p1,3013,2,0,0,18,12,0
p1,3018,0,0,0,20,13,0
p1,3023,0,0,0,20,14,0
p1,3060,0,0,0,20,14,0
p1,3120,0,0,0,20,14,0
p1,3180,0,0,0,20,14,0
p1,3240,0,0,0,20,14,0
p1,3300,0,0,0,20,14,0
p1,3360,0,0,0,20,14,0
p1,3420,0,0,0,20,14,0
p1,3480,0,0,0,20,14,0
p1,3540,0,0,0,20,14,0
p1,3600,30,10,0,20,14,0
p1,3603,30,10,0,4,4,0
p1,3604,30,10,1,0,0,9
p1,3605,30,10,2,0,0,7
p1,3606,30,10,2,0,0,6
p1,3608,30,10,7,0,0,0
p1,3609,30,10,7,0,0,3
p1,3610,30,10,8,0,0,2
p1,3613,30,10,9,0,0,1
p1,3614,30,10,10,0,0,0
p1,3660,30,10,10,0,0,0
p1,3720,30,10,10,0,0,0
p1,3780,30,10,10,0,0,0
p1,3840,30,10,10,0,0,0
p1,3900,30,10,10,0,0,0
p1,3960,30,10,10,0,0,0
p1,4020,30,10,10,0,0,0
p1,4080,30,10,10,0,0,0
p1,4140,30,10,10,0,0,0
p1,4200,30,10,10,0,0,0
p1,4203,25,5,7,5,0,0
p1,4204,10,0,4,20,1,0
p1,4205,8,0,0,14,2,0
p1,4209,3,0,0,19,2,0
p1,4210,3,0,0,17,8,0
p1,4214,2,0,0,18,8,0
p1,4215,1,0,0,19,9,0
p1,4219,0,0,0,20,9,0
p1,4220,0,0,0,20,10,0
p1,4260,0,0,0,20,10,0
p1,4320,0,0,0,20,10,0
p1,4380,0,0,0,20,10,0
p1,4440,0,0,0,20,10,0
p1,4500,0,0,0,20,10,0
p1,4560,0,0,0,20,10,0
p1,4620,0,0,0,20,10,0
p1,4680,0,0,0,20,10,0
p1,4740,0,0,0,20,10,0
p1,4800,30,10,0,20,10,0
p1,4805,30,10,0,0,0,2
p1,4806,30,10,5,0,0,5
p1,4808,30,10,7,0,0,3
p1,4809,30,10,8,0,0,0
p1,4811,30,10,9,0,0,1
p1,4814,30,10,10,0,0,0
p1,4860,30,10,10,0,0,0
p1,4920,30,10,10,0,0,0
p1,4980,30,10,10,0,0,0
p1,5040,30,10,10,0,0,0
p1,5100,30,10,10,0,0,0
p1,5160,30,10,10,0,0,0
p1,5220,30,10,10,0,0,0
p1,5280,30,10,10,0,0,0
p1,5340,30,10,10,0,0,0
p1,5400,30,10,10,0,0,0
p1,5401,30,10,8,0,0,0
p1,5402,30,10,4,0,0,4
p1,5403,30,10,2,0,0,4
p1,5404,30,10,0,0,0,4
p1,5405,10,0,0,20,0,2
p1,5406,10,0,0,20,0,1
p1,5407,10,0,0,11,10,1
p1,5408,10,0,0,11,10,0
p1,5412,2,0,0,18,12,0
p1,5417,1,0,0,19,13,0
p1,5422,0,0,0,20,13,0
p1,5460,0,0,0,20,13,0
p1,5520,0,0,0,20,13,0
p1,5526,0,0,0,20,12,0
p1,5580,0,0,0,20,12,0
p1,5640,0,0,0,20,12,0
p1,5700,0,0,0,20,12,0
p1,5760,0,0,0,20,12,0
p1,5820,0,0,0,20,12,0
p1,5880,0,0,0,20,12,0
p1,5940,0,0,0,20,12,0
p1,6000,30,10,0,20,12,0
p1,6002,30,10,0,5,4,0
p1,6003,30,10,2,0,0,8
p1,6004,30,10,3,0,0,7
p1,6005,30,10,4,0,0,5
p1,6006,30,10,6,0,0,3
p1,6007,30,10,6,0,0,1
p1,6008,30,10,7,0,0,3
p1,6010,30,10,7,0,0,2
p1,6011,30,10,8,0,0,1
p1,6012,30,10,8,0,0,0
p1,6013,30,10,8,0,0,2
p1,6015,30,10,8,0,0,0
p1,6018,30,10,8,0,0,2
p1,6020,30,10,8,0,0,1
p1,6021,30,10,9,0,0,0
p1,6023,30,10,9,0,0,1
p1,6028,30,10,10,0,0,0
p1,6060,30,10,10,0,0,0
p1,6120,30,10,10,0,0,0
p1,6180,30,10,10,0,0,0
p1,6240,30,10,10,0,0,0
p1,6300,30,10,10,0,0,0
p1,6360,30,10,10,0,0,0
p1,6420,30,10,10,0,0,0
p1,6480,30,10,10,0,0,0
p1,6540,30,10,10,0,0,0
p1,6600,30,10,9,0,0,0
p1,6601,30,10,6,0,0,0
p1,6602,15,0,5,15,0,0
p1,6603,8,0,1,20,0,0
p1,6604,7,0,0,13,6,0
p1,6608,6,0,0,14,6,0
p1,6609,3,0,0,17,11,0
p1,6614,2,0,0,18,11,0
p1,6619,2,0,0,18,12,0
p1,6623,1,0,0,19,12,0
p1,6629,0,0,0,20,12,0
p1,6660,0,0,0,20,12,0
p1,6720,0,0,0,20,12,0
p1,6780,0,0,0,20,12,0
p1,6840,0,0,0,20,12,0
p1,6900,0,0,0,20,12,0
p1,6960,0,0,0,20,12,0
p1,7020,0,0,0,20,12,0
p1,7080,0,0,0,20,12,0
p1,7140,0,0,0,20,12,0
p1,7200,30,10,0,20,12,0
p1,7204,30,10,0,0,0,2
p1,7205,30,10,1,0,0,6
p1,7206,30,10,1,0,0,3
p1,7208,30,10,3,0,0,1
p1,7210,30,10,8,0,0,2
p1,7212,30,10,8,0,0,1
p1,7213,30,10,9,0,0,0
p1,7215,30,10,10,0,0,0
p1,7260,30,10,10,0,0,0
p1,7320,30,10,10,0,0,0
p1,7380,30,10,10,0,0,0
p1,7440,30,10,10,0,0,0
p1,7500,30,10,10,0,0,0
p1,7560,30,10,10,0,0,0
p1,7620,30,10,10,0,0,0
p1,7680,30,10,10,0,0,0
p1,7740,30,10,10,0,0,0
p1,7800,30,10,8,0,0,0
p1,7801,30,10,6,0,0,0
p1,7803,30,10,3,0,0,0
p1,7804,10,0,3,20,0,0
