id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p23,0,0,0,0,20,0,0,0,0
p23,6,0,0,0,20,1,0,0,0
p23,11,0,0,0,20,8,0,0,0
p23,16,0,0,0,20,10,0,0,0
p23,21,0,0,0,20,16,0,0,0
p23,26,0,0,0,20,19,0,0,0
p23,36,0,0,0,20,20,0,0,0
p23,60,0,0,0,20,20,0,0,0
p23,120,0,0,0,20,20,0,0,0
p23,180,0,0,0,20,20,0,0,0
p23,240,0,0,0,20,20,0,0,0
p23,300,0,0,0,20,20,0,0,0
p23,360,0,0,0,20,20,0,0,0
p23,420,0,0,0,20,20,0,0,0
p23,480,0,0,0,20,20,0,0,0
p23,540,0,0,0,20,20,0,0,0
p23,600,30,10,0,20,20,0,30,0
p23,601,30,10,0,17,16,3,27,0
p23,602,30,10,0,10,10,10,20,0
p23,603,30,10,0,0,0,20,10,10
p23,606,30,10,1,0,0,20,9,9
p23,607,30,10,4,0,0,20,6,5
p23,608,30,10,6,0,0,20,4,3
p23,612,30,10,7,0,0,20,3,1
p23,613,30,10,7,0,0,20,3,3
p23,617,30,10,8,0,0,20,2,2
p23,618,30,10,8,0,0,20,2,2
p23,622,30,10,9,0,0,20,1,1
p23,623,30,10,10,0,0,20,0,0
p23,660,30,10,10,0,0,20,0,0
p23,720,30,10,10,0,0,20,0,0
p23,780,30,10,10,0,0,20,0,0
p23,840,30,10,10,0,0,20,0,0
p23,900,30,10,10,0,0,20,0,0
p23,960,30,10,10,0,0,20,0,0
p23,1020,30,10,10,0,0,20,0,0
p23,1080,30,10,10,0,0,20,0,0
p23,1140,30,10,10,0,0,20,0,0
p23,1200,30,10,10,0,0,20,0,0
p23,1201,27,7,9,3,0,17,1,0
p23,1202,20,0,6,10,0,10,4,0
p23,1203,10,0,3,20,0,0,7,0
p23,1204,10,0,0,13,6,7,3,0
p23,1207,10,0,0,13,4,7,3,0
p23,1208,9,0,0,14,4,6,3,0
p23,1209,6,0,0,14,8,6,0,0
p23,1212,5,0,0,15,8,5,0,0
p23,1213,4,0,0,16,8,4,0,0
p23,1214,3,0,0,17,9,3,0,0
p23,1219,2,0,0,18,10,2,0,0
p23,1224,1,0,0,19,11,1,0,0
p23,1228,0,0,0,20,11,0,0,0
p23,1234,0,0,0,20,12,0,0,0
p23,1260,0,0,0,20,12,0,0,0
p23,1320,0,0,0,20,12,0,0,0
p23,1380,0,0,0,20,12,0,0,0
p23,1440,0,0,0,20,12,0,0,0
p23,1500,0,0,0,20,12,0,0,0
p23,1560,0,0,0,20,12,0,0,0
p23,1620,0,0,0,20,12,0,0,0
p23,1680,0,0,0,20,12,0,0,0
p23,1740,0,0,0,20,12,0,0,0
p23,1800,30,10,0,20,12,0,30,0
p23,1804,30,10,0,9,8,11,19,0
p23,1805,30,10,0,0,0,20,10,3
p23,1806,30,10,0,0,0,20,10,10
p23,1807,30,10,0,0,0,20,10,9
p23,1808,30,10,1,0,0,20,9,8
p23,1810,30,10,6,0,0,20,4,2
