id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p30,0,0,0,0,20,0,0,0,0
p30,5,0,0,0,20,1,0,0,0
p30,13,0,0,0,20,3,0,0,0
p30,18,0,0,0,20,13,0,0,0
p30,23,0,0,0,20,14,0,0,0
p30,28,0,0,0,20,20,0,0,0
p30,600,40,20,0,20,20,0,40,0
p30,604,40,20,0,18,17,2,38,0
p30,605,40,20,0,13,12,7,33,0
p30,606,40,20,0,10,9,10,30,0
p30,607,40,20,0,5,4,15,25,0
p30,608,40,20,0,2,1,18,22,0
p30,609,40,20,0,0,0,20,20,13
p30,610,40,20,1,0,0,20,19,19
p30,611,40,20,1,0,0,20,19,18
p30,612,40,20,1,0,0,20,19,15
p30,613,40,20,1,0,0,20,19,14
p30,614,40,20,1,0,0,20,19,8
p30,615,40,20,1,0,0,20,19,11
p30,616,40,20,0,0,0,20,20,15
p30,617,40,20,0,0,0,20,20,14
p30,618,40,20,1,0,0,20,19,9
p30,619,40,20,0,0,0,20,20,4
p30,620,40,20,0,0,0,20,20,3
p30,621,40,20,0,0,0,20,20,12
p30,622,40,20,2,0,0,20,18,12
p30,623,40,20,2,0,0,20,18,10
p30,624,40,20,7,0,0,20,13,5
p30,625,40,20,8,0,0,20,12,2
p30,626,40,20,8,0,0,20,12,1
p30,627,40,20,8,0,0,20,12,11
p30,628,40,20,8,0,0,20,12,10
p30,629,40,20,10,0,0,20,10,7
p30,630,40,20,13,0,0,20,7,1
p30,632,40,20,13,0,0,20,7,6
p30,633,40,20,14,0,0,20,6,4
p30,634,40,20,13,0,0,20,7,2
p30,635,40,20,12,0,0,20,8,1
p30,637,40,20,12,0,0,20,8,8
p30,638,40,20,12,0,0,20,8,5
p30,639,40,20,12,0,0,20,8,4
p30,641,40,20,14,0,0,20,6,2
p30,642,40,20,14,0,0,20,6,5
p30,643,40,20,14,0,0,20,6,4
p30,644,40,20,13,0,0,20,7,2
p30,645,40,20,13,0,0,20,7,1
p30,646,40,20,13,0,0,20,7,0
p30,647,40,20,13,0,0,20,7,7
p30,648,40,20,13,0,0,20,7,4
p30,649,40,20,12,0,0,20,8,4
p30,650,40,20,12,0,0,20,8,3
p30,651,40,20,13,0,0,20,7,1
p30,652,40,20,13,0,0,20,7,6
p30,653,40,20,12,0,0,20,8,3
p30,654,40,20,11,0,0,20,9,1
p30,656,40,20,11,0,0,20,9,0
p30,657,40,20,11,0,0,20,9,9
p30,658,40,20,11,0,0,20,9,7
p30,659,40,20,11,0,0,20,9,7
p30,660,40,20,13,0,0,20,7,4
p30,661,40,20,13,0,0,20,7,2
p30,662,40,20,12,0,0,20,8,8
p30,663,40,20,14,0,0,20,6,6
p30,664,40,20,15,0,0,20,5,4
p30,665,40,20,14,0,0,20,6,2
p30,667,40,20,13,0,0,20,7,2
p30,668,40,20,14,0,0,20,6,5
p30,670,40,20,15,0,0,20,5,3
p30,671,40,20,15,0,0,20,5,1
p30,672,40,20,15,0,0,20,5,0
p30,673,40,20,15,0,0,20,5,3
p30,674,40,20,15,0,0,20,5,2
p30,675,40,20,15,0,0,20,5,0
p30,678,40,20,15,0,0,20,5,5
p30,680,40,20,16,0,0,20,4,2
p30,681,40,20,16,0,0,20,4,1
p30,682,40,20,16,0,0,20,4,0
p30,683,40,20,16,0,0,20,4,4
p30,684,40,20,17,0,0,20,3,3
p30,685,40,20,18,0,0,20,2,2
p30,686,40,20,18,0,0,20,2,0
p30,688,40,20,18,0,0,20,2,1
p30,689,40,20,17,0,0,20,3,1
p30,691,40,20,18,0,0,20,2,0
p30,693,40,20,18,0,0,20,2,2
p30,695,40,20,18,0,0,20,2,1
p30,697,40,20,18,0,0,20,2,0
p30,698,40,20,17,0,0,20,3,2
p30,700,40,20,17,0,0,20,3,0
p30,703,40,20,17,0,0,20,3,3
p30,704,40,20,17,0,0,20,3,2
p30,705,40,20,17,0,0,20,3,1
p30,706,40,20,17,0,0,20,3,0
p30,708,40,20,17,0,0,20,3,3
p30,710,40,20,17,0,0,20,3,2
p30,711,40,20,16,0,0,20,4,0
p30,713,40,20,16,0,0,20,4,4
p30,715,40,20,17,0,0,20,3,2
p30,716,40,20,17,0,0,20,3,1
p30,717,40,20,17,0,0,20,3,0
p30,718,40,20,17,0,0,20,3,2
p30,720,40,20,16,0,0,20,4,2
p30,722,40,20,17,0,0,20,3,0
