id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p13,0,0,0,0,20,0,0,0,0
p13,1,40,20,0,18,0,2,38,0
p13,6,40,20,0,11,0,9,31,0
p13,8,40,20,0,1,0,19,21,0
p13,13,40,20,0,0,0,20,20,3
p13,14,40,20,0,0,0,20,20,20
p13,18,40,20,8,0,0,20,12,11
p13,19,40,20,9,0,0,20,11,6
p13,20,40,20,9,0,0,20,11,5
p13,23,40,20,12,0,0,20,8,2
p13,24,40,20,12,0,0,20,8,1
p13,25,40,20,12,0,0,20,8,6
p13,28,40,20,14,0,0,20,6,3
p13,29,40,20,15,0,0,20,5,1
p13,30,40,20,15,0,0,20,5,4
p13,33,40,20,15,0,0,20,5,3
p13,34,40,20,15,0,0,20,5,1
p13,35,40,20,15,0,0,20,5,5
p13,36,40,20,15,0,0,20,5,4
p13,38,40,20,16,0,0,20,4,1
p13,40,40,20,16,0,0,20,4,4
p13,41,40,20,16,0,0,20,4,1
p13,45,40,20,16,0,0,20,4,4
p13,48,40,20,16,0,0,20,4,2
p13,49,40,20,16,0,0,20,4,1
p13,50,40,20,16,0,0,20,4,3
p13,53,40,20,16,0,0,20,4,2
p13,54,40,20,16,0,0,20,4,0
p13,56,40,20,16,0,0,20,4,4
p13,58,40,20,16,0,0,20,4,2
p13,59,40,20,17,0,0,20,3,1
p13,60,40,20,17,0,0,20,3,0
p13,61,40,20,17,0,0,20,3,3
p13,64,40,20,19,0,0,20,1,0
p13,66,40,20,19,0,0,20,1,1
p13,69,40,20,19,0,0,20,1,0
p13,71,40,20,19,0,0,20,1,1
p13,75,40,20,19,0,0,20,1,0
p13,76,40,20,19,0,0,20,1,0
p13,81,40,20,19,0,0,20,1,1
p13,85,40,20,19,0,0,20,1,0
p13,86,40,20,19,0,0,20,1,1
p13,88,40,20,19,0,0,20,1,0
p13,91,40,20,19,0,0,20,1,1
p13,96,40,20,19,0,0,20,1,1
p13,99,40,20,19,0,0,20,1,0
p13,101,40,20,19,0,0,20,1,1
p13,104,40,20,20,0,0,20,0,0
p13,120,40,20,20,0,0,20,0,0
p13,180,40,20,20,0,0,20,0,0
p13,240,40,20,20,0,0,20,0,0
p13,300,40,20,20,0,0,20,0,0
p13,360,40,20,20,0,0,20,0,0
p13,420,40,20,20,0,0,20,0,0
p13,480,40,20,20,0,0,20,0,0
p13,540,40,20,20,0,0,20,0,0
p13,600,40,20,20,0,0,20,0,0
p13,601,38,18,20,2,0,18,0,0
p13,604,38,18,17,2,0,18,3,0
p13,605,38,18,12,2,0,18,8,0
p13,606,32,12,8,7,0,13,11,0
p13,607,32,12,5,0,0,20,7,0
p13,608,21,1,3,9,0,11,7,1
p13,609,21,1,0,9,0,11,10,1
p13,612,21,1,0,9,0,11,10,0
p13,613,20,0,0,10,0,10,10,0
p13,614,20,0,0,0,0,20,0,0
p13,619,18,0,0,2,0,18,0,0
p13,621,17,0,0,3,0,17,0,0
p13,623,15,0,0,5,0,15,0,0
p13,624,12,0,0,8,7,12,0,0
p13,625,10,0,0,10,7,10,0,0
p13,629,8,0,0,12,12,8,0,0
p13,630,7,0,0,13,12,7,0,0
p13,631,6,0,0,14,12,6,0,0
p13,635,5,0,0,15,14,5,0,0
p13,640,5,0,0,15,15,5,0,0
p13,642,4,0,0,16,15,4,0,0
p13,645,4,0,0,16,16,4,0,0
p13,650,4,0,0,16,16,4,0,0
p13,660,4,0,0,16,16,4,0,0
p13,661,3,0,0,17,16,3,0,0
p13,665,3,0,0,17,17,3,0,0
p13,667,2,0,0,18,17,2,0,0
p13,670,2,0,0,18,18,2,0,0
p13,672,1,0,0,19,18,1,0,0
p13,675,1,0,0,19,19,1,0,0
p13,685,1,0,0,19,19,1,0,0
p13,705,0,0,0,20,19,0,0,0
p13,710,0,0,0,20,20,0,0,0
p13,720,0,0,0,20,20,0,0,0
p13,740,0,0,0,20,20,0,0,0
p13,770,0,0,0,20,20,0,0,0
p13,780,0,0,0,20,20,0,0,0
p13,815,0,0,0,20,20,0,0,0
p13,830,0,0,0,20,20,0,0,0
p13,840,0,0,0,20,20,0,0,0
p13,880,0,0,0,20,20,0,0,0
p13,900,0,0,0,20,20,0,0,0
p13,960,0,0,0,20,20,0,0,0
p13,1020,0,0,0,20,20,0,0,0
p13,1080,0,0,0,20,20,0,0,0
p13,1090,0,0,0,20,20,0,0,0
p13,1140,0,0,0,20,20,0,0,0
p13,1200,40,20,0,20,20,0,40,0
p13,1205,40,20,0,19,18,1,39,0
p13,1206,40,20,0,10,10,10,30,0
p13,1207,40,20,0,5,3,15,25,0
p13,1208,40,20,0,0,0,20,20,7
p13,1209,40,20,3,0,0,20,17,13
p13,1210,40,20,2,0,0,20,18,15
p13,1211,40,20,1,0,0,20,19,12
p13,1212,40,20,1,0,0,20,19,10
p13,1213,40,20,1,0,0,20,19,9
p13,1214,40,20,1,0,0,20,19,5
p13,1215,40,20,0,0,0,20,20,15
p13,1216,40,20,0,0,0,20,20,10
p13,1218,40,20,1,0,0,20,19,9
p13,1219,40,20,0,0,0,20,20,5
p13,1220,40,20,1,0,0,20,19,2
p13,1221,40,20,2,0,0,20,18,16
p13,1223,40,20,2,0,0,20,18,14
p13,1224,40,20,2,0,0,20,18,8
p13,1225,40,20,2,0,0,20,18,4
p13,1226,40,20,3,0,0,20,17,12
p13,1227,40,20,3,0,0,20,17,6
p13,1228,40,20,3,0,0,20,17,5
p13,1229,40,20,6,0,0,20,14,1
p13,1230,40,20,7,0,0,20,13,1
p13,1232,40,20,8,0,0,20,12,12
p13,1233,40,20,8,0,0,20,12,11
p13,1234,40,20,8,0,0,20,12,7
p13,1235,40,20,8,0,0,20,12,5
p13,1236,40,20,9,0,0,20,11,2
p13,1237,40,20,9,0,0,20,11,11
p13,1238,40,20,9,0,0,20,11,10
p13,1240,40,20,9,0,0,20,11,5
p13,1241,40,20,9,0,0,20,11,3
p13,1242,40,20,11,0,0,20,9,3
p13,1243,40,20,11,0,0,20,9,9
p13,1244,40,20,11,0,0,20,9,8
p13,1245,40,20,13,0,0,20,7,5
p13,1246,40,20,14,0,0,20,6,2
p13,1247,40,20,15,0,0,20,5,0
p13,1248,40,20,15,0,0,20,5,4
p13,1250,40,20,15,0,0,20,5,3
