id,t,dTot,dFed,rFed,oFed,sFed
p17,0,0,0,0,20,0
p17,1,40,20,0,18,0
p17,6,40,20,0,4,0
p17,7,40,20,0,0,0
p17,10,40,20,5,0,0
p17,11,40,20,15,0,0
p17,15,40,20,16,0,0
p17,16,40,20,17,0,0
p17,21,40,20,19,0,0
p17,106,40,20,20,0,0
p17,602,38,18,20,2,0
p17,607,37,17,19,3,0
p17,608,37,17,19,2,0
p17,609,36,16,18,3,0
p17,610,35,15,17,4,0
p17,612,35,15,16,4,0
p17,613,34,14,15,1,0
p17,615,34,14,14,1,0
p17,617,33,13,14,2,0
p17,618,32,12,13,2,0
p17,619,31,11,12,2,0
p17,620,30,10,11,2,0
p17,621,29,9,10,2,0
p17,624,28,8,10,3,0
p17,625,27,7,8,3,0
p17,626,26,6,7,3,0
p17,627,25,5,6,4,0
p17,628,24,4,5,4,0
p17,630,22,2,3,4,0
p17,631,21,1,3,5,0
p17,632,20,0,3,6,0
p17,633,18,0,1,6,0
p17,634,16,0,0,7,0
p17,635,15,0,0,7,8
p17,636,15,0,0,6,8
p17,637,14,0,0,6,8
p17,638,13,0,0,7,8
p17,639,10,0,0,10,8
p17,640,9,0,0,11,8
p17,641,7,0,0,13,8
p17,642,5,0,0,15,17
p17,643,4,0,0,16,17
p17,644,2,0,0,18,17
p17,647,2,0,0,18,18
p17,648,1,0,0,19,18
p17,652,1,0,0,19,19
p17,720,0,0,0,20,19
p17,723,0,0,0,20,20
p17,1201,40,20,0,20,20
p17,1206,40,20,0,19,19
p17,1208,40,20,0,18,18
p17,1209,40,20,0,17,17
p17,1210,40,20,0,15,15
p17,1212,40,20,0,14,14
p17,1213,40,20,0,13,13
p17,1215,40,20,0,11,11
p17,1216,40,20,0,10,10
p17,1217,40,20,0,9,9
p17,1218,40,20,0,8,8
p17,1220,40,20,0,6,6
p17,1221,40,20,0,5,5
p17,1222,40,20,0,3,3
p17,1223,40,20,0,1,1
p17,1224,40,20,0,0,0
p17,1229,40,20,1,0,0
p17,1230,40,20,2,0,0
p17,1231,40,20,5,0,0
p17,1233,40,20,5,0,0
p17,1234,40,20,5,0,0
p17,1236,40,20,5,0,0
p17,1237,40,20,6,0,0
p17,1238,40,20,7,0,0
p17,1239,40,20,9,0,0
p17,1240,40,20,8,0,0
p17,1241,40,20,7,0,0
p17,1244,40,20,6,0,0
p17,1247,40,20,6,0,0
p17,1248,40,20,5,0,0
p17,1249,40,20,4,0,0
p17,1251,40,20,2,0,0
p17,1252,40,20,4,0,0
p17,1254,40,20,6,0,0
p17,1255,40,20,6,0,0
p17,1256,40,20,7,0,0
p17,1257,40,20,8,0,0
p17,1259,40,20,9,0,0
p17,1260,40,20,10,0,0
p17,1262,40,20,11,0,0
p17,1263,40,20,13,0,0
p17,1264,40,20,12,0,0
p17,1268,40,20,14,0,0
p17,1271,40,20,15,0,0
p17,1274,40,20,17,0,0
p17,1290,40,20,18,0,0
p17,1293,40,20,19,0,0
p17,1303,40,20,20,0,0
p17,1802,40,20,19,0,0
p17,1804,40,20,18,0,0
p17,1805,40,20,17,0,0
p17,1806,40,20,18,0,0
p17,1809,39,19,17,1,0
p17,1810,38,18,17,0,1
p17,1811,38,18,16,0,1
p17,1812,38,18,15,0,1
p17,1813,37,17,14,1,1
p17,1815,37,17,13,1,1
p17,1816,37,17,11,1,1
p17,1817,37,17,10,1,1
p17,1819,36,16,10,2,1
p17,1820,36,16,9,2,1
p17,1822,35,15,8,3,1
p17,1823,35,15,7,3,1
p17,1824,35,15,6,3,1
