id,t,dTot,dFed,rFed,oFed,sFed
p17,0,0,0,0,20,0
p17,1,40,20,0,18,0
p17,6,40,20,0,3,0
p17,7,40,20,0,0,0
p17,10,40,20,6,0,0
p17,11,40,20,16,0,0
p17,12,40,20,17,0,0
p17,41,40,20,19,0,0
p17,62,40,20,20,0,0
p17,601,38,18,20,2,0
p17,603,38,18,19,2,0
p17,605,38,18,17,1,1
p17,606,36,16,16,3,1
p17,607,32,12,14,7,1
p17,608,30,10,12,7,0
p17,609,28,8,9,9,0
p17,610,25,5,5,12,0
p17,611,21,1,2,16,0
p17,612,18,0,0,17,0
p17,613,17,0,0,15,0
p17,614,17,0,0,9,4
p17,615,12,0,0,8,4
p17,616,10,0,0,10,4
p17,617,7,0,0,13,4
p17,618,4,0,0,16,4
p17,619,3,0,0,17,4
p17,620,3,0,0,17,15
p17,630,3,0,0,17,17
p17,647,2,0,0,18,17
p17,648,1,0,0,19,17
p17,650,1,0,0,19,19
p17,665,0,0,0,20,19
p17,670,0,0,0,20,20
p17,1201,40,20,0,20,20
p17,1202,40,20,0,16,16
p17,1203,40,20,0,13,12
p17,1204,40,20,0,10,9
p17,1205,40,20,0,7,7
p17,1206,40,20,0,5,4
p17,1207,40,20,0,2,1
p17,1208,40,20,0,0,0
p17,1209,40,20,2,0,0
p17,1211,40,20,4,0,0
p17,1212,40,20,5,0,0
p17,1213,40,20,8,0,0
p17,1214,40,20,9,0,0
p17,1215,40,20,4,0,0
p17,1216,40,20,3,0,0
p17,1218,40,20,2,0,0
p17,1220,40,20,2,0,0
p17,1221,40,20,4,0,0
p17,1223,40,20,5,0,0
p17,1224,40,20,6,0,0
p17,1225,40,20,9,0,0
p17,1226,40,20,13,0,0
p17,1231,40,20,14,0,0
p17,1236,40,20,15,0,0
p17,1241,40,20,16,0,0
p17,1246,40,20,17,0,0
p17,1247,40,20,18,0,0
p17,1258,40,20,19,0,0
p17,1382,40,20,20,0,0
p17,1802,37,17,20,3,0
p17,1803,33,13,20,7,0
p17,1804,31,11,19,9,0
p17,1805,29,9,15,10,1
p17,1806,25,5,15,14,1
p17,1807,22,2,14,17,1
p17,1808,20,0,12,19,1
p17,1809,20,0,7,19,1
p17,1810,20,0,7,19,2
p17,1811,20,0,3,9,8
p17,1812,20,0,0,7,7
p17,1815,19,0,0,8,7
p17,1816,19,0,0,8,6
p17,1817,19,0,0,1,1
p17,1820,18,0,0,2,1
p17,1821,17,0,0,3,1
p17,1822,17,0,0,3,3
p17,1824,16,0,0,4,3
p17,1825,14,0,0,6,3
p17,1826,13,0,0,7,3
p17,1827,12,0,0,8,3
p17,1828,10,0,0,10,9
p17,1829,9,0,0,11,9
p17,1831,8,0,0,12,9
p17,1832,7,0,0,13,9
p17,1833,7,0,0,13,13
p17,1834,5,0,0,15,13
p17,1838,5,0,0,15,15
p17,1848,4,0,0,16,15
p17,1849,3,0,0,17,15
p17,1850,2,0,0,18,15
p17,1853,2,0,0,18,18
p17,1862,1,0,0,19,18
p17,1863,1,0,0,19,19
p17,1990,0,0,0,20,20
p17,2401,40,20,0,20,20
p17,2402,40,20,0,17,17
p17,2403,40,20,0,13,13
p17,2404,40,20,0,10,10
p17,2405,40,20,0,7,7
p17,2406,40,20,0,4,4
p17,2407,40,20,0,3,3
p17,2408,40,20,0,1,1
p17,2409,40,20,0,0,0
p17,2410,40,20,1,0,0
p17,2413,40,20,2,0,0
p17,2414,40,20,4,0,0
p17,2415,40,20,4,0,0
p17,2416,40,20,6,0,0
p17,2417,40,20,5,0,0
