id,t,dTot,dFed,rFed,oFed,sFed
p12,0,0,0,0,20,0
p12,30,40,20,0,14,0
p12,31,40,20,0,0,0
p12,60,40,20,5,0,0
p12,61,40,20,8,0,0
p12,91,40,20,10,0,0
p12,121,40,20,19,0,0
p12,151,40,20,20,0,0
p12,3601,38,18,20,2,0
p12,3616,38,18,19,2,0
p12,3618,38,18,18,2,0
p12,3620,38,18,17,2,0
p12,3621,38,18,14,2,0
p12,3622,38,18,13,0,0
p12,3623,38,18,12,0,0
p12,3624,38,18,11,0,0
p12,3626,38,18,9,0,0
p12,3627,38,18,8,0,0
p12,3628,38,18,7,0,0
p12,3629,38,18,6,0,0
p12,3630,38,18,4,0,0
p12,3631,38,18,3,0,0
p12,3633,38,18,2,0,0
p12,3634,36,16,2,2,0
p12,3635,35,15,2,3,0
p12,3636,34,14,1,4,0
p12,3637,33,13,0,5,0
p12,3638,30,10,0,8,0
p12,3639,28,8,0,10,0
p12,3640,27,7,0,11,0
p12,3641,25,5,0,13,0
p12,3642,22,2,1,16,0
p12,3643,20,0,1,18,0
p12,3644,20,0,0,18,0
p12,3646,20,0,1,18,0
p12,3647,20,0,2,18,0
p12,3648,20,0,1,18,0
p12,3649,20,0,0,18,0
p12,3652,20,0,0,10,10
p12,3653,20,0,0,10,10
p12,3654,20,0,0,9,9
p12,3655,20,0,0,6,6
p12,3656,20,0,0,4,4
p12,3657,20,0,0,0,0
p12,3685,19,0,0,1,0
p12,3687,19,0,0,1,1
p12,3688,19,0,0,1,1
p12,3691,16,0,0,4,1
p12,3692,15,0,0,5,1
p12,3693,12,0,0,8,1
p12,3695,11,0,0,9,1
p12,3716,10,0,0,10,1
p12,3718,10,0,0,10,10
p12,3719,10,0,0,10,10
p12,3724,9,0,0,11,10
p12,3741,8,0,0,12,10
p12,3742,7,0,0,13,10
p12,3745,6,0,0,14,10
p12,3746,5,0,0,15,10
p12,3747,4,0,0,16,10
p12,3748,3,0,0,17,10
p12,3749,2,0,0,18,14
p12,3757,1,0,0,19,14
p12,3779,1,0,0,19,17
p12,3790,0,0,0,20,17
p12,3809,0,0,0,20,18
p12,3839,0,0,0,20,20
p12,3870,0,0,0,20,20
p12,4500,0,0,0,20,20
p12,4590,0,0,0,20,20
p12,4770,0,0,0,20,20
p12,5525,0,0,0,20,20
p12,5976,0,0,0,20,20
p12,6066,0,0,0,20,20
p12,6217,0,0,0,20,20
p12,6758,0,0,0,20,20
p12,6999,0,0,0,20,20
p12,7200,40,20,0,20,20
p12,7211,40,20,0,18,18
p12,7212,40,20,0,17,17
p12,7213,40,20,0,16,16
p12,7214,40,20,0,13,13
p12,7215,40,20,0,12,12
p12,7216,40,20,0,10,10
p12,7217,40,20,0,8,8
p12,7218,40,20,0,7,7
p12,7219,40,20,0,5,5
p12,7220,40,20,0,4,4
p12,7221,40,20,0,0,0
p12,7232,40,20,1,0,0
p12,7234,40,20,2,0,0
p12,7236,40,20,2,0,0
p12,7237,40,20,3,0,0
p12,7240,40,20,2,0,0
p12,7265,40,20,1,0,0
p12,7269,40,20,0,0,0
p12,7271,40,20,1,0,0
p12,7272,40,20,0,0,0
p12,7277,40,20,1,0,0
p12,7278,40,20,1,0,0
p12,7279,40,20,0,0,0
p12,7325,40,20,2,0,0
p12,7326,40,20,2,0,0
p12,7327,40,20,2,0,0
p12,7330,40,20,3,0,0
p12,7331,40,20,4,0,0
p12,7332,40,20,3,0,0
p12,7353,40,20,4,0,0
p12,7356,40,20,5,0,0
p12,7361,40,20,8,0,0
p12,7362,40,20,9,0,0
p12,7369,40,20,10,0,0
p12,7383,40,20,11,0,0
p12,7386,40,20,12,0,0
p12,7387,40,20,13,0,0
p12,7390,40,20,14,0,0
p12,7392,40,20,13,0,0
p12,7400,40,20,14,0,0
p12,7413,40,20,15,0,0
p12,7422,40,20,16,0,0
p12,7423,40,20,16,0,0
p12,7430,40,20,17,0,0
p12,7446,40,20,19,0,0
p12,7459,40,20,20,0,0
p12,7623,40,20,19,0,0
p12,8232,40,20,20,0,0
p12,10801,40,20,19,0,0
p12,10811,39,19,18,1,0
p12,10812,37,17,17,3,0
p12,10814,34,14,17,6,0
p12,10815,33,13,17,7,0
p12,10816,31,11,17,9,0
p12,10817,28,8,17,12,0
p12,10819,27,7,17,13,0
p12,10820,25,5,17,15,0
p12,10821,24,4,16,16,0
p12,10822,23,3,15,17,0
p12,10823,22,2,14,18,0
p12,10824,22,2,13,18,0
p12,10825,21,1,13,19,0
p12,10826,20,0,11,20,0
p12,10827,20,0,10,20,0
p12,10828,20,0,9,20,0
p12,10829,20,0,8,20,0
p12,10831,20,0,7,20,0
p12,10832,20,0,6,17,3
p12,10833,20,0,4,6,6
p12,10837,20,0,3,6,6
p12,10838,20,0,2,6,6
p12,10839,20,0,1,6,6
p12,10840,20,0,0,6,6
p12,10859,20,0,0,6,5
p12,10860,20,0,0,6,3
p12,10863,20,0,0,0,0
p12,10904,19,0,0,1,0
p12,10906,18,0,0,2,0
p12,10924,18,0,0,2,2
p12,10925,18,0,0,2,2
p12,10938,17,0,0,3,2
p12,10955,17,0,0,3,3
p12,10961,16,0,0,4,3
p12,10966,15,0,0,5,3
p12,10967,14,0,0,6,3
p12,10974,13,0,0,7,3
p12,10985,13,0,0,7,7
p12,10986,13,0,0,7,7
p12,10990,12,0,0,8,7
p12,10994,11,0,0,9,7
p12,10995,10,0,0,10,7
p12,10999,8,0,0,12,7
p12,11003,7,0,0,13,7
p12,11016,7,0,0,13,13
p12,11017,7,0,0,13,13
p12,11018,7,0,0,13,13
p12,11024,6,0,0,14,13
p12,11026,5,0,0,15,13
p12,11048,5,0,0,15,15
p12,11050,4,0,0,16,15
p12,11055,3,0,0,17,15
p12,11061,2,0,0,18,15
p12,11078,2,0,0,18,18
p12,11079,2,0,0,18,18
p12,11083,1,0,0,19,18
p12,11109,1,0,0,19,19
p12,11139,1,0,0,19,19
p12,11199,1,0,0,19,19
p12,11259,1,0,0,19,19
p12,11380,1,0,0,19,19
p12,11500,1,0,0,19,19
p12,11560,1,0,0,19,19
