id,t,dTot,dFed,rFed,oFed,sFed
p15,0,0,0,0,20,0
p15,1,40,20,0,18,0
p15,6,40,20,0,1,0
p15,7,40,20,0,0,0
p15,10,40,20,9,0,0
p15,11,40,20,12,0,0
p15,15,40,20,14,0,0
p15,16,40,20,15,0,0
p15,20,40,20,15,0,0
p15,21,40,20,13,0,0
p15,26,40,20,14,0,0
p15,32,40,20,13,0,0
p15,35,40,20,14,0,0
p15,40,40,20,16,0,0
p15,45,40,20,17,0,0
p15,50,40,20,19,0,0
p15,60,40,20,20,0,0
p15,100,40,20,19,0,0
p15,120,40,20,17,0,0
p15,131,40,20,16,0,0
p15,150,40,20,17,0,0
p15,151,40,20,16,0,0
p15,155,40,20,15,0,0
p15,161,40,20,15,0,0
p15,170,40,20,16,0,0
p15,176,40,20,17,0,0
p15,186,40,20,18,0,0
p15,196,40,20,19,0,0
p15,256,40,20,20,0,0
p15,417,40,20,19,0,0
p15,466,40,20,20,0,0
p15,712,40,20,19,0,0
p15,763,40,20,20,0,0
p15,3601,38,18,20,2,0
p15,3602,38,18,15,2,0
p15,3603,38,18,12,2,0
p15,3605,38,18,11,2,0
p15,3606,37,17,10,0,0
p15,3607,35,15,9,1,0
p15,3608,34,14,6,2,0
p15,3609,33,13,4,3,0
p15,3610,32,12,4,4,0
p15,3611,28,8,1,8,0
p15,3612,24,4,1,8,0
p15,3613,21,1,1,7,1
p15,3614,18,0,2,7,2
p15,3615,17,0,2,8,2
p15,3616,15,0,2,10,2
p15,3619,15,0,1,8,8
p15,3620,14,0,1,9,8
p15,3621,14,0,0,9,8
p15,3624,14,0,0,6,6
p15,3625,12,0,0,8,6
p15,3629,12,0,0,8,8
p15,3632,11,0,0,9,8
p15,3633,10,0,0,10,8
p15,3634,10,0,0,10,10
p15,3635,8,0,0,12,11
p15,3645,8,0,0,12,12
p15,3650,8,0,0,12,12
p15,3660,8,0,0,12,11
p15,3662,7,0,0,13,12
p15,3664,6,0,0,14,12
p15,3665,5,0,0,15,13
p15,3670,5,0,0,15,14
p15,3676,4,0,0,16,14
p15,3677,3,0,0,17,14
p15,3685,3,0,0,17,15
p15,3698,2,0,0,18,15
p15,3705,2,0,0,18,16
p15,3720,2,0,0,18,18
p15,3725,1,0,0,19,18
p15,3770,1,0,0,19,19
p15,3800,1,0,0,19,19
p15,3808,0,0,0,20,19
p15,3810,0,0,0,20,20
p15,3850,0,0,0,20,20
