id,t,dTot,dFed,rFed,oFed,sFed
p18,0,0,0,0,20,0
p18,1,40,20,0,18,0
p18,6,40,20,0,0,0
p18,18,40,20,1,0,0
p18,19,40,20,2,0,0
p18,23,40,20,4,0,0
p18,24,40,20,5,0,0
p18,26,40,20,8,0,0
p18,28,40,20,10,0,0
p18,31,40,20,11,0,0
p18,33,40,20,13,0,0
p18,39,40,20,14,0,0
p18,41,40,20,15,0,0
p18,44,40,20,18,0,0
p18,76,40,20,19,0,0
p18,121,40,20,20,0,0
p18,601,38,18,19,2,0
p18,602,38,18,12,2,0
p18,603,38,18,7,0,0
p18,604,38,18,6,0,0
p18,605,38,18,3,0,0
p18,606,33,13,1,5,0
p18,607,20,0,1,18,0
p18,608,20,0,2,18,0
p18,609,20,0,1,14,4
p18,610,20,0,1,10,4
p18,611,20,0,1,3,3
p18,613,20,0,0,3,3
p18,616,20,0,0,0,0
p18,619,19,0,0,1,0
p18,621,19,0,0,1,1
p18,624,18,0,0,2,1
p18,626,18,0,0,2,2
p18,628,17,0,0,3,2
p18,631,16,0,0,4,4
p18,632,14,0,0,6,6
p18,633,13,0,0,7,6
p18,636,11,0,0,9,6
p18,637,9,0,0,11,10
p18,638,9,0,0,11,11
p18,639,8,0,0,12,11
p18,640,7,0,0,13,11
p18,642,6,0,0,14,11
p18,643,6,0,0,14,14
p18,647,5,0,0,15,14
p18,648,5,0,0,15,15
p18,650,3,0,0,17,15
p18,651,2,0,0,18,15
p18,653,2,0,0,18,18
p18,658,2,0,0,18,18
p18,668,2,0,0,18,18
p18,673,2,0,0,18,18
p18,684,1,0,0,19,18
p18,688,1,0,0,19,19
p18,708,1,0,0,19,19
p18,730,0,0,0,20,19
p18,733,0,0,0,20,20
p18,753,0,0,0,20,20
p18,763,0,0,0,20,20
p18,773,0,0,0,20,20
p18,803,0,0,0,20,20
p18,813,0,0,0,20,20
p18,838,0,0,0,20,20
p18,848,0,0,0,20,20
p18,939,0,0,0,20,20
p18,1029,0,0,0,20,20
p18,1034,0,0,0,20,20
p18,1069,0,0,0,20,20
p18,1089,0,0,0,20,20
p18,1154,0,0,0,20,20
p18,1169,0,0,0,20,20
p18,1174,0,0,0,20,20
p18,1201,40,20,0,20,20
p18,1204,40,20,0,16,16
p18,1205,40,20,0,11,10
p18,1206,40,20,0,5,5
p18,1207,40,20,0,0,0
p18,1209,40,20,0,0,0
p18,1211,40,20,0,0,0
p18,1212,40,20,0,0,0
p18,1227,40,20,0,0,0
p18,1235,40,20,0,0,0
p18,1236,40,20,1,0,0
p18,1237,40,20,3,0,0
p18,1238,40,20,3,0,0
p18,1240,40,20,5,0,0
p18,1241,40,20,8,0,0
p18,1242,40,20,9,0,0
p18,1243,40,20,9,0,0
p18,1245,40,20,10,0,0
p18,1246,40,20,11,0,0
p18,1247,40,20,10,0,0
p18,1250,40,20,9,0,0
p18,1256,40,20,11,0,0
p18,1258,40,20,11,0,0
p18,1261,40,20,10,0,0
p18,1265,40,20,11,0,0
p18,1266,40,20,12,0,0
p18,1268,40,20,12,0,0
p18,1270,40,20,13,0,0
p18,1272,40,20,14,0,0
p18,1275,40,20,13,0,0
p18,1276,40,20,12,0,0
p18,1280,40,20,13,0,0
p18,1282,40,20,15,0,0
p18,1284,40,20,16,0,0
p18,1286,40,20,17,0,0
p18,1292,40,20,16,0,0
p18,1297,40,20,16,0,0
p18,1299,40,20,17,0,0
p18,1302,40,20,18,0,0
p18,1307,40,20,19,0,0
p18,1317,40,20,20,0,0
p18,1801,40,20,18,0,0
p18,1802,40,20,15,0,0
p18,1803,40,20,12,0,0
p18,1804,37,17,7,2,0
p18,1805,31,11,4,8,0
p18,1806,25,5,3,14,0
p18,1807,20,0,1,19,0
p18,1809,20,0,1,2,2
p18,1810,20,0,0,2,2
p18,1814,20,0,0,0,0
p18,1842,17,0,0,3,0
p18,1846,17,0,0,3,3
p18,1847,13,0,0,7,7
p18,1848,13,0,0,7,7
p18,1852,12,0,0,8,7
p18,1854,12,0,0,8,8
p18,1859,12,0,0,8,8
p18,1860,11,0,0,9,8
p18,1863,10,0,0,10,8
p18,1864,10,0,0,10,10
p18,1866,9,0,0,11,10
p18,1869,9,0,0,11,11
p18,1873,8,0,0,12,11
p18,1874,8,0,0,12,12
p18,1876,7,0,0,13,12
p18,1879,7,0,0,13,13
p18,1885,7,0,0,13,13
p18,1886,6,0,0,14,13
p18,1888,5,0,0,15,13
p18,1890,5,0,0,15,15
p18,1891,4,0,0,16,15
p18,1895,4,0,0,16,16
p18,1896,3,0,0,17,16
p18,1898,2,0,0,18,16
p18,1900,2,0,0,18,18
p18,1907,0,0,0,20,18
p18,1910,0,0,0,20,20
p18,1920,0,0,0,20,20
p18,1935,0,0,0,20,20
p18,1955,0,0,0,20,20
p18,2131,0,0,0,20,20
p18,2311,0,0,0,20,20
p18,2351,0,0,0,20,20
p18,2366,0,0,0,20,20
p18,2400,1,0,0,20,20
