id,t,dTot,dFed,rFed,oFed,sFed
p27,0,0,0,0,20,0
p27,6,0,0,0,20,1
p27,11,0,0,0,20,12
p27,16,0,0,0,20,13
p27,21,0,0,0,20,17
p27,26,0,0,0,20,20
p27,406,0,0,0,20,19
p27,411,0,0,0,20,8
p27,416,0,0,0,20,7
p27,421,0,0,0,20,3
p27,426,0,0,0,20,0
p27,600,40,20,0,20,0
p27,602,40,20,0,0,0
p27,603,40,20,1,0,0
p27,604,40,20,2,0,0
p27,605,40,20,7,0,0
p27,606,40,20,9,0,0
p27,607,40,20,10,0,0
p27,609,40,20,10,0,0
p27,611,40,20,12,0,0
p27,614,40,20,12,0,0
p27,615,40,20,15,0,0
p27,619,40,20,16,0,0
p27,620,40,20,14,0,0
p27,622,40,20,15,0,0
p27,623,40,20,16,0,0
p27,625,40,20,15,0,0
p27,626,40,20,13,0,0
p27,627,40,20,14,0,0
p27,630,40,20,13,0,0
p27,631,40,20,14,0,0
p27,635,40,20,15,0,0
p27,637,40,20,16,0,0
p27,642,40,20,16,0,0
p27,643,40,20,17,0,0
p27,646,40,20,18,0,0
p27,650,40,20,18,0,0
p27,653,40,20,19,0,0
p27,655,40,20,20,0,0
p27,665,40,20,18,0,0
p27,666,40,20,17,0,0
p27,672,40,20,16,0,0
p27,673,40,20,18,0,0
p27,677,40,20,17,0,0
p27,678,40,20,18,0,0
p27,685,40,20,19,0,0
p27,688,40,20,18,0,0
p27,702,40,20,18,0,0
p27,704,40,20,19,0,0
p27,709,40,20,20,0,0
p27,723,40,20,19,0,0
p27,728,40,20,18,0,0
p27,732,40,20,17,0,0
p27,736,40,20,16,0,0
p27,738,40,20,15,0,0
p27,741,40,20,14,0,0
p27,744,40,20,15,0,0
p27,750,40,20,16,0,0
p27,752,40,20,17,0,0
p27,756,40,20,18,0,0
p27,757,40,20,19,0,0
p27,758,40,20,18,0,0
p27,760,40,20,19,0,0
p27,769,40,20,20,0,0
p27,773,40,20,19,0,0
p27,775,40,20,20,0,0
p27,835,40,20,19,0,0
p27,840,40,20,18,0,0
p27,844,40,20,19,0,0
p27,845,40,20,20,0,0
p27,852,40,20,19,0,0
p27,855,40,20,19,0,0
p27,880,40,20,20,0,0
p27,908,40,20,18,0,0
p27,914,40,20,19,0,0
p27,916,40,20,20,0,0
p27,949,40,20,19,0,0
p27,956,40,20,20,0,0
p27,1002,20,0,20,20,0
p27,1004,19,0,19,20,0
p27,1008,17,0,17,20,0
p27,1014,16,0,16,20,0
p27,1015,15,0,15,20,0
p27,1019,14,0,14,20,0
p27,1020,13,0,13,20,0
p27,1029,12,0,12,20,0
p27,1030,11,0,11,20,0
p27,1031,10,0,10,20,0
p27,1033,9,0,9,20,0
p27,1035,7,0,7,20,0
p27,1039,6,0,6,20,0
p27,1040,5,0,5,20,0
p27,1043,4,0,4,20,0
p27,1055,3,0,3,20,0
p27,1063,2,0,2,20,0
p27,1065,0,0,0,20,0
p27,1203,0,0,0,20,6
p27,1208,0,0,0,20,12
p27,1213,0,0,0,20,14
p27,1218,0,0,0,20,17
p27,1223,0,0,0,20,19
p27,1228,0,0,0,20,20
p27,1243,0,0,0,20,20
p27,1253,0,0,0,20,20
p27,1263,0,0,0,20,20
p27,1268,0,0,0,20,20
p27,1288,0,0,0,20,20
p27,1314,0,0,0,20,20
p27,1319,0,0,0,20,20
p27,1603,0,0,0,20,16
p27,1604,0,0,0,20,18
p27,1608,0,0,0,20,15
p27,1613,0,0,0,20,13
p27,1618,0,0,0,20,10
p27,1623,0,0,0,20,9
p27,1628,0,0,0,20,7
p27,1633,0,0,0,20,6
p27,1643,0,0,0,20,3
p27,1653,0,0,0,20,1
p27,1668,0,0,0,20,0
p27,1801,40,20,0,20,0
p27,1804,40,20,1,0,0
p27,1805,40,20,5,0,0
p27,1806,40,20,8,0,0
p27,1807,40,20,9,0,0
p27,1808,40,20,12,0,0
p27,1810,40,20,13,0,0
p27,1811,40,20,15,0,0
p27,1813,40,20,15,0,0
p27,1815,40,20,16,0,0
p27,1818,40,20,16,0,0
p27,1826,40,20,16,0,0
p27,1828,40,20,17,0,0
p27,1830,40,20,18,0,0
p27,1831,40,20,16,0,0
p27,1833,40,20,15,0,0
p27,1835,40,20,15,0,0
p27,1840,40,20,17,0,0
p27,1841,40,20,17,0,0
p27,1845,40,20,16,0,0
p27,1846,40,20,15,0,0
p27,1850,40,20,18,0,0
p27,1855,40,20,16,0,0
p27,1856,40,20,17,0,0
p27,1858,40,20,18,0,0
p27,1860,40,20,18,0,0
p27,1865,40,20,18,0,0
p27,1868,40,20,19,0,0
p27,1870,40,20,18,0,0
p27,1879,40,20,19,0,0
p27,1905,40,20,18,0,0
p27,1907,40,20,19,0,0
p27,1910,40,20,18,0,0
p27,1911,40,20,17,0,0
p27,1915,40,20,16,0,0
