id,t,dTot,dFed,rFed,oFed,sFed
p30,0,0,0,0,20,0
p30,7,0,0,0,20,1
p30,12,0,0,0,20,20
p30,496,0,0,0,20,21
p30,497,0,0,0,20,20
p30,498,0,0,0,20,20
p30,499,0,0,0,20,20
p30,501,0,0,0,20,20
p30,508,0,0,0,20,19
p30,509,0,0,0,20,18
p30,510,0,0,0,20,14
p30,512,0,0,0,20,20
p30,600,40,20,0,20,20
p30,603,40,20,0,0,0
p30,606,40,20,1,0,0
p30,607,40,20,2,0,0
p30,608,40,20,3,0,0
p30,609,40,20,4,0,0
p30,615,40,20,5,0,0
p30,618,40,20,6,0,0
p30,620,40,20,7,0,0
p30,625,40,20,8,0,0
p30,627,40,20,7,0,0
p30,631,40,20,4,0,0
p30,640,40,20,6,0,0
p30,647,40,20,5,0,0
p30,648,40,20,5,0,0
p30,650,40,20,4,0,0
p30,653,40,20,3,0,0
p30,654,40,20,0,0,0
p30,674,40,20,1,0,0
p30,676,40,20,2,0,0
p30,682,40,20,1,0,0
p30,684,40,20,2,0,0
p30,687,40,20,3,0,0
p30,688,40,20,4,0,0
p30,702,40,20,3,0,0
p30,703,40,20,2,0,0
p30,704,40,20,3,0,0
p30,706,40,20,4,0,0
p30,727,40,20,5,0,0
p30,731,40,20,6,0,0
p30,734,40,20,5,0,0
p30,737,40,20,6,0,0
p30,741,40,20,7,0,0
p30,743,40,20,5,0,0
p30,744,40,20,4,0,0
p30,752,40,20,5,0,0
p30,756,40,20,6,0,0
p30,775,40,20,6,0,0
p30,779,40,20,7,0,0
p30,780,40,20,8,0,0
p30,789,40,20,7,0,0
p30,794,40,20,8,0,0
p30,797,40,20,7,0,0
p30,800,40,20,8,0,0
p30,801,40,20,9,0,0
p30,803,40,20,10,0,0
p30,814,40,20,11,0,0
p30,815,40,20,12,0,0
p30,817,40,20,13,0,0
p30,844,40,20,12,0,0
p30,846,40,20,11,0,0
p30,852,40,20,10,0,0
p30,853,40,20,9,0,0
p30,868,40,20,10,0,0
p30,872,40,20,11,0,0
p30,877,40,20,12,0,0
p30,892,40,20,11,0,0
p30,905,40,20,13,0,0
p30,909,40,20,14,0,0
p30,922,40,20,13,0,0
p30,929,40,20,14,0,0
p30,934,40,20,13,0,0
p30,940,40,20,14,0,0
p30,941,40,20,13,0,0
p30,942,40,20,14,0,0
p30,961,40,20,15,0,0
p30,973,40,20,16,0,0
p30,1007,40,20,17,0,0
p30,1012,40,20,18,0,0
p30,1030,40,20,19,0,0
p30,1081,40,20,20,0,0
p30,1083,37,17,20,3,0
p30,1084,27,7,20,13,0
p30,1085,22,2,20,18,0
p30,1086,20,0,20,20,1
p30,1087,20,0,20,20,3
p30,1088,20,0,20,20,8
p30,1089,20,0,20,20,8
p30,1090,20,0,20,20,8
p30,1091,20,0,20,20,10
p30,1092,20,0,20,20,13
p30,1093,20,0,20,20,19
p30,1094,20,0,20,20,18
p30,1095,20,0,20,20,20
p30,1096,20,0,20,20,18
p30,1101,20,0,20,20,19
p30,1121,20,0,20,20,10
p30,1122,19,0,19,20,10
p30,1126,19,0,19,20,11
p30,1136,19,0,19,20,13
p30,1141,19,0,19,20,14
p30,1168,18,0,18,20,14
p30,1171,18,0,18,20,15
p30,1178,17,0,17,20,15
p30,1197,16,0,16,20,15
p30,1203,16,0,5,20,15
p30,1204,16,0,4,20,15
p30,1205,16,0,1,20,15
p30,1206,16,0,1,16,16
p30,1207,16,0,0,13,12
p30,1208,16,0,0,8,8
p30,1209,16,0,0,5,5
p30,1214,16,0,0,4,4
p30,1219,16,0,0,4,4
p30,1230,16,0,0,4,4
p30,1233,15,0,0,5,4
p30,1235,15,0,0,5,5
p30,1253,15,0,0,5,5
p30,1269,14,0,0,6,5
p30,1270,14,0,0,6,5
p30,1289,13,0,0,7,7
p30,1294,13,0,0,7,7
p30,1300,13,0,0,7,7
p30,1303,12,0,0,8,7
p30,1305,12,0,0,8,8
p30,1306,12,0,0,8,8
p30,1308,11,0,0,9,8
p30,1311,10,0,0,10,8
p30,1312,10,0,0,10,10
p30,1313,10,0,0,10,10
p30,1318,10,0,0,10,10
p30,1324,10,0,0,10,10
p30,1330,9,0,0,11,11
p30,1347,9,0,0,11,11
p30,1351,8,0,0,12,11
p30,1353,8,0,0,12,11
p30,1354,8,0,0,12,12
p30,1359,8,0,0,12,12
p30,1365,8,0,0,12,12
p30,1371,8,0,0,12,12
p30,1377,7,0,0,13,12
p30,1382,7,0,0,13,13
p30,1387,6,0,0,14,13
p30,1388,6,0,0,14,14
p30,1393,6,0,0,14,14
p30,1395,5,0,0,15,14
p30,1400,5,0,0,15,15
p30,1405,4,0,0,16,15
p30,1406,4,0,0,16,16
p30,1412,4,0,0,16,16
p30,1418,3,0,0,17,17
p30,1424,3,0,0,17,17
p30,1429,3,0,0,17,17
p30,1430,3,0,0,17,17
p30,1441,2,0,0,18,18
p30,1445,1,0,0,19,18
p30,1446,1,0,0,19,19
p30,1448,0,0,0,20,19
p30,1452,0,0,0,20,20
p30,1458,0,0,0,20,20
p30,1459,0,0,0,20,20
p30,1476,0,0,0,20,20
p30,1586,0,0,0,20,20
p30,1695,0,0,0,20,20
p30,1775,0,0,0,20,19
p30,1779,0,0,0,20,20
p30,1786,0,0,0,20,19
p30,1789,0,0,0,20,20
p30,1796,0,0,0,20,19
p30,1800,40,20,0,20,19
p30,1803,40,20,0,20,18
p30,1804,40,20,0,14,14
p30,1805,40,20,0,8,7
p30,1806,40,20,0,2,1
p30,1807,40,20,0,0,0
p30,1809,40,20,1,0,0
p30,1811,40,20,3,0,0
p30,1816,40,20,4,0,0
p30,1821,40,20,4,0,0
p30,1822,40,20,4,0,0
p30,1823,40,20,6,0,0
p30,1824,40,20,5,0,0
p30,1827,40,20,5,0,0
p30,1830,40,20,6,0,0
p30,1833,40,20,7,0,0
p30,1834,40,20,8,0,0
p30,1839,40,20,4,0,0
p30,1840,40,20,6,0,0
p30,1841,40,20,6,0,0
p30,1847,40,20,6,0,0
p30,1849,40,20,7,0,0
p30,1850,40,20,8,0,0
p30,1861,40,20,9,0,0
p30,1862,40,20,10,0,0
p30,1866,40,20,9,0,0
p30,1867,40,20,7,0,0
