id,t,dTot,dFed,rFed,oFed,sFed
p50,0,0,0,0,20,0
p50,5,60,40,7,0,0
p50,6,60,40,10,0,0
p50,7,60,40,8,0,0
p50,10,60,40,12,0,0
p50,11,60,40,15,0,0
p50,16,60,40,21,0,0
p50,21,60,40,23,0,0
p50,406,60,40,25,0,0
p50,407,60,40,26,0,0
p50,408,60,40,27,0,0
p50,409,60,40,28,0,0
p50,410,60,40,29,0,0
p50,411,60,40,30,0,0
p50,412,60,40,31,0,0
p50,414,60,40,32,0,0
p50,415,60,40,33,0,0
p50,417,60,40,34,0,0
p50,418,60,40,35,0,0
p50,419,60,40,37,0,0
p50,423,60,40,38,0,0
p50,425,60,40,39,0,0
p50,462,60,40,38,0,0
p50,518,60,40,39,0,0
p50,548,60,40,40,0,0
p50,601,60,40,36,0,0
p50,602,60,40,31,0,0
p50,603,60,40,28,0,0
p50,604,60,40,27,0,0
p50,605,60,40,23,0,0
p50,606,60,40,19,0,0
p50,607,60,40,14,0,0
p50,608,60,40,10,0,0
p50,610,60,40,9,0,0
p50,612,60,40,7,0,0
p50,613,60,40,6,0,0
p50,620,60,40,5,0,0
p50,621,60,40,3,0,0
p50,622,60,40,2,0,0
p50,627,60,40,1,0,0
p50,628,60,40,0,0,0
p50,802,60,40,1,0,0
p50,804,60,40,0,0,0
p50,805,60,40,1,0,0
p50,807,60,40,0,0,0
p50,812,60,40,1,0,0
p50,816,60,40,2,0,0
p50,818,60,40,3,0,0
p50,819,60,40,4,0,0
p50,820,60,40,3,0,0
p50,821,60,40,5,0,0
p50,822,60,40,5,0,0
p50,823,60,40,6,0,0
p50,824,60,40,7,0,0
p50,825,60,40,8,0,0
p50,826,60,40,9,0,0
p50,827,60,40,10,0,0
p50,828,60,40,9,0,0
p50,829,60,40,10,0,0
p50,834,60,40,9,0,0
p50,841,60,40,8,0,0
p50,843,60,40,7,0,0
p50,868,60,40,6,0,0
p50,894,60,40,5,0,0
p50,1001,60,40,6,0,0
p50,1002,60,40,9,0,0
p50,1003,60,40,10,0,0
p50,1004,60,40,13,0,0
p50,1005,60,40,15,0,0
p50,1006,60,40,16,0,0
p50,1007,60,40,18,0,0
p50,1009,60,40,20,0,0
p50,1010,60,40,22,0,0
p50,1011,60,40,23,0,0
p50,1013,60,40,23,0,0
p50,1014,60,40,23,0,0
p50,1015,60,40,24,0,0
p50,1016,60,40,23,0,0
p50,1017,60,40,23,0,0
p50,1018,60,40,21,0,0
p50,1019,60,40,22,0,0
p50,1020,60,40,23,0,0
