id,t,dTot,dFed,rFed,oFed,sFed
p5,0,0,0,0,20,0
p5,6,40,20,0,9,0
p5,9,40,20,3,0,0
p5,10,40,20,4,0,0
p5,14,40,20,9,0,0
p5,15,40,20,13,0,0
p5,19,40,20,14,0,0
p5,35,40,20,16,0,0
p5,41,40,20,17,0,0
p5,44,40,20,18,0,0
p5,85,40,20,19,0,0
p5,114,40,20,20,0,0
p5,600,38,18,20,2,0
p5,601,38,18,17,0,0
p5,602,38,18,13,0,0
p5,603,38,18,9,0,0
p5,604,38,18,6,0,0
p5,605,38,18,5,0,0
p5,606,32,12,3,6,0
p5,607,29,9,0,0,0
p5,609,20,0,0,9,0
p5,610,19,0,0,10,0
p5,612,18,0,0,11,0
p5,613,18,0,0,4,4
p5,615,14,0,0,8,4
p5,616,13,0,0,9,4
p5,618,13,0,0,7,6
p5,619,12,0,0,8,6
p5,623,12,0,0,8,8
p5,625,10,0,0,10,8
p5,626,9,0,0,11,8
p5,627,8,0,0,12,8
p5,628,8,0,0,12,10
p5,630,7,0,0,13,10
p5,631,6,0,0,14,10
p5,633,6,0,0,14,14
p5,638,6,0,0,14,14
p5,639,5,0,0,15,14
p5,641,4,0,0,16,14
p5,643,4,0,0,16,16
p5,646,3,0,0,17,16
p5,647,2,0,0,18,16
p5,648,2,0,0,18,18
p5,658,2,0,0,18,18
p5,663,2,0,0,18,18
p5,683,2,0,0,18,18
p5,693,1,0,0,19,19
p5,717,0,0,0,20,19
p5,788,0,0,0,20,20
p5,823,0,0,0,20,20
p5,878,0,0,0,20,20
p5,1104,0,0,0,20,20
p5,1159,0,0,0,20,20
p5,1200,40,20,0,20,20
p5,1204,40,20,0,13,13
p5,1205,40,20,0,9,8
p5,1206,40,20,0,3,3
p5,1207,40,20,0,0,0
p5,1208,40,20,1,0,0
p5,1209,40,20,2,0,0
p5,1210,40,20,2,0,0
p5,1211,40,20,2,0,0
p5,1214,40,20,0,0,0
p5,1221,40,20,1,0,0
p5,1222,40,20,1,0,0
p5,1225,40,20,2,0,0
p5,1226,40,20,2,0,0
p5,1230,40,20,2,0,0
p5,1231,40,20,3,0,0
p5,1232,40,20,5,0,0
p5,1233,40,20,5,0,0
p5,1235,40,20,6,0,0
p5,1236,40,20,7,0,0
p5,1237,40,20,9,0,0
p5,1242,40,20,11,0,0
p5,1243,40,20,12,0,0
p5,1245,40,20,12,0,0
p5,1246,40,20,14,0,0
p5,1247,40,20,15,0,0
p5,1248,40,20,16,0,0
p5,1252,40,20,17,0,0
p5,1256,40,20,20,0,0
p5,1633,40,20,19,0,0
p5,1649,40,20,20,0,0
p5,1670,40,20,19,0,0
p5,1719,40,20,20,0,0
p5,1803,40,20,18,0,0
p5,1804,33,13,11,7,0
p5,1805,29,9,10,11,0
p5,1806,24,4,7,16,0
p5,1807,20,0,1,8,3
p5,1808,20,0,0,6,3
p5,1809,20,0,0,6,2
p5,1813,20,0,0,0,0
p5,1827,19,0,0,1,0
p5,1828,19,0,0,1,1
p5,1831,18,0,0,2,1
p5,1833,18,0,0,2,2
p5,1834,16,0,0,4,2
p5,1836,15,0,0,5,2
p5,1838,14,0,0,6,6
p5,1839,13,0,0,7,6
p5,1840,11,0,0,9,6
p5,1842,10,0,0,10,6
p5,1844,10,0,0,10,10
p5,1845,9,0,0,11,10
p5,1848,8,0,0,12,10
p5,1849,7,0,0,13,10
p5,1850,6,0,0,14,10
p5,1851,5,0,0,15,14
p5,1855,5,0,0,15,15
p5,1856,4,0,0,16,15
p5,1860,2,0,0,18,17
p5,1865,2,0,0,18,18
p5,1870,2,0,0,18,18
p5,1873,1,0,0,19,18
p5,1875,1,0,0,19,19
p5,1885,1,0,0,19,19
p5,1897,0,0,0,20,19
p5,1900,0,0,0,20,20
p5,1905,0,0,0,20,20
p5,1965,0,0,0,20,20
p5,2020,0,0,0,20,20
p5,2075,0,0,0,20,20
p5,2175,0,0,0,20,20
p5,2180,0,0,0,20,20
p5,2195,0,0,0,20,20
p5,2295,0,0,0,20,20
p5,2400,40,20,0,20,20
p5,2401,40,20,0,5,5
p5,2402,40,20,0,0,0
p5,2403,40,20,2,0,0
p5,2404,40,20,3,0,0
p5,2406,40,20,5,0,0
p5,2407,40,20,6,0,0
p5,2408,40,20,5,0,0
p5,2409,40,20,4,0,0
p5,2411,40,20,3,0,0
p5,2412,40,20,3,0,0
p5,2413,40,20,3,0,0
p5,2414,40,20,2,0,0
p5,2417,40,20,0,0,0
p5,2435,40,20,1,0,0
p5,2438,40,20,2,0,0
p5,2439,40,20,1,0,0
p5,2441,40,20,3,0,0
p5,2446,40,20,3,0,0
p5,2452,40,20,3,0,0
p5,2453,40,20,5,0,0
p5,2454,40,20,7,0,0
p5,2457,40,20,7,0,0
p5,2460,40,20,9,0,0
p5,2461,40,20,9,0,0
p5,2464,40,20,11,0,0
p5,2466,40,20,12,0,0
p5,2467,40,20,11,0,0
p5,2470,40,20,12,0,0
p5,2472,40,20,12,0,0
p5,2473,40,20,13,0,0
p5,2474,40,20,12,0,0
p5,2481,40,20,13,0,0
p5,2482,40,20,14,0,0
p5,2486,40,20,15,0,0
p5,2487,40,20,17,0,0
p5,2496,40,20,18,0,0
p5,2498,40,20,19,0,0
p5,2503,40,20,19,0,0
p5,2509,40,20,20,0,0
p5,2741,40,20,19,0,0
p5,2794,40,20,20,0,0
p5,3001,25,5,18,15,1
p5,3002,20,0,10,20,1
p5,3003,20,0,7,20,1
p5,3004,20,0,5,20,1
p5,3005,20,0,3,20,1
p5,3006,20,0,1,6,3
p5,3007,20,0,0,2,2
p5,3010,20,0,0,2,1
p5,3012,20,0,0,0,0
p5,3039,19,0,0,1,0
p5,3040,18,0,0,2,0
p5,3043,18,0,0,2,1
p5,3044,18,0,0,2,2
p5,3045,17,0,0,3,2
p5,3049,17,0,0,3,3
p5,3050,17,0,0,3,3
p5,3052,15,0,0,5,3
p5,3055,15,0,0,5,5
p5,3058,13,0,0,7,5
p5,3060,13,0,0,7,7
p5,3061,12,0,0,8,7
p5,3064,11,0,0,9,7
p5,3065,10,0,0,10,7
p5,3066,10,0,0,10,10
p5,3069,9,0,0,11,10
p5,3070,8,0,0,12,10
p5,3072,8,0,0,12,11
p5,3073,8,0,0,12,12
p5,3079,7,0,0,13,12
p5,3083,6,0,0,14,13
p5,3084,5,0,0,15,13
p5,3085,4,0,0,16,13
p5,3088,4,0,0,16,16
p5,3089,3,0,0,17,16
p5,3093,3,0,0,17,17
p5,3100,2,0,0,18,17
p5,3103,1,0,0,19,18
p5,3108,1,0,0,19,19
p5,3113,1,0,0,19,19
p5,3138,1,0,0,19,19
p5,3148,1,0,0,19,19
p5,3150,0,0,0,20,19
p5,3153,0,0,0,20,20
p5,3233,0,0,0,20,20
p5,3289,0,0,0,20,20
p5,3304,0,0,0,20,20
p5,3359,0,0,0,20,20
p5,3369,0,0,0,20,20
p5,3404,0,0,0,20,20
p5,3414,0,0,0,20,20
p5,3439,0,0,0,20,20
p5,3600,40,20,0,20,20
p5,3604,40,20,0,20,19
p5,3605,40,20,0,14,14
p5,3606,40,20,0,9,8
p5,3607,40,20,0,0,0
p5,3609,40,20,0,0,0
p5,3610,40,20,0,0,0
p5,3613,40,20,1,0,0
p5,3614,40,20,0,0,0
p5,3637,40,20,1,0,0
p5,3643,40,20,2,0,0
p5,3644,40,20,1,0,0
p5,3645,40,20,1,0,0
p5,3647,40,20,2,0,0
p5,3648,40,20,3,0,0
p5,3650,40,20,4,0,0
p5,3651,40,20,5,0,0
p5,3652,40,20,4,0,0
p5,3653,40,20,5,0,0
p5,3655,40,20,5,0,0
p5,3659,40,20,4,0,0
p5,3661,40,20,4,0,0
p5,3663,40,20,5,0,0
p5,3666,40,20,6,0,0
p5,3667,40,20,7,0,0
p5,3668,40,20,7,0,0
p5,3669,40,20,8,0,0
p5,3671,40,20,9,0,0
p5,3672,40,20,10,0,0
p5,3676,40,20,11,0,0
p5,3677,40,20,14,0,0
p5,3678,40,20,15,0,0
p5,3679,40,20,16,0,0
p5,3682,40,20,15,0,0
p5,3685,40,20,16,0,0
p5,3694,40,20,17,0,0
p5,3695,40,20,18,0,0
p5,3700,40,20,17,0,0
p5,3714,40,20,18,0,0
p5,3722,40,20,19,0,0
p5,3727,40,20,20,0,0
p5,3763,40,20,19,0,0
p5,3765,40,20,20,0,0
p5,3787,40,20,19,0,0
p5,3796,40,20,20,0,0
p5,3935,40,20,19,0,0
p5,3950,40,20,20,0,0
p5,4104,40,20,19,0,0
p5,4117,40,20,20,0,0
p5,4201,40,20,15,0,0
p5,4202,40,20,13,0,0
p5,4203,40,20,10,0,0
p5,4204,40,20,5,0,0
p5,4205,36,16,4,1,1
p5,4206,29,9,3,2,1
p5,4207,20,0,0,4,1
p5,4210,20,0,0,4,0
p5,4212,20,0,0,0,0
p5,4241,19,0,0,1,0
p5,4244,19,0,0,1,1
p5,4252,17,0,0,3,1
p5,4255,17,0,0,3,3
p5,4256,17,0,0,3,3
p5,4257,17,0,0,3,3
p5,4258,16,0,0,4,3
p5,4262,16,0,0,4,4
p5,4268,16,0,0,4,4
p5,4269,16,0,0,4,4
p5,4270,15,0,0,5,4
p5,4271,13,0,0,7,4
