id,t,dTot,dFed,rFed,oFed,sFed
p27,0,0,0,0,20,0
p27,9,0,0,0,20,1
p27,14,0,0,0,20,8
p27,19,0,0,0,20,15
p27,24,0,0,0,20,16
p27,34,0,0,0,20,19
p27,39,0,0,0,20,20
p27,60,0,0,0,20,20
p27,120,0,0,0,20,20
p27,180,0,0,0,20,20
p27,240,0,0,0,20,20
p27,300,0,0,0,20,20
p27,360,0,0,0,20,20
p27,420,0,0,0,20,20
p27,480,0,0,0,20,20
p27,540,0,0,0,20,20
p27,600,0,0,0,20,20
p27,601,40,20,0,20,20
p27,605,40,20,0,9,9
p27,606,40,20,0,0,0
p27,608,40,20,0,0,0
p27,609,40,20,1,0,0
p27,610,40,20,0,0,0
p27,613,40,20,1,0,0
p27,615,40,20,4,0,0
p27,616,40,20,2,0,0
p27,617,40,20,2,0,0
p27,619,40,20,2,0,0
p27,621,40,20,3,0,0
p27,622,40,20,3,0,0
p27,623,40,20,4,0,0
p27,624,40,20,4,0,0
p27,625,40,20,6,0,0
p27,628,40,20,6,0,0
p27,629,40,20,7,0,0
p27,630,40,20,8,0,0
p27,632,40,20,7,0,0
p27,633,40,20,6,0,0
p27,635,40,20,8,0,0
p27,636,40,20,10,0,0
p27,638,40,20,13,0,0
p27,639,40,20,14,0,0
p27,640,40,20,15,0,0
p27,641,40,20,14,0,0
p27,643,40,20,16,0,0
p27,646,40,20,15,0,0
p27,648,40,20,15,0,0
p27,650,40,20,14,0,0
p27,651,40,20,15,0,0
p27,654,40,20,16,0,0
p27,657,40,20,17,0,0
p27,658,40,20,18,0,0
p27,659,40,20,20,0,0
p27,660,40,20,20,0,0
p27,663,40,20,19,0,0
p27,669,40,20,20,0,0
p27,674,40,20,19,0,0
p27,681,40,20,18,0,0
p27,684,40,20,19,0,0
p27,686,40,20,18,0,0
p27,689,40,20,17,0,0
p27,690,40,20,18,0,0
p27,691,40,20,19,0,0
p27,694,40,20,18,0,0
p27,696,40,20,17,0,0
p27,697,40,20,18,0,0
p27,701,40,20,17,0,0
p27,702,40,20,16,0,0
p27,707,40,20,17,0,0
p27,714,40,20,18,0,0
p27,716,40,20,17,0,0
p27,720,40,20,17,0,0
p27,722,40,20,18,0,0
p27,725,40,20,19,0,0
p27,727,40,20,20,0,0
p27,735,40,20,19,0,0
p27,742,40,20,19,0,0
p27,752,40,20,18,0,0
p27,753,40,20,17,0,0
p27,756,40,20,18,0,0
p27,757,40,20,18,0,0
p27,764,40,20,19,0,0
p27,767,40,20,18,0,0
p27,780,40,20,18,0,0
p27,781,40,20,19,0,0
p27,789,40,20,20,0,0
p27,840,40,20,20,0,0
p27,859,40,20,19,0,0
p27,870,40,20,20,0,0
p27,900,40,20,20,0,0
p27,960,40,20,20,0,0
p27,1020,40,20,20,0,0
p27,1080,40,20,20,0,0
p27,1140,40,20,20,0,0
p27,1200,40,20,20,0,0
p27,1202,40,20,17,0,0
p27,1203,40,20,14,0,0
p27,1204,40,20,9,0,0
p27,1205,35,15,4,4,0
p27,1206,21,1,2,14,5
p27,1207,20,0,3,15,5
p27,1208,20,0,0,15,5
p27,1211,20,0,0,1,1
p27,1216,20,0,0,0,0
p27,1219,19,0,0,1,0
p27,1221,19,0,0,1,0
p27,1222,19,0,0,1,1
p27,1229,18,0,0,2,1
p27,1232,18,0,0,2,2
p27,1233,16,0,0,4,2
p27,1235,15,0,0,5,2
p27,1237,15,0,0,5,5
p27,1239,13,0,0,7,5
p27,1242,13,0,0,7,7
p27,1243,13,0,0,7,7
p27,1244,12,0,0,8,7
p27,1245,11,0,0,9,7
p27,1248,11,0,0,9,9
p27,1250,10,0,0,10,9
p27,1253,10,0,0,10,10
p27,1255,7,0,0,13,10
p27,1257,6,0,0,14,10
p27,1258,6,0,0,14,14
p27,1259,6,0,0,14,14
p27,1260,6,0,0,14,14
p27,1263,5,0,0,15,14
p27,1264,5,0,0,15,15
p27,1265,4,0,0,16,15
p27,1269,4,0,0,16,16
p27,1272,3,0,0,17,16
p27,1274,3,0,0,17,17
p27,1287,2,0,0,18,17
p27,1289,2,0,0,18,18
p27,1290,1,0,0,19,18
p27,1294,1,0,0,19,19
p27,1305,0,0,0,20,19
p27,1310,0,0,0,20,20
p27,1315,0,0,0,20,20
p27,1320,0,0,0,20,20
p27,1380,0,0,0,20,20
p27,1440,0,0,0,20,20
p27,1455,0,0,0,20,20
p27,1500,0,0,0,20,20
p27,1560,0,0,0,20,20
p27,1620,0,0,0,20,20
p27,1670,0,0,0,20,20
p27,1680,0,0,0,20,20
p27,1740,0,0,0,20,20
p27,1755,0,0,0,20,20
p27,1800,40,20,0,20,20
p27,1805,40,20,0,16,16
p27,1806,40,20,0,11,10
p27,1807,40,20,0,5,4
p27,1808,40,20,0,0,0
p27,1811,40,20,0,0,0
p27,1812,40,20,0,0,0
p27,1813,40,20,0,0,0
p27,1819,40,20,0,0,0
p27,1825,40,20,0,0,0
p27,1826,40,20,0,0,0
p27,1830,40,20,0,0,0
p27,1831,40,20,0,0,0
p27,1833,40,20,1,0,0
p27,1834,40,20,2,0,0
p27,1836,40,20,3,0,0
p27,1837,40,20,4,0,0
p27,1838,40,20,5,0,0
p27,1840,40,20,6,0,0
p27,1843,40,20,6,0,0
p27,1845,40,20,6,0,0
p27,1846,40,20,6,0,0
p27,1847,40,20,7,0,0
p27,1848,40,20,7,0,0
p27,1849,40,20,7,0,0
p27,1850,40,20,7,0,0
p27,1852,40,20,10,0,0
p27,1854,40,20,9,0,0
p27,1859,40,20,11,0,0
p27,1860,40,20,11,0,0
p27,1861,40,20,11,0,0
p27,1862,40,20,11,0,0
p27,1864,40,20,10,0,0
p27,1865,40,20,10,0,0
p27,1866,40,20,10,0,0
p27,1868,40,20,10,0,0
p27,1869,40,20,8,0,0
p27,1870,40,20,9,0,0
p27,1872,40,20,11,0,0
p27,1873,40,20,11,0,0
p27,1874,40,20,12,0,0
p27,1878,40,20,12,0,0
p27,1880,40,20,13,0,0
p27,1881,40,20,14,0,0
p27,1883,40,20,15,0,0
p27,1884,40,20,17,0,0
p27,1886,40,20,16,0,0
p27,1888,40,20,17,0,0
p27,1891,40,20,18,0,0
p27,1894,40,20,18,0,0
p27,1895,40,20,17,0,0
p27,1898,40,20,16,0,0
p27,1906,40,20,18,0,0
p27,1916,40,20,19,0,0
p27,1919,40,20,20,0,0
p27,1920,40,20,20,0,0
p27,1931,40,20,19,0,0
p27,1946,40,20,18,0,0
p27,1964,40,20,19,0,0
p27,1965,40,20,20,0,0
p27,1980,40,20,20,0,0
p27,1984,40,20,19,0,0
p27,1994,40,20,18,0,0
p27,2009,40,20,19,0,0
p27,2010,40,20,20,0,0
p27,2040,40,20,20,0,0
p27,2100,40,20,20,0,0
p27,2160,40,20,20,0,0
p27,2194,40,20,19,0,0
p27,2195,40,20,20,0,0
p27,2220,40,20,20,0,0
p27,2280,40,20,20,0,0
p27,2340,40,20,20,0,0
p27,2400,40,20,20,0,0
p27,2401,40,20,15,0,0
p27,2404,40,20,11,0,0
p27,2405,36,16,7,1,1
p27,2406,31,11,0,2,1
p27,2407,25,5,0,5,1
p27,2408,20,0,0,10,1
p27,2412,20,0,0,2,2
p27,2417,20,0,0,0,0
p27,2442,19,0,0,1,0
p27,2443,18,0,0,2,0
p27,2445,18,0,0,2,2
p27,2449,16,0,0,4,2
p27,2451,16,0,0,4,4
p27,2452,16,0,0,4,4
p27,2454,15,0,0,5,4
p27,2455,14,0,0,6,4
p27,2457,14,0,0,6,6
p27,2460,14,0,0,6,6
p27,2463,14,0,0,6,6
p27,2465,12,0,0,8,6
p27,2468,12,0,0,8,8
p27,2469,10,0,0,10,8
p27,2473,10,0,0,10,10
p27,2475,9,0,0,11,10
p27,2478,9,0,0,11,11
p27,2482,8,0,0,12,11
p27,2484,7,0,0,13,12
p27,2485,5,0,0,15,12
p27,2489,4,0,0,16,15
p27,2494,4,0,0,16,16
p27,2496,3,0,0,17,16
p27,2499,3,0,0,17,17
p27,2500,2,0,0,18,17
p27,2504,2,0,0,18,18
p27,2520,2,0,0,18,18
p27,2529,1,0,0,19,18
p27,2544,0,0,0,20,19
p27,2554,0,0,0,20,20
p27,2580,0,0,0,20,20
p27,2640,0,0,0,20,20
p27,2700,0,0,0,20,20
p27,2724,0,0,0,20,20
p27,2760,0,0,0,20,20
p27,2794,0,0,0,20,20
p27,2820,0,0,0,20,20
p27,2880,0,0,0,20,20
p27,2940,0,0,0,20,20
p27,3000,19,0,0,20,20
p27,3001,40,20,0,20,20
p27,3004,40,20,0,16,15
p27,3005,40,20,0,7,7
p27,3006,40,20,0,0,0
p27,3008,40,20,0,0,0
p27,3011,40,20,1,0,0
