t,kappa,nof,cycle
0,0.0,sdnof-7minutes,10
1,0.09343434343434344,sdnof-7minutes,10
2,0.17721518987341772,sdnof-7minutes,10
5,0.5023547880690737,sdnof-7minutes,10
6,0.7092198581560284,sdnof-7minutes,10
7,1.0,sdnof-7minutes,10
10,1.0,sdnof-7minutes,10
11,1.0,sdnof-7minutes,10
12,1.0,sdnof-7minutes,10
15,1.0,sdnof-7minutes,10
16,1.0,sdnof-7minutes,10
17,1.0,sdnof-7minutes,10
18,1.0,sdnof-7minutes,10
20,1.0,sdnof-7minutes,10
21,1.0,sdnof-7minutes,10
22,1.0,sdnof-7minutes,10
23,1.0,sdnof-7minutes,10
25,1.0,sdnof-7minutes,10
26,1.0,sdnof-7minutes,10
27,1.0,sdnof-7minutes,10
28,1.0,sdnof-7minutes,10
30,1.0,sdnof-7minutes,10
31,1.0,sdnof-7minutes,10
32,1.0,sdnof-7minutes,10
33,1.0,sdnof-7minutes,10
35,1.0,sdnof-7minutes,10
36,1.0,sdnof-7minutes,10
37,1.0,sdnof-7minutes,10
38,1.0,sdnof-7minutes,10
40,1.0,sdnof-7minutes,10
41,1.0,sdnof-7minutes,10
45,1.0,sdnof-7minutes,10
46,1.0,sdnof-7minutes,10
50,1.0,sdnof-7minutes,10
51,1.0,sdnof-7minutes,10
52,1.0,sdnof-7minutes,10
55,1.0,sdnof-7minutes,10
56,1.0,sdnof-7minutes,10
57,1.0,sdnof-7minutes,10
61,1.0,sdnof-7minutes,10
62,1.0,sdnof-7minutes,10
66,1.0,sdnof-7minutes,10
67,1.0,sdnof-7minutes,10
70,1.0,sdnof-7minutes,10
71,1.0,sdnof-7minutes,10
75,1.0,sdnof-7minutes,10
76,1.0,sdnof-7minutes,10
77,1.0,sdnof-7minutes,10
80,1.0,sdnof-7minutes,10
81,1.0,sdnof-7minutes,10
82,1.0,sdnof-7minutes,10
85,1.0,sdnof-7minutes,10
86,1.0,sdnof-7minutes,10
87,1.0,sdnof-7minutes,10
90,1.0,sdnof-7minutes,10
95,1.0,sdnof-7minutes,10
96,1.0,sdnof-7minutes,10
101,1.0,sdnof-7minutes,10
105,1.0,sdnof-7minutes,10
110,1.0,sdnof-7minutes,10
115,1.0,sdnof-7minutes,10
116,1.0,sdnof-7minutes,10
126,1.0,sdnof-7minutes,10
136,1.0,sdnof-7minutes,10
156,1.0,sdnof-7minutes,10
175,1.0,sdnof-7minutes,10
400,0.8691588785046729,sdnof-7minutes,10
401,0.8475750577367206,sdnof-7minutes,10
402,0.8390804597701149,sdnof-7minutes,10
405,0.4010507880910683,sdnof-7minutes,10
406,0.2759170653907496,sdnof-7minutes,10
407,0.0,sdnof-7minutes,10
410,0.0,sdnof-7minutes,10
411,0.0,sdnof-7minutes,10
412,0.0,sdnof-7minutes,10
415,0.0,sdnof-7minutes,10
416,0.0,sdnof-7minutes,10
417,0.0,sdnof-7minutes,10
418,0.0,sdnof-7minutes,10
420,0.0,sdnof-7minutes,10
421,0.0,sdnof-7minutes,10
422,0.0,sdnof-7minutes,10
423,0.0,sdnof-7minutes,10
425,0.0,sdnof-7minutes,10
426,0.0,sdnof-7minutes,10
427,0.0,sdnof-7minutes,10
428,0.0,sdnof-7minutes,10
430,0.0,sdnof-7minutes,10
431,0.0,sdnof-7minutes,10
432,0.0,sdnof-7minutes,10
433,0.0,sdnof-7minutes,10
435,0.0,sdnof-7minutes,10
436,0.0,sdnof-7minutes,10
437,0.0,sdnof-7minutes,10
438,0.0,sdnof-7minutes,10
440,0.0,sdnof-7minutes,10
441,0.0,sdnof-7minutes,10
445,0.0,sdnof-7minutes,10
446,0.0,sdnof-7minutes,10
450,0.0,sdnof-7minutes,10
451,0.0,sdnof-7minutes,10
452,0.0,sdnof-7minutes,10
455,0.0,sdnof-7minutes,10
456,0.0,sdnof-7minutes,10
457,0.0,sdnof-7minutes,10
461,0.0,sdnof-7minutes,10
462,0.0,sdnof-7minutes,10
466,0.0,sdnof-7minutes,10
467,0.0,sdnof-7minutes,10
470,0.0,sdnof-7minutes,10
471,0.0,sdnof-7minutes,10
475,0.0,sdnof-7minutes,10
476,0.0,sdnof-7minutes,10
477,0.0,sdnof-7minutes,10
480,0.0,sdnof-7minutes,10
481,0.0,sdnof-7minutes,10
482,0.0,sdnof-7minutes,10
485,0.0,sdnof-7minutes,10
486,0.0,sdnof-7minutes,10
487,0.0,sdnof-7minutes,10
490,0.0,sdnof-7minutes,10
495,0.0,sdnof-7minutes,10
496,0.0,sdnof-7minutes,10
501,0.0,sdnof-7minutes,10
505,0.0,sdnof-7minutes,10
510,0.0,sdnof-7minutes,10
515,0.0,sdnof-7minutes,10
516,0.0,sdnof-7minutes,10
526,0.0,sdnof-7minutes,10
536,0.0,sdnof-7minutes,10
556,0.0,sdnof-7minutes,10
575,0.0,sdnof-7minutes,10
600,0.4005235602094241,sdnof-7minutes,10
601,0.6451612903225806,sdnof-7minutes,10
602,0.9090909090909091,sdnof-7minutes,10
603,1.0,sdnof-7minutes,10
604,1.0,sdnof-7minutes,10
605,1.0,sdnof-7minutes,10
607,1.0,sdnof-7minutes,10
608,1.0,sdnof-7minutes,10
609,1.0,sdnof-7minutes,10
610,1.0,sdnof-7minutes,10
612,1.0,sdnof-7minutes,10
613,1.0,sdnof-7minutes,10
614,1.0,sdnof-7minutes,10
615,1.0,sdnof-7minutes,10
617,1.0,sdnof-7minutes,10
618,1.0,sdnof-7minutes,10
619,1.0,sdnof-7minutes,10
620,1.0,sdnof-7minutes,10
622,1.0,sdnof-7minutes,10
623,1.0,sdnof-7minutes,10
624,1.0,sdnof-7minutes,10
625,1.0,sdnof-7minutes,10
627,1.0,sdnof-7minutes,10
628,1.0,sdnof-7minutes,10
629,1.0,sdnof-7minutes,10
630,1.0,sdnof-7minutes,10
632,1.0,sdnof-7minutes,10
633,1.0,sdnof-7minutes,10
634,1.0,sdnof-7minutes,10
635,1.0,sdnof-7minutes,10
636,1.0,sdnof-7minutes,10
637,1.0,sdnof-7minutes,10
638,1.0,sdnof-7minutes,10
639,1.0,sdnof-7minutes,10
640,1.0,sdnof-7minutes,10
641,1.0,sdnof-7minutes,10
642,1.0,sdnof-7minutes,10
643,1.0,sdnof-7minutes,10
644,1.0,sdnof-7minutes,10
645,1.0,sdnof-7minutes,10
646,1.0,sdnof-7minutes,10
647,1.0,sdnof-7minutes,10
648,1.0,sdnof-7minutes,10
649,1.0,sdnof-7minutes,10
650,1.0,sdnof-7minutes,10
652,1.0,sdnof-7minutes,10
653,1.0,sdnof-7minutes,10
655,1.0,sdnof-7minutes,10
656,1.0,sdnof-7minutes,10
657,1.0,sdnof-7minutes,10
658,1.0,sdnof-7minutes,10
659,1.0,sdnof-7minutes,10
660,1.0,sdnof-7minutes,10
661,1.0,sdnof-7minutes,10
662,1.0,sdnof-7minutes,10
663,1.0,sdnof-7minutes,10
664,1.0,sdnof-7minutes,10
665,1.0,sdnof-7minutes,10
668,1.0,sdnof-7minutes,10
669,1.0,sdnof-7minutes,10
670,1.0,sdnof-7minutes,10
671,1.0,sdnof-7minutes,10
673,1.0,sdnof-7minutes,10
674,1.0,sdnof-7minutes,10
675,1.0,sdnof-7minutes,10
677,1.0,sdnof-7minutes,10
678,1.0,sdnof-7minutes,10
680,1.0,sdnof-7minutes,10
681,1.0,sdnof-7minutes,10
682,1.0,sdnof-7minutes,10
683,1.0,sdnof-7minutes,10
685,1.0,sdnof-7minutes,10
686,1.0,sdnof-7minutes,10
687,1.0,sdnof-7minutes,10
689,1.0,sdnof-7minutes,10
690,1.0,sdnof-7minutes,10
691,1.0,sdnof-7minutes,10
692,1.0,sdnof-7minutes,10
693,1.0,sdnof-7minutes,10
694,1.0,sdnof-7minutes,10
695,1.0,sdnof-7minutes,10
696,1.0,sdnof-7minutes,10
697,1.0,sdnof-7minutes,10
698,1.0,sdnof-7minutes,10
699,1.0,sdnof-7minutes,10
700,1.0,sdnof-7minutes,10
701,1.0,sdnof-7minutes,10
703,1.0,sdnof-7minutes,10
704,1.0,sdnof-7minutes,10
705,1.0,sdnof-7minutes,10
706,1.0,sdnof-7minutes,10
708,1.0,sdnof-7minutes,10
711,1.0,sdnof-7minutes,10
712,1.0,sdnof-7minutes,10
