id,t,dTot,dFed,rFed,oFed,sFed
p39,0,0,0,0,20,0
p39,8,0,0,0,20,1
p39,13,0,0,0,20,5
p39,18,0,0,0,20,13
p39,23,0,0,0,20,20
p39,1803,13,0,0,20,20
p39,1804,25,5,0,20,20
p39,1805,30,10,0,20,20
p39,1820,30,10,0,20,19
p39,1821,30,10,0,20,21
p39,1822,30,10,0,20,20
p39,1823,30,10,0,20,20
p39,1824,30,10,0,20,20
p39,1986,30,10,0,19,19
p39,1998,30,10,0,18,18
p39,1999,30,10,0,17,17
p39,2013,30,10,0,16,16
p39,2024,30,10,0,15,15
p39,2048,30,10,0,14,14
p39,2049,30,10,0,12,12
p39,2058,30,10,0,11,11
p39,2061,30,10,0,10,10
p39,2066,30,10,0,9,9
p39,2075,30,10,0,8,8
p39,2077,30,10,0,7,7
p39,2082,30,10,0,7,6
p39,2083,30,10,0,6,6
p39,2095,30,10,0,5,5
p39,2110,30,10,0,4,4
p39,2113,30,10,0,3,3
p39,2118,30,10,0,2,2
p39,2122,30,10,0,1,1
p39,2139,30,10,0,0,0
p39,2677,30,10,1,0,0
p39,3508,30,10,2,0,0
p39,3786,29,9,2,1,1
p39,3798,28,8,2,2,2
p39,3799,27,7,2,3,3
p39,3813,26,6,2,4,4
p39,3818,26,6,3,4,4
p39,3824,25,5,3,5,5
p39,3835,25,5,3,4,4
p39,3836,25,5,3,4,3
p39,3837,25,5,3,3,3
p39,3848,24,4,3,4,4
p39,3849,22,2,3,6,5
p39,3850,22,2,3,6,6
p39,3851,22,2,3,5,5
p39,3858,21,1,3,6,6
p39,3862,20,0,3,7,7
p39,3863,20,0,3,6,6
p39,3866,19,0,3,7,7
p39,3875,18,0,3,8,8
p39,3877,17,0,3,9,9
p39,3883,16,0,3,10,10
p39,3895,15,0,3,11,11
p39,3910,14,0,3,12,12
p39,3913,13,0,3,13,13
p39,3918,12,0,3,14,14
p39,3922,11,0,3,15,15
p39,3939,10,0,3,16,16
p39,3982,10,0,3,15,15
p39,3991,10,0,3,15,14
p39,3992,10,0,3,14,14
p39,4006,10,0,3,13,13
p39,4146,10,0,2,13,13
p39,4250,10,0,1,13,13
p39,4272,10,0,1,12,12
