id,t,dTot,dFed,rFed,oFed,sFed
p18,0,0,0,0,20,0
p18,1,30,10,0,17,0
p18,6,30,10,0,5,0
p18,7,30,10,0,0,0
p18,18,30,10,1,0,0
p18,20,30,10,2,0,0
p18,60,30,10,2,0,0
p18,120,30,10,2,0,0
p18,180,30,10,2,0,0
p18,240,30,10,2,0,0
p18,300,30,10,2,0,0
p18,360,30,10,2,0,0
p18,420,30,10,2,0,0
p18,480,30,10,2,0,0
p18,540,30,10,2,0,0
p18,600,30,10,2,0,0
p18,660,30,10,2,0,0
p18,720,30,10,2,0,0
p18,780,30,10,2,0,0
p18,840,30,10,2,0,0
p18,900,30,10,2,0,0
p18,960,30,10,2,0,0
p18,1020,30,10,2,0,0
p18,1080,30,10,2,0,0
p18,1140,30,10,2,0,0
p18,1200,30,10,2,0,0
p18,1260,30,10,2,0,0
p18,1320,30,10,2,0,0
p18,1380,30,10,2,0,0
p18,1440,30,10,2,0,0
p18,1500,30,10,2,0,0
p18,1560,30,10,2,0,0
p18,1620,30,10,2,0,0
p18,1680,30,10,2,0,0
p18,1740,30,10,2,0,0
p18,1800,30,10,2,0,0
p18,1801,27,7,2,3,0
p18,1805,27,7,2,3,2
p18,1806,25,5,2,5,6
p18,1807,23,3,2,7,7
p18,1808,22,2,2,8,8
p18,1809,21,1,2,9,9
p18,1810,20,0,2,10,10
p18,1811,19,0,2,11,10
p18,1812,18,0,2,12,12
p18,1813,17,0,2,13,13
p18,1814,17,0,2,13,14
p18,1815,15,0,2,15,14
p18,1816,15,0,2,15,15
p18,1817,14,0,2,16,15
p18,1818,13,0,2,17,15
p18,1819,13,0,3,17,16
p18,1820,12,0,3,18,18
p18,1821,11,0,3,19,19
p18,1822,11,0,3,19,20
p18,1823,9,0,2,20,20
p18,1824,8,0,1,20,20
p18,1860,8,0,1,20,20
p18,1886,8,0,1,19,19
p18,1895,8,0,1,18,18
p18,1915,8,0,1,18,17
p18,1916,8,0,1,17,17
p18,1920,8,0,1,17,17
p18,1932,8,0,1,17,16
p18,1933,8,0,1,16,16
p18,1944,8,0,1,15,15
p18,1980,8,0,1,15,15
p18,1992,8,0,1,14,14
p18,2040,8,0,1,14,14
p18,2100,8,0,1,14,14
p18,2107,8,0,0,14,14
p18,2160,8,0,0,14,14
p18,2220,8,0,0,14,14
p18,2239,8,0,0,14,13
p18,2240,8,0,0,13,13
p18,2260,8,0,0,12,12
p18,2280,8,0,0,12,12
p18,2340,8,0,0,12,12
p18,2400,8,0,0,12,12
p18,2460,8,0,0,12,12
p18,2520,8,0,0,12,12
p18,2580,8,0,0,12,12
p18,2599,8,0,0,12,12
p18,2640,8,0,0,12,12
p18,2700,8,0,0,12,12
p18,2760,8,0,0,12,12
p18,2820,8,0,0,12,12
p18,2880,8,0,0,12,12
p18,2909,8,0,0,12,12
p18,2940,8,0,0,12,12
p18,3000,8,0,0,12,12
p18,3060,8,0,0,12,12
p18,3120,8,0,0,12,12
p18,3180,8,0,0,12,12
p18,3240,8,0,0,12,12
p18,3300,8,0,0,12,12
p18,3360,8,0,0,12,12
p18,3420,8,0,0,12,12
p18,3480,8,0,0,12,12
p18,3540,8,0,0,12,12
p18,3600,8,0,0,12,12
p18,3602,16,0,0,12,12
p18,3603,38,18,0,12,12
p18,3660,38,18,0,12,12
p18,3686,37,17,0,13,13
p18,3695,36,16,0,14,14
p18,3716,35,15,0,15,15
p18,3720,35,15,0,15,15
p18,3733,34,14,0,16,16
p18,3744,33,13,0,17,17
p18,3750,32,12,0,18,18
p18,3780,32,12,0,18,18
p18,3792,31,11,0,19,19
p18,3840,31,11,0,19,19
p18,3900,31,11,0,19,19
p18,3960,31,11,0,19,19
p18,4020,31,11,0,19,19
p18,4047,31,11,0,18,18
p18,4051,31,11,0,18,17
p18,4052,31,11,0,17,17
p18,4060,30,10,0,18,18
p18,4080,30,10,0,18,18
p18,4088,30,10,0,17,17
p18,4096,30,10,0,16,16
p18,4106,30,10,0,15,15
p18,4113,30,10,0,14,14
p18,4123,30,10,0,14,13
p18,4124,30,10,0,13,13
p18,4131,30,10,0,12,12
p18,4138,30,10,0,11,11
p18,4140,30,10,0,11,11
p18,4142,30,10,0,10,10
p18,4144,30,10,0,9,9
p18,4154,30,10,0,8,8
p18,4156,30,10,0,7,7
p18,4200,30,10,0,7,7
p18,4203,30,10,0,6,6
p18,4227,30,10,0,5,5
p18,4228,30,10,0,5,5
p18,4245,30,10,0,4,4
