id,t,dTot,dFed,rFed,oFed,sFed
p50,0,0,0,0,0,0
p50,1,363,363,1,0,0
p50,2,531,531,1,0,0
p50,3,709,709,1,0,0
p50,4,800,800,1,0,0
p50,5,800,800,2,0,0
p50,6,800,800,5,0,0
p50,7,800,800,5,0,0
p50,8,800,800,4,0,0
p50,9,800,800,3,0,0
p50,11,800,800,5,0,0
p50,12,800,800,6,0,0
p50,13,800,800,12,0,0
p50,14,800,800,27,0,0
p50,15,800,800,30,0,0
p50,16,800,800,34,0,0
p50,17,800,800,35,0,0
p50,18,800,800,37,0,0
p50,19,800,800,45,0,0
p50,20,800,800,46,0,0
p50,21,800,800,53,0,0
p50,24,800,800,54,0,0
p50,26,800,800,55,0,0
p50,602,800,800,62,0,0
p50,603,800,800,61,0,0
p50,606,800,800,62,0,0
p50,607,800,800,64,0,0
p50,608,800,800,67,0,0
p50,609,800,800,69,0,0
p50,610,800,800,71,0,0
p50,611,800,800,78,0,0
p50,612,800,800,82,0,0
p50,613,800,800,84,0,0
p50,614,800,800,86,0,0
p50,615,800,800,88,0,0
p50,616,800,800,91,0,0
p50,619,800,800,93,0,0
p50,620,800,800,95,0,0
p50,621,800,800,97,0,0
p50,639,800,800,99,0,0
p50,640,800,800,100,0,0
p50,645,800,800,100,0,0
p50,652,800,800,101,0,0
p50,656,800,800,100,0,0
p50,657,800,800,99,0,0
p50,663,800,800,100,0,0
p50,668,800,800,99,0,0
p50,669,800,800,98,0,0
p50,670,800,800,97,0,0
p50,671,800,800,96,0,0
p50,678,800,800,95,0,0
p50,679,800,800,94,0,0
p50,685,800,800,93,0,0
p50,686,800,800,92,0,0
p50,687,800,800,91,0,0
p50,688,800,800,90,0,0
p50,691,800,800,89,0,0
p50,693,800,800,87,0,0
p50,694,800,800,86,0,0
p50,696,800,800,85,0,0
p50,702,800,800,84,0,0
p50,704,800,800,83,0,0
p50,705,800,800,82,0,0
p50,706,800,800,80,0,0
p50,707,800,800,77,0,0
p50,708,800,800,74,0,0
p50,709,800,800,73,0,0
p50,711,800,800,72,0,0
p50,712,800,800,71,0,0
p50,713,800,800,70,0,0
p50,717,800,800,69,0,0
p50,718,800,800,67,0,0
p50,719,800,800,65,0,0
p50,721,800,800,63,0,0
p50,722,800,800,62,0,0
p50,724,800,800,60,0,0
p50,727,800,800,59,0,0
p50,729,800,800,58,0,0
p50,732,800,800,57,0,0
p50,735,800,800,56,0,0
p50,737,800,800,55,0,0
p50,741,800,800,54,0,0
p50,742,800,800,53,0,0
p50,744,800,800,51,0,0
p50,747,800,800,50,0,0
p50,748,800,800,49,0,0
p50,749,800,800,48,0,0
p50,754,800,800,47,0,0
p50,755,800,800,46,0,0
p50,764,800,800,45,0,0
p50,768,800,800,44,0,0
p50,772,800,800,43,0,0
p50,775,800,800,41,0,0
p50,776,800,800,40,0,0
p50,779,800,800,39,0,0
p50,792,800,800,38,0,0
p50,797,800,800,37,0,0
p50,798,800,800,36,0,0
p50,801,800,800,35,0,0
p50,802,800,800,35,0,0
p50,807,800,800,34,0,0
p50,810,800,800,33,0,0
p50,813,800,800,32,0,0
