id,t,dTot,dFed,rFed,oFed,sFed
p32,0,0,0,0,20,0
p32,9,0,0,0,20,1
p32,14,0,0,0,20,10
p32,19,0,0,0,20,19
p32,24,0,0,0,20,20
p32,60,0,0,0,20,20
p32,120,0,0,0,20,20
p32,180,0,0,0,20,20
p32,240,0,0,0,20,20
p32,300,0,0,0,20,20
p32,360,0,0,0,20,20
p32,420,0,0,0,20,20
p32,480,0,0,0,20,20
p32,540,0,0,0,20,20
p32,600,5,0,0,20,20
p32,601,25,5,0,20,20
p32,602,30,10,0,20,20
p32,610,30,10,0,20,19
p32,615,30,10,0,20,20
p32,660,30,10,0,20,20
p32,667,30,10,0,20,19
p32,668,30,10,0,19,19
p32,669,30,10,0,18,18
p32,672,30,10,0,17,16
p32,673,30,10,0,15,15
p32,679,30,10,0,14,14
p32,681,30,10,0,13,13
p32,689,30,10,0,12,12
p32,700,30,10,0,12,11
p32,701,30,10,0,10,10
p32,702,30,10,0,9,9
p32,703,30,10,0,9,8
p32,704,30,10,0,8,8
p32,706,30,10,0,7,7
p32,707,30,10,0,7,6
p32,708,30,10,0,5,5
p32,709,30,10,0,4,3
p32,710,30,10,0,3,3
p32,713,30,10,0,2,2
p32,714,30,10,0,1,1
p32,720,30,10,0,1,1
p32,721,30,10,0,1,0
p32,722,30,10,0,0,0
p32,780,30,10,0,0,0
p32,840,30,10,0,0,0
p32,900,30,10,0,0,0
p32,960,30,10,0,0,0
p32,1020,30,10,0,0,0
p32,1080,30,10,0,0,0
p32,1140,30,10,0,0,0
p32,1200,30,10,0,0,0
p32,1260,30,10,0,0,0
p32,1268,29,9,0,1,0
p32,1270,28,8,0,2,0
p32,1272,27,7,0,3,0
p32,1273,25,5,0,5,0
p32,1279,24,4,0,6,0
p32,1281,23,3,0,7,0
p32,1290,22,2,0,8,0
p32,1300,21,1,0,9,0
p32,1301,20,0,0,10,0
p32,1302,19,0,0,11,0
p32,1304,18,0,0,12,3
p32,1305,18,0,0,12,12
p32,1306,17,0,0,13,13
p32,1308,15,0,0,15,15
p32,1309,14,0,0,16,16
p32,1310,13,0,0,17,17
p32,1313,12,0,0,18,18
p32,1314,11,0,0,19,19
p32,1320,11,0,0,19,19
p32,1322,10,0,0,20,20
p32,1380,10,0,0,20,20
p32,1413,10,0,0,19,19
p32,1416,10,0,0,17,17
p32,1419,10,0,0,16,16
p32,1425,10,0,0,14,14
p32,1428,10,0,0,13,13
p32,1430,10,0,0,13,12
p32,1431,10,0,0,12,12
p32,1436,10,0,0,11,11
p32,1440,10,0,0,11,11
p32,1444,10,0,0,10,10
p32,1500,10,0,0,10,10
p32,1560,10,0,0,10,10
p32,1620,10,0,0,10,10
p32,1680,10,0,0,10,10
p32,1740,10,0,0,10,10
p32,1800,21,1,0,10,10
p32,1801,40,20,0,10,10
p32,1860,40,20,0,10,10
p32,1920,40,20,0,10,10
p32,1948,40,20,0,9,9
p32,1949,40,20,0,8,8
p32,1955,40,20,0,8,7
p32,1956,40,20,0,7,7
p32,1960,40,20,0,6,6
p32,1968,40,20,0,5,5
p32,1980,40,20,0,5,5
p32,1993,40,20,0,4,4
p32,1994,40,20,0,2,2
p32,1995,40,20,0,1,1
p32,1999,40,20,0,0,0
p32,2013,39,19,0,1,1
p32,2016,37,17,0,3,3
p32,2019,36,16,0,4,4
p32,2024,36,16,0,3,3
p32,2025,35,15,0,4,4
p32,2026,34,14,0,5,5
p32,2029,33,13,0,5,5
p32,2031,33,13,0,5,6
p32,2032,32,12,0,5,5
p32,2034,32,12,0,4,4
p32,2036,31,11,0,5,5
p32,2038,31,11,0,4,4
p32,2039,31,11,0,3,3
p32,2040,31,11,0,3,3
p32,2044,30,10,0,4,4
p32,2048,30,10,0,3,3
p32,2052,30,10,0,2,2
p32,2065,30,10,0,1,1
p32,2100,30,10,0,0,0
p32,2160,30,10,0,0,0
p32,2220,30,10,0,0,0
p32,2280,30,10,0,0,0
p32,2340,30,10,0,0,0
p32,2400,30,10,0,0,0
p32,2460,30,10,0,0,0
p32,2519,30,10,1,0,0
p32,2520,30,10,1,0,0
p32,2533,30,10,0,0,0
p32,2548,29,9,0,1,1
p32,2550,28,8,0,2,2
p32,2556,27,7,0,3,3
p32,2560,26,6,0,4,4
p32,2569,25,5,0,5,5
p32,2580,25,5,0,5,5
p32,2587,25,5,0,4,4
p32,2588,25,5,0,3,3
p32,2593,24,4,0,3,3
p32,2594,22,2,0,5,5
p32,2595,21,1,0,6,6
p32,2598,21,1,0,5,5
p32,2599,20,0,0,5,4
p32,2600,20,0,0,4,4
p32,2625,19,0,0,5,4
p32,2629,18,0,0,6,4
p32,2632,17,0,0,7,4
p32,2634,16,0,0,8,4
p32,2638,15,0,0,9,4
p32,2639,14,0,0,10,4
p32,2640,14,0,0,10,4
p32,2648,13,0,0,11,4
p32,2652,12,0,0,12,4
p32,2665,11,0,0,13,4
p32,2700,10,0,0,14,4
p32,2710,10,0,0,14,14
p32,2760,10,0,0,14,14
p32,2762,10,0,0,13,13
p32,2763,10,0,0,12,12
p32,2769,10,0,0,12,11
p32,2770,10,0,0,10,10
p32,2820,10,0,0,10,10
p32,2880,10,0,0,10,10
p32,2940,10,0,0,10,10
p32,3000,20,0,0,10,10
p32,3001,40,20,0,10,10
p32,3060,40,20,0,10,10
p32,3120,40,20,0,10,10
p32,3180,40,20,0,10,10
p32,3187,39,19,0,11,10
p32,3188,38,18,0,12,10
p32,3193,37,17,0,13,10
p32,3198,36,16,0,14,10
p32,3199,35,15,0,15,10
p32,3200,34,14,0,16,10
p32,3240,34,14,0,16,10
p32,3249,34,14,0,16,16
p32,3257,34,14,0,15,15
p32,3260,34,14,0,15,14
p32,3261,34,14,0,14,14
p32,3283,34,14,0,13,13
p32,3285,34,14,0,12,12
p32,3289,34,14,0,11,11
p32,3300,34,14,0,11,11
p32,3321,34,14,0,11,10
p32,3322,34,14,0,10,10
p32,3330,34,14,0,9,9
p32,3331,34,14,0,8,8
p32,3332,34,14,0,8,7
p32,3333,34,14,0,7,7
p32,3339,34,14,0,6,6
p32,3348,33,13,0,7,7
p32,3355,33,13,0,7,6
p32,3356,33,13,0,6,6
p32,3360,33,13,0,6,6
p32,3361,33,13,0,5,5
p32,3363,32,12,0,6,6
p32,3370,31,11,0,6,6
p32,3371,30,10,0,7,7
p32,3374,30,10,0,7,6
p32,3375,30,10,0,6,6
p32,3385,30,10,0,5,5
p32,3391,30,10,0,4,4
p32,3392,30,10,0,3,3
p32,3404,30,10,0,2,2
p32,3409,30,10,0,1,1
p32,3416,30,10,0,0,0
p32,3420,30,10,0,0,0
p32,3480,30,10,0,0,0
p32,3540,30,10,0,0,0
p32,3600,30,10,0,0,0
p32,3660,30,10,0,0,0
p32,3720,30,10,0,0,0
p32,3780,30,10,0,0,0
p32,3840,30,10,0,0,0
p32,3857,29,9,0,1,1
p32,3861,28,8,0,2,2
p32,3883,27,7,0,3,3
p32,3886,26,6,0,4,4
p32,3890,25,5,0,5,5
p32,3900,25,5,0,5,5
p32,3922,24,4,0,6,6
p32,3930,23,3,0,7,7
p32,3931,22,2,0,8,8
p32,3933,21,1,0,9,8
p32,3939,20,0,0,10,10
p32,3956,19,0,0,11,11
p32,3960,19,0,0,11,11
p32,3961,18,0,0,12,12
p32,3970,17,0,0,13,13
p32,3975,16,0,0,14,14
p32,3985,15,0,0,15,15
p32,3991,14,0,0,16,15
p32,3992,13,0,0,17,16
p32,3993,13,0,0,17,17
p32,4004,12,0,0,18,18
p32,4009,11,0,0,19,19
p32,4013,11,0,0,18,18
p32,4015,11,0,0,17,17
p32,4016,10,0,0,18,18
p32,4020,10,0,0,18,18
p32,4026,10,0,0,17,17
p32,4027,10,0,0,16,16
p32,4035,10,0,0,15,15
p32,4041,10,0,0,13,13
p32,4043,10,0,0,12,12
p32,4044,10,0,0,11,11
p32,4045,10,0,0,10,10
p32,4080,10,0,0,10,10
p32,4140,10,0,0,10,10
p32,4200,16,0,0,10,10
p32,4201,35,15,0,10,10
p32,4202,40,20,0,10,10
p32,4260,40,20,0,10,10
p32,4320,40,20,0,10,10
p32,4380,40,20,0,10,10
p32,4440,40,20,0,10,10
p32,4474,40,20,0,9,9
p32,4476,40,20,0,8,8
p32,4479,40,20,0,7,7
p32,4482,40,20,0,7,6
p32,4483,40,20,0,6,6
p32,4493,40,20,0,5,5
p32,4500,40,20,0,5,5
p32,4508,40,20,0,5,4
