id,t,dTot,dFed,rFed,oFed,sFed
p27,0,0,0,0,20,0
p27,11,0,0,0,20,1
p27,18,0,0,0,20,6
p27,23,0,0,0,20,19
p27,28,0,0,0,20,20
p27,605,24,4,0,20,20
p27,606,30,10,0,20,20
p27,619,30,10,0,20,20
p27,623,30,10,0,20,19
p27,624,30,10,0,20,20
p27,685,30,10,0,20,19
p27,686,30,10,0,19,19
p27,687,30,10,0,18,18
p27,688,30,10,0,18,17
p27,689,30,10,0,17,17
p27,693,30,10,0,16,16
p27,695,30,10,0,14,14
p27,696,30,10,0,13,12
p27,697,30,10,0,12,11
p27,698,30,10,0,11,11
p27,700,30,10,0,10,10
p27,701,30,10,0,9,9
p27,702,30,10,0,7,7
p27,703,30,10,0,6,6
p27,709,30,10,0,5,5
p27,715,30,10,0,4,4
p27,717,30,10,0,3,3
p27,720,30,10,0,2,2
p27,724,30,10,0,1,1
p27,725,30,10,0,1,0
p27,726,30,10,0,0,0
p27,1140,30,10,1,0,0
p27,1286,29,9,1,1,1
p27,1287,28,8,1,2,2
p27,1289,27,7,1,3,3
p27,1294,26,6,1,4,4
p27,1295,24,4,1,6,6
p27,1296,23,3,1,7,7
p27,1297,22,2,1,8,8
p27,1298,21,1,1,9,9
p27,1300,20,0,1,9,8
p27,1301,19,0,1,10,10
p27,1302,17,0,1,12,12
p27,1303,16,0,1,13,13
p27,1306,16,0,2,13,13
p27,1309,15,0,2,14,14
p27,1316,14,0,2,15,15
p27,1317,13,0,2,16,16
p27,1320,12,0,2,17,16
p27,1324,11,0,2,18,16
p27,1326,10,0,2,19,16
p27,1370,10,0,3,19,16
p27,1371,10,0,2,19,16
p27,1390,10,0,2,19,15
p27,1392,10,0,2,19,19
p27,1427,10,0,3,19,19
p27,1431,10,0,4,19,19
p27,1435,10,0,3,19,19
p27,1436,10,0,2,19,19
p27,1438,10,0,1,19,19
p27,1458,10,0,1,18,18
p27,1470,10,0,1,17,17
p27,1473,10,0,1,17,16
p27,1474,10,0,1,16,16
p27,1480,10,0,1,16,15
p27,1481,10,0,1,15,15
p27,1483,10,0,1,13,13
p27,1487,10,0,1,12,12
p27,1682,10,0,1,11,11
p27,1802,27,7,1,11,11
p27,1803,40,20,1,11,11
p27,1900,39,19,1,12,12
p27,1907,38,18,0,12,12
p27,1984,37,17,0,13,12
p27,2019,37,17,0,12,11
p27,2020,37,17,0,11,11
p27,2021,37,17,0,10,10
p27,2030,37,17,0,9,9
p27,2041,37,17,0,8,8
p27,2042,37,17,0,8,7
p27,2043,37,17,0,7,7
p27,2053,37,17,0,6,6
p27,2059,36,16,0,6,6
p27,2061,35,15,0,7,6
p27,2062,35,15,0,7,7
p27,2064,35,15,0,6,6
p27,2069,35,15,0,6,7
p27,2070,34,14,0,7,7
p27,2071,34,14,0,7,6
p27,2072,34,14,0,6,6
p27,2074,34,14,0,5,5
p27,2076,34,14,0,5,4
p27,2077,34,14,0,4,4
p27,2080,33,13,0,5,5
p27,2083,31,11,0,7,7
p27,2087,30,10,0,8,8
p27,2088,30,10,0,7,7
p27,2092,30,10,0,6,6
p27,2093,30,10,0,5,5
p27,2096,30,10,0,5,4
p27,2097,30,10,0,4,4
p27,2103,30,10,0,3,3
p27,2106,30,10,0,2,2
p27,2110,30,10,0,1,1
p27,2119,30,10,0,1,0
p27,2120,30,10,0,0,0
p27,2328,30,10,1,0,0
p27,2492,30,10,0,0,0
p27,2619,29,9,0,1,1
p27,2620,28,8,0,2,2
p27,2621,27,7,0,3,3
p27,2628,27,7,0,2,2
p27,2630,26,6,0,3,3
p27,2640,26,6,0,2,2
p27,2641,25,5,0,2,2
p27,2642,25,5,0,2,1
p27,2643,24,4,0,2,2
p27,2653,23,3,0,3,3
p27,2659,22,2,0,4,4
p27,2661,22,2,0,3,3
p27,2664,21,1,0,4,3
p27,2665,21,1,0,4,4
p27,2668,21,1,0,3,3
