id,t,dTot,dFed,rFed,oFed,sFed
p12,0,0,0,0,20,0
p12,7,30,10,0,1,0
p12,11,30,10,0,0,0
p12,12,30,10,2,0,0
p12,16,30,10,3,0,0
p12,17,30,10,5,0,0
p12,23,30,10,6,0,0
p12,60,30,10,6,0,0
p12,120,30,10,6,0,0
p12,180,30,10,6,0,0
p12,240,30,10,6,0,0
p12,300,30,10,6,0,0
p12,360,30,10,6,0,0
p12,420,30,10,6,0,0
p12,480,30,10,6,0,0
p12,540,30,10,6,0,0
p12,600,30,10,6,0,0
p12,601,28,8,6,2,2
p12,607,26,6,6,4,3
p12,608,22,2,6,8,7
p12,609,18,0,6,12,11
p12,610,16,0,6,14,15
p12,611,11,0,6,19,19
p12,612,9,0,5,20,20
p12,613,8,0,4,20,20
p12,617,6,0,2,19,19
p12,618,5,0,1,19,19
p12,619,5,0,2,19,19
p12,624,4,0,1,19,19
p12,660,4,0,1,19,19
p12,720,4,0,1,19,19
p12,724,4,0,1,18,18
p12,734,4,0,1,18,18
p12,749,4,0,1,18,17
p12,750,4,0,1,18,18
p12,752,4,0,1,18,18
p12,780,4,0,1,18,18
p12,782,4,0,1,17,17
p12,840,4,0,1,17,17
p12,900,4,0,1,17,17
p12,906,4,0,1,17,16
p12,912,4,0,1,17,15
p12,913,4,0,1,17,14
p12,934,4,0,1,17,17
p12,960,4,0,1,17,17
p12,1020,4,0,1,17,17
p12,1080,4,0,1,17,17
p12,1140,4,0,1,17,17
p12,1200,4,0,1,17,17
p12,1202,23,3,1,17,17
p12,1203,34,14,1,17,17
p12,1217,33,13,1,18,17
p12,1220,32,12,0,18,17
p12,1221,32,12,0,16,16
p12,1227,32,12,0,14,14
p12,1228,32,12,0,13,13
p12,1243,32,12,0,12,12
p12,1258,32,12,0,11,11
p12,1260,32,12,0,9,9
p12,1268,32,12,0,9,8
p12,1269,32,12,0,8,7
p12,1270,32,12,0,7,6
p12,1271,32,12,0,6,6
p12,1276,32,12,0,6,5
p12,1277,32,12,0,5,4
p12,1278,32,12,0,4,4
p12,1280,32,12,0,4,3
p12,1281,32,12,0,2,2
p12,1300,32,12,0,1,1
p12,1312,32,12,0,1,0
p12,1320,32,12,0,1,0
p12,1324,31,11,0,1,1
p12,1325,31,11,0,1,0
p12,1326,31,11,0,0,0
p12,1380,31,11,0,0,0
p12,1382,30,10,0,1,0
p12,1408,30,10,0,1,1
p12,1440,30,10,0,1,1
p12,1499,30,10,0,0,0
p12,1500,30,10,0,0,0
p12,1560,30,10,0,0,0
p12,1620,30,10,0,0,0
p12,1680,30,10,0,0,0
p12,1740,30,10,0,0,0
p12,1800,30,10,0,0,0
p12,1821,28,8,0,2,0
p12,1827,26,6,0,4,0
p12,1828,25,5,0,5,0
p12,1843,24,4,0,6,0
p12,1858,23,3,0,7,0
p12,1860,21,1,0,9,0
p12,1869,20,0,0,10,0
p12,1870,19,0,0,11,0
p12,1871,18,0,0,12,0
p12,1877,17,0,0,13,0
p12,1878,16,0,0,14,0
p12,1881,14,0,0,16,0
p12,1895,14,0,0,16,16
p12,1900,13,0,0,17,16
p12,1901,13,0,0,17,17
p12,1912,12,0,0,18,18
p12,1920,12,0,0,18,18
p12,1926,11,0,0,19,19
p12,1932,11,0,0,19,19
p12,1945,11,0,0,19,18
p12,1946,11,0,0,18,18
p12,1950,11,0,0,17,16
p12,1951,11,0,0,16,16
p12,1952,11,0,0,16,16
p12,1955,11,0,0,15,15
p12,1956,11,0,0,14,14
p12,1961,11,0,0,13,13
p12,1980,11,0,0,13,13
p12,1997,11,0,0,13,13
p12,2032,11,0,0,12,12
p12,2036,11,0,0,11,11
p12,2037,11,0,0,10,10
p12,2040,11,0,0,10,10
p12,2051,11,0,0,9,9
p12,2082,11,0,0,9,8
p12,2086,11,0,0,9,7
p12,2099,10,0,0,10,7
p12,2100,10,0,0,10,7
p12,2108,10,0,0,10,6
p12,2132,10,0,0,10,10
p12,2160,10,0,0,10,10
p12,2220,10,0,0,10,10
p12,2280,10,0,0,10,10
p12,2340,10,0,0,10,10
p12,2400,10,0,0,10,10
p12,2401,20,0,0,10,10
p12,2402,40,20,0,10,10
p12,2445,40,20,0,10,10
p12,2460,40,20,0,10,10
p12,2520,40,20,0,10,10
p12,2532,40,20,0,10,9
p12,2546,39,19,0,11,9
p12,2550,38,18,0,12,9
p12,2551,37,17,0,13,9
p12,2555,36,16,0,14,9
p12,2556,35,15,0,15,9
p12,2562,34,14,0,16,9
p12,2580,34,14,0,16,9
p12,2602,34,14,0,16,16
p12,2613,34,14,0,15,15
p12,2623,34,14,0,14,14
p12,2629,34,14,0,13,13
p12,2632,33,13,0,14,13
p12,2633,33,13,0,14,14
p12,2634,33,13,0,13,13
p12,2636,32,12,0,14,14
p12,2637,31,11,0,15,15
p12,2640,31,11,0,15,15
p12,2642,31,11,0,14,14
p12,2648,31,11,0,13,13
p12,2651,30,10,0,14,14
p12,2663,30,10,0,13,13
p12,2674,30,10,0,12,12
p12,2677,30,10,0,11,11
p12,2680,30,10,0,11,10
p12,2681,30,10,0,10,10
p12,2698,30,10,0,9,9
p12,2700,30,10,0,9,9
p12,2702,30,10,0,8,7
p12,2703,30,10,0,7,7
p12,2704,30,10,0,7,6
p12,2711,30,10,0,5,5
p12,2726,30,10,0,4,4
p12,2739,30,10,0,4,3
p12,2740,30,10,0,3,3
p12,2756,30,10,0,2,2
p12,2760,30,10,0,2,2
