id,t,dTot,dFed,rFed,oFed,sFed
p22,0,0,0,0,20,0
p22,7,0,0,0,20,1
p22,12,0,0,0,20,10
p22,17,0,0,0,20,13
p22,32,0,0,0,20,15
p22,37,0,0,0,20,16
p22,42,0,0,0,20,17
p22,52,0,0,0,20,18
p22,600,5,0,0,20,18
p22,601,30,10,0,20,18
p22,602,30,10,0,0,0
p22,606,30,10,3,0,0
p22,608,30,10,5,0,0
p22,609,30,10,9,0,0
p22,611,30,10,7,0,0
p22,613,30,10,8,0,0
p22,619,30,10,9,0,0
p22,625,30,10,10,0,0
p22,1201,30,10,9,0,0
p22,1202,10,0,9,20,0
p22,1204,10,0,5,20,0
p22,1205,10,0,2,15,8
p22,1206,10,0,0,15,8
p22,1208,10,0,0,15,1
p22,1209,6,0,0,19,1
p22,1210,6,0,0,14,1
p22,1213,4,0,0,16,1
p22,1214,1,0,0,19,1
p22,1229,0,0,0,20,1
p22,1235,0,0,0,20,2
p22,1800,30,10,0,20,2
p22,1805,30,10,2,0,0
p22,1806,30,10,3,0,0
p22,1807,30,10,5,0,0
p22,1808,30,10,6,0,0
p22,1814,30,10,7,0,0
p22,1820,30,10,8,0,0
p22,1827,30,10,9,0,0
p22,1837,30,10,10,0,0
p22,2401,30,10,9,0,0
p22,2403,30,10,5,0,0
p22,2404,30,10,4,0,0
p22,2405,8,0,0,12,6
p22,2409,5,0,0,15,6
p22,2410,4,0,0,16,7
p22,2415,3,0,0,17,7
p22,2420,2,0,0,18,7
p22,2425,2,0,0,18,8
p22,2430,1,0,0,19,8
p22,2440,0,0,0,20,9
p22,2450,0,0,0,20,10
p22,3000,30,10,0,20,10
p22,3001,30,10,0,0,0
p22,3002,30,10,1,0,0
p22,3005,30,10,5,0,0
p22,3011,30,10,6,0,0
p22,3015,30,10,7,0,0
p22,3020,30,10,8,0,0
p22,3021,30,10,9,0,0
p22,3031,30,10,10,0,0
p22,3601,12,0,9,18,0
p22,3602,9,0,4,17,0
p22,3605,6,0,0,17,0
p22,3606,5,0,0,18,0
p22,3607,5,0,0,15,3
p22,3612,5,0,0,15,4
p22,3616,4,0,0,16,4
p22,3617,4,0,0,16,6
p22,3620,3,0,0,17,6
p22,3621,2,0,0,18,6
p22,3622,1,0,0,19,6
p22,3631,0,0,0,20,6
p22,3632,0,0,0,20,7
p22,3637,0,0,0,20,8
p22,3657,0,0,0,20,9
p22,3662,0,0,0,20,11
p22,3667,0,0,0,20,12
p22,3677,0,0,0,20,13
p22,3697,0,0,0,20,14
p22,3707,0,0,0,20,15
p22,3762,0,0,0,20,16
p22,3802,0,0,0,20,17
p22,4200,30,10,0,20,17
p22,4202,30,10,0,18,17
p22,4203,30,10,0,8,8
p22,4204,30,10,0,0,0
p22,4207,30,10,2,0,0
p22,4208,30,10,3,0,0
p22,4209,30,10,4,0,0
p22,4214,30,10,5,0,0
p22,4219,30,10,6,0,0
p22,4220,30,10,7,0,0
p22,4224,30,10,8,0,0
p22,4225,30,10,9,0,0
p22,4239,30,10,10,0,0
p22,4802,30,10,9,0,0
p22,4803,18,0,8,12,0
p22,4804,10,0,5,20,0
p22,4805,10,0,3,13,2
p22,4806,10,0,0,13,2
p22,4809,9,0,0,14,2
p22,4810,7,0,0,16,2
p22,4815,5,0,0,15,6
p22,4820,4,0,0,16,7
p22,4824,3,0,0,17,7
p22,4825,3,0,0,17,8
p22,4829,1,0,0,19,8
p22,4830,1,0,0,19,9
p22,4840,0,0,0,20,9
p22,4850,0,0,0,20,10
p22,4945,0,0,0,20,11
p22,5400,30,10,0,7,7
p22,5401,30,10,0,0,0
p22,5405,30,10,1,0,0
p22,5406,30,10,2,0,0
p22,5407,30,10,4,0,0
p22,5408,30,10,5,0,0
p22,5410,30,10,7,0,0
p22,5416,30,10,8,0,0
p22,5421,30,10,9,0,0
p22,5436,30,10,10,0,0
p22,6000,17,0,10,13,0
p22,6001,10,0,6,20,0
p22,6002,10,0,6,16,1
p22,6003,10,0,3,16,1
p22,6005,9,0,0,16,1
p22,6006,8,0,0,17,0
p22,6007,8,0,0,12,3
p22,6011,5,0,0,15,3
p22,6012,3,0,0,17,4
p22,6016,2,0,0,18,4
p22,6017,2,0,0,18,5
p22,6021,1,0,0,19,5
p22,6022,1,0,0,19,7
p22,6027,1,0,0,19,9
p22,6037,0,0,0,20,9
p22,6600,30,10,0,20,9
p22,6602,30,10,0,5,5
p22,6603,30,10,0,1,1
p22,6604,30,10,0,0,0
p22,6605,30,10,1,0,0
p22,6606,30,10,2,0,0
p22,6609,30,10,3,0,0
p22,6614,30,10,4,0,0
p22,6616,30,10,7,0,0
p22,6619,30,10,8,0,0
p22,6620,30,10,9,0,0
p22,6621,30,10,10,0,0
p22,7201,30,10,5,0,0
p22,7202,15,0,4,15,0
p22,7203,11,0,4,19,0
p22,7204,10,0,2,20,0
p22,7205,10,0,0,10,0
p22,7210,8,0,0,12,0
p22,7215,6,0,0,14,2
p22,7220,1,0,0,19,3
p22,7225,0,0,0,20,3
p22,7800,30,10,0,20,3
p22,7801,30,10,0,0,0
p22,7803,30,10,1,0,0
p22,7805,30,10,2,0,0
p22,7808,30,10,4,0,0
p22,7815,30,10,5,0,0
p22,7818,30,10,6,0,0
p22,7819,30,10,7,0,0
p22,7820,30,10,8,0,0
p22,7825,30,10,9,0,0
p22,7835,30,10,10,0,0
p22,8401,10,0,8,20,0
p22,8402,10,0,8,18,0
p22,8403,9,0,5,18,0
p22,8404,9,0,3,18,0
p22,8405,9,0,0,18,0
p22,8406,8,0,0,19,0
p22,8407,8,0,0,12,3
p22,8411,6,0,0,14,3
p22,8412,6,0,0,14,5
p22,8416,5,0,0,15,5
p22,8421,3,0,0,17,5
p22,8422,2,0,0,18,5
p22,8426,1,0,0,19,5
p22,8436,0,0,0,20,5
p22,9000,30,10,0,20,5
p22,9002,30,10,0,0,0
p22,9004,30,10,1,0,0
p22,9006,30,10,3,0,0
p22,9007,30,10,4,0,0
p22,9012,30,10,5,0,0
p22,9014,30,10,6,0,0
p22,9021,30,10,8,0,0
p22,9029,30,10,9,0,0
p22,9047,30,10,10,0,0
p22,9601,30,10,9,0,0
p22,9602,10,0,3,20,0
p22,9603,10,0,3,13,4
p22,9604,9,0,1,13,4
p22,9605,9,0,0,13,4
p22,9607,8,0,0,14,4
p22,9608,6,0,0,14,4
p22,9612,5,0,0,15,4
p22,9618,4,0,0,16,6
p22,9623,2,0,0,18,6
p22,9632,1,0,0,19,6
p22,9633,1,0,0,19,7
p22,9648,0,0,0,20,7
p22,9658,0,0,0,20,8
p22,10200,30,10,0,20,8
p22,10203,30,10,0,0,0
p22,10204,30,10,1,0,0
p22,10205,30,10,2,0,0
p22,10206,30,10,3,0,0
p22,10207,30,10,4,0,0
p22,10208,30,10,5,0,0
p22,10210,30,10,6,0,0
p22,10213,30,10,7,0,0
p22,10215,30,10,8,0,0
p22,10233,30,10,9,0,0
p22,10246,30,10,10,0,0
p22,10802,30,10,7,0,0
p22,10803,10,0,4,20,0
p22,10804,9,0,3,14,0
p22,10805,8,0,0,14,0
p22,10808,6,0,0,16,0
p22,10809,5,0,0,15,2
p22,10813,3,0,0,17,2
p22,10814,3,0,0,17,5
p22,10819,2,0,0,18,11
p22,10829,2,0,0,18,14
p22,10833,1,0,0,19,14
p22,10848,0,0,0,20,14
p22,10854,0,0,0,20,14
p22,10859,0,0,0,20,15
p22,11400,30,10,0,20,15
p22,11404,30,10,0,0,0
p22,11405,30,10,1,0,0
p22,11406,30,10,3,0,0
p22,11407,30,10,4,0,0
p22,11412,30,10,5,0,0
p22,11414,30,10,6,0,0
p22,11418,30,10,7,0,0
p22,11419,30,10,8,0,0
p22,11422,30,10,9,0,0
p22,11428,30,10,10,0,0
p22,12001,30,10,9,0,0
p22,12002,30,10,5,0,0
p22,12003,30,10,3,0,0
p22,12004,10,0,1,20,0
p22,12005,9,0,0,11,1
p22,12009,8,0,0,12,1
p22,12010,6,0,0,14,5
p22,12015,4,0,0,16,8
p22,12020,2,0,0,18,8
p22,12025,1,0,0,19,9
p22,12030,0,0,0,20,9
p22,12040,0,0,0,20,10
p22,12060,0,0,0,20,11
p22,12090,0,0,0,20,12
p22,12105,0,0,0,20,13
p22,12110,0,0,0,20,15
p22,12600,30,10,0,19,15
p22,12605,30,10,0,8,8
p22,12606,30,10,0,0,0
p22,12609,30,10,2,0,0
p22,12613,30,10,3,0,0
p22,12614,30,10,4,0,0
p22,12624,30,10,5,0,0
p22,12625,30,10,6,0,0
p22,12633,30,10,7,0,0
p22,12634,30,10,8,0,0
p22,12643,30,10,9,0,0
p22,12650,30,10,10,0,0
p22,13200,29,9,10,1,0
p22,13203,29,9,7,1,0
p22,13204,29,9,2,1,0
p22,13205,19,0,0,11,0
p22,13206,10,0,0,10,5
p22,13211,8,0,0,12,7
p22,13216,6,0,0,14,8
p22,13226,4,0,0,16,8
p22,13236,2,0,0,18,8
p22,13246,1,0,0,19,8
p22,13251,0,0,0,20,8
p22,13800,30,10,0,20,8
p22,13801,30,10,0,8,6
p22,13802,30,10,0,0,0
p22,13805,30,10,2,0,0
p22,13806,30,10,4,0,0
p22,13810,30,10,6,0,0
p22,13815,30,10,9,0,0
p22,13822,30,10,10,0,0
p22,14400,30,10,7,0,0
p22,14401,23,3,4,7,0
p22,14402,10,0,4,19,1
p22,14403,10,0,3,14,6
p22,14405,9,0,0,14,6
p22,14407,6,0,0,17,6
p22,14408,6,0,0,14,9
p22,14412,4,0,0,16,9
p22,14413,4,0,0,16,12
p22,14417,1,0,0,19,12
p22,14418,1,0,0,19,13
p22,14423,1,0,0,19,14
p22,14427,0,0,0,20,14
p22,14428,0,0,0,20,16
p22,15000,30,10,0,20,16
p22,15002,30,10,0,20,15
p22,15003,30,10,1,0,0
p22,15006,30,10,5,0,0
p22,15007,30,10,6,0,0
p22,15008,30,10,7,0,0
p22,15011,30,10,8,0,0
p22,15012,30,10,9,0,0
p22,15017,30,10,10,0,0
p22,15601,30,10,6,0,0
p22,15602,30,10,2,0,0
p22,15603,9,0,1,12,2
p22,15604,9,0,0,12,2
p22,15608,4,0,0,16,4
p22,15613,1,0,0,19,6
p22,15618,0,0,0,20,7
p22,15633,0,0,0,20,8
p22,15653,0,0,0,20,9
p22,16200,30,10,0,20,9
p22,16203,30,10,0,12,7
p22,16204,30,10,0,0,0
p22,16206,30,10,1,0,0
p22,16207,30,10,3,0,0
p22,16213,30,10,4,0,0
p22,16215,30,10,5,0,0
p22,16218,30,10,8,0,0
p22,16219,30,10,9,0,0
p22,16227,30,10,10,0,0
p22,16801,30,10,9,0,0
p22,16802,30,10,7,0,0
p22,16803,23,3,2,7,0
p22,16804,10,0,1,20,0
p22,16805,10,0,0,11,3
p22,16810,7,0,0,14,3
p22,16815,6,0,0,14,5
p22,16820,2,0,0,18,5
p22,16825,1,0,0,19,9
p22,16830,0,0,0,20,9
p22,17400,30,10,0,7,7
p22,17401,30,10,0,0,0
p22,17404,30,10,5,0,0
p22,17406,30,10,7,0,0
p22,17409,30,10,8,0,0
p22,17414,30,10,9,0,0
p22,17419,30,10,10,0,0
p22,18000,17,0,10,13,0
p22,18001,10,0,8,20,0
p22,18002,10,0,8,18,0
p22,18004,8,0,4,18,0
p22,18005,5,0,0,18,0
p22,18007,3,0,0,17,3
p22,18012,2,0,0,18,5
p22,18016,1,0,0,19,5
p22,18022,0,0,0,20,5
p22,18600,30,10,0,20,5
p22,18602,30,10,0,0,0
p22,18603,30,10,1,0,0
p22,18605,30,10,3,0,0
p22,18606,30,10,4,0,0
p22,18607,30,10,7,0,0
p22,18609,30,10,8,0,0
p22,18611,30,10,9,0,0
p22,18612,30,10,10,0,0
p22,19201,30,10,6,0,0
p22,19202,10,0,4,14,1
p22,19203,9,0,1,14,1
p22,19204,9,0,0,14,1
p22,19207,5,0,0,15,2
p22,19212,0,0,0,20,5
p22,19800,30,10,0,20,5
p22,19802,30,10,0,19,5
p22,19803,30,10,0,0,0
p22,19806,30,10,2,0,0
p22,19808,30,10,4,0,0
p22,19813,30,10,7,0,0
p22,19814,30,10,8,0,0
p22,19824,30,10,9,0,0
p22,19833,30,10,10,0,0
p22,20401,30,10,8,0,0
p22,20402,29,9,8,1,0
p22,20403,10,0,6,20,0
p22,20404,10,0,0,15,1
p22,20408,9,0,0,16,1
p22,20409,7,0,0,13,3
p22,20413,6,0,0,14,3
p22,20414,5,0,0,15,4
p22,20418,2,0,0,18,4
p22,20428,1,0,0,19,4
p22,20434,0,0,0,20,4
p22,21000,30,10,0,20,4
p22,21004,30,10,0,0,0
p22,21005,30,10,1,0,0
p22,21009,30,10,3,0,0
p22,21011,30,10,5,0,0
p22,21012,30,10,6,0,0
p22,21014,30,10,7,0,0
p22,21015,30,10,8,0,0
p22,21019,30,10,9,0,0
p22,21031,30,10,10,0,0
p22,21601,30,10,7,0,0
p22,21602,30,10,6,0,0
p22,21603,30,10,5,0,0
p22,21604,10,0,1,20,0
p22,21605,10,0,0,11,8
p22,21609,9,0,0,12,8
p22,21610,7,0,0,13,10
p22,21614,4,0,0,16,10
p22,21615,3,0,0,17,10
p22,21620,1,0,0,19,10
p22,21625,1,0,0,19,12
p22,21635,0,0,0,20,12
p22,21685,0,0,0,20,13
p22,22200,30,10,0,20,13
p22,22205,30,10,2,0,0
p22,22206,30,10,4,0,0
p22,22208,30,10,5,0,0
p22,22209,30,10,6,0,0
p22,22219,30,10,8,0,0
p22,22237,30,10,9,0,0
p22,22239,30,10,10,0,0
p22,22800,30,10,9,0,0
p22,22801,30,10,6,0,0
p22,22802,30,10,5,0,0
p22,22803,30,10,4,0,0
p22,22804,30,10,2,0,0
p22,22805,10,0,0,20,0
p22,22806,10,0,0,10,5
p22,22810,4,0,0,16,5
p22,22811,4,0,0,16,7
p22,22816,4,0,0,16,8
p22,22820,2,0,0,18,8
p22,22821,2,0,0,18,9
p22,22840,0,0,0,20,9
p22,22856,0,0,0,20,10
p22,22911,0,0,0,20,11
p22,23400,30,10,0,20,11
p22,23401,30,10,0,0,0
p22,23403,30,10,3,0,0
p22,23405,30,10,4,0,0
p22,23407,30,10,5,0,0
p22,23411,30,10,6,0,0
p22,23414,30,10,7,0,0
p22,23422,30,10,8,0,0
p22,23425,30,10,9,0,0
p22,23436,30,10,10,0,0
p22,24000,30,10,8,0,0
p22,24001,10,0,6,20,0
p22,24002,10,0,4,16,2
p22,24003,7,0,1,16,2
p22,24005,7,0,0,16,2
p22,24007,6,0,0,14,3
p22,24012,4,0,0,16,7
p22,24016,3,0,0,17,7
p22,24022,3,0,0,17,9
p22,24027,1,0,0,19,9
p22,24037,0,0,0,20,9
p22,24047,0,0,0,20,11
p22,24072,0,0,0,20,12
p22,24092,0,0,0,20,13
p22,24600,2,0,0,20,13
p22,24602,30,10,0,5,5
p22,24603,30,10,0,0,0
p22,24606,30,10,2,0,0
p22,24607,30,10,3,0,0
p22,24610,30,10,4,0,0
p22,24612,30,10,5,0,0
p22,24615,30,10,6,0,0
p22,24616,30,10,7,0,0
p22,24618,30,10,8,0,0
p22,24620,30,10,9,0,0
p22,24630,30,10,10,0,0
p22,25201,30,10,4,0,0
p22,25202,15,0,1,15,0
p22,25203,10,0,0,10,4
p22,25208,7,0,0,13,7
p22,25213,5,0,0,15,9
p22,25217,4,0,0,16,9
p22,25218,2,0,0,18,10
p22,25223,1,0,0,19,10
p22,25233,0,0,0,20,11
p22,25253,0,0,0,20,13
p22,25268,0,0,0,20,14
p22,25800,14,0,0,20,14
p22,25803,30,10,0,20,13
p22,25804,30,10,0,5,4
p22,25805,30,10,0,0,0
p22,25806,30,10,2,0,0
p22,25807,30,10,5,0,0
p22,25808,30,10,7,0,0
p22,25818,30,10,8,0,0
p22,25821,30,10,9,0,0
p22,25822,30,10,10,0,0
p22,26401,30,10,7,0,0
p22,26402,30,10,3,0,0
p22,26403,30,10,1,0,0
p22,26404,15,0,0,15,0
p22,26405,10,0,0,20,0
p22,26406,10,0,0,10,4
p22,26410,9,0,0,11,4
p22,26411,3,0,0,17,6
