id,t,dTot,dFed,rFed,oFed,sFed
p30,0,0,0,0,20,0
p30,5,0,0,0,20,1
p30,10,0,0,0,20,2
p30,15,0,0,0,20,3
p30,20,0,0,0,20,5
p30,25,0,0,0,20,9
p30,50,0,0,0,20,10
p30,60,0,0,0,20,10
p30,120,0,0,0,20,10
p30,180,0,0,0,20,10
p30,240,0,0,0,20,10
p30,300,0,0,0,20,10
p30,360,0,0,0,20,10
p30,420,0,0,0,20,10
p30,480,0,0,0,20,10
p30,540,0,0,0,20,10
p30,600,30,10,0,13,10
p30,601,30,10,0,0,0
p30,604,30,10,0,0,0
p30,607,30,10,1,0,0
p30,608,30,10,3,0,0
p30,609,30,10,8,0,0
p30,613,30,10,9,0,0
p30,619,30,10,10,0,0
p30,660,30,10,10,0,0
p30,720,30,10,10,0,0
p30,780,30,10,10,0,0
p30,840,30,10,10,0,0
p30,900,30,10,10,0,0
p30,960,30,10,10,0,0
p30,1020,30,10,10,0,0
p30,1080,30,10,10,0,0
p30,1140,30,10,10,0,0
p30,1200,30,10,10,0,0
p30,1201,10,0,10,20,0
p30,1202,10,0,9,20,4
p30,1203,10,0,6,20,4
p30,1204,10,0,3,20,4
p30,1205,10,0,1,20,4
p30,1206,10,0,0,20,4
p30,1207,10,0,0,10,0
p30,1210,9,0,0,11,0
p30,1211,8,0,0,12,0
p30,1212,2,0,0,18,4
p30,1217,1,0,0,19,6
p30,1222,0,0,0,20,10
p30,1232,0,0,0,20,12
p30,1237,0,0,0,20,13
p30,1242,0,0,0,20,15
p30,1247,0,0,0,20,16
p30,1257,0,0,0,20,17
p30,1260,0,0,0,20,17
p30,1267,0,0,0,20,20
p30,1320,0,0,0,20,20
p30,1380,0,0,0,20,20
p30,1440,0,0,0,20,20
p30,1500,0,0,0,20,20
p30,1560,0,0,0,20,20
p30,1620,0,0,0,20,20
p30,1680,0,0,0,20,20
p30,1740,0,0,0,20,20
p30,1800,30,10,0,20,20
p30,1802,30,10,0,17,16
p30,1803,30,10,0,0,0
p30,1805,30,10,1,0,0
p30,1806,30,10,2,0,0
p30,1807,30,10,6,0,0
p30,1812,30,10,7,0,0
p30,1817,30,10,8,0,0
p30,1822,30,10,9,0,0
p30,1823,30,10,10,0,0
p30,1860,30,10,10,0,0
p30,1920,30,10,10,0,0
p30,1980,30,10,10,0,0
p30,2040,30,10,10,0,0
p30,2100,30,10,10,0,0
p30,2160,30,10,10,0,0
p30,2220,30,10,10,0,0
p30,2280,30,10,10,0,0
p30,2340,30,10,10,0,0
p30,2400,30,10,10,0,0
p30,2401,30,10,9,0,0
p30,2402,28,8,5,2,0
p30,2403,10,0,1,20,0
p30,2404,10,0,1,11,0
p30,2405,9,0,0,11,0
p30,2408,5,0,0,15,0
p30,2409,4,0,0,16,1
p30,2414,3,0,0,17,4
p30,2419,2,0,0,18,8
p30,2423,1,0,0,19,8
p30,2424,0,0,0,20,8
p30,2429,0,0,0,20,9
p30,2434,0,0,0,20,10
p30,2460,0,0,0,20,10
p30,2520,0,0,0,20,10
p30,2580,0,0,0,20,10
p30,2640,0,0,0,20,10
p30,2700,0,0,0,20,10
p30,2760,0,0,0,20,10
p30,2820,0,0,0,20,10
p30,2880,0,0,0,20,10
p30,2940,0,0,0,20,10
p30,3000,30,10,0,20,10
p30,3004,30,10,0,6,6
p30,3005,30,10,0,0,0
p30,3006,30,10,1,0,0
p30,3008,30,10,2,0,0
p30,3010,30,10,4,0,0
p30,3012,30,10,5,0,0
p30,3020,30,10,6,0,0
p30,3022,30,10,7,0,0
p30,3023,30,10,8,0,0
p30,3025,30,10,10,0,0
p30,3060,30,10,10,0,0
p30,3120,30,10,10,0,0
p30,3180,30,10,10,0,0
p30,3240,30,10,10,0,0
p30,3300,30,10,10,0,0
