id,t,dTot,dFed,rFed,oFed,sFed
p29,0,0,0,0,20,0
p29,6,0,0,0,20,1
p29,11,0,0,0,20,2
p29,16,0,0,0,20,3
p29,21,0,0,0,20,6
p29,26,0,0,0,20,7
p29,31,0,0,0,20,8
p29,36,0,0,0,20,9
p29,46,0,0,0,20,10
p29,60,0,0,0,20,10
p29,120,0,0,0,20,10
p29,180,0,0,0,20,10
p29,240,0,0,0,20,10
p29,300,0,0,0,20,10
p29,360,0,0,0,20,10
p29,420,0,0,0,20,10
p29,480,0,0,0,20,10
p29,540,0,0,0,20,10
p29,600,0,0,0,20,10
p29,601,30,10,0,9,9
p29,602,30,10,0,5,5
p29,603,30,10,0,0,0
p29,606,30,10,2,0,0
p29,607,30,10,5,0,0
p29,608,30,10,7,0,0
p29,612,30,10,8,0,0
p29,613,30,10,9,0,0
p29,628,30,10,10,0,0
p29,660,30,10,10,0,0
p29,720,30,10,10,0,0
p29,780,30,10,10,0,0
p29,840,30,10,10,0,0
p29,900,30,10,10,0,0
p29,960,30,10,10,0,0
p29,1020,30,10,10,0,0
p29,1080,30,10,10,0,0
p29,1140,30,10,10,0,0
p29,1200,30,10,10,0,0
p29,1201,19,0,8,11,0
p29,1202,16,0,7,14,0
p29,1203,10,0,5,20,0
p29,1204,10,0,1,15,5
p29,1205,10,0,0,15,5
p29,1208,8,0,0,17,5
p29,1209,6,0,0,14,10
p29,1212,4,0,0,16,10
p29,1213,2,0,0,18,10
p29,1214,2,0,0,18,12
p29,1218,1,0,0,19,12
p29,1219,1,0,0,19,15
p29,1232,0,0,0,20,15
p29,1260,0,0,0,20,15
p29,1320,0,0,0,20,15
p29,1380,0,0,0,20,15
p29,1440,0,0,0,20,15
p29,1500,0,0,0,20,15
p29,1560,0,0,0,20,15
p29,1620,0,0,0,20,15
p29,1680,0,0,0,20,15
p29,1740,0,0,0,20,15
p29,1800,30,10,0,20,15
p29,1804,30,10,0,15,10
p29,1805,30,10,0,5,4
p29,1806,30,10,0,0,0
p29,1810,30,10,1,0,0
p29,1811,30,10,4,0,0
p29,1815,30,10,5,0,0
p29,1816,30,10,8,0,0
p29,1825,30,10,9,0,0
p29,1830,30,10,10,0,0
p29,1860,30,10,10,0,0
p29,1920,30,10,10,0,0
p29,1980,30,10,10,0,0
p29,2040,30,10,10,0,0
p29,2100,30,10,10,0,0
p29,2160,30,10,10,0,0
p29,2220,30,10,10,0,0
p29,2280,30,10,10,0,0
p29,2340,30,10,10,0,0
p29,2400,30,10,7,0,0
p29,2401,30,10,2,0,0
p29,2402,30,10,1,0,0
p29,2404,25,5,2,5,0
p29,2405,15,0,2,15,0
p29,2406,10,0,2,20,0
p29,2407,10,0,3,15,11
p29,2408,10,0,3,15,8
p29,2412,10,0,3,13,11
p29,2415,9,0,2,13,11
p29,2416,8,0,2,14,11
p29,2417,7,0,2,15,11
p29,2422,3,0,1,18,10
p29,2427,2,0,1,19,10
p29,2429,1,0,0,19,10
p29,2432,0,0,0,20,10
p29,2460,0,0,0,20,10
p29,2520,0,0,0,20,10
p29,2580,0,0,0,20,10
p29,2640,0,0,0,20,10
p29,2700,0,0,0,20,10
p29,2760,0,0,0,20,10
p29,2820,0,0,0,20,10
p29,2880,0,0,0,20,10
p29,2940,0,0,0,20,10
p29,3000,30,10,0,20,10
p29,3002,30,10,0,19,10
p29,3003,30,10,0,3,3
p29,3004,30,10,0,0,0
p29,3006,30,10,1,0,0
p29,3008,30,10,3,0,0
p29,3009,30,10,5,0,0
p29,3010,30,10,6,0,0
p29,3015,30,10,8,0,0
p29,3016,30,10,10,0,0
p29,3060,30,10,10,0,0
p29,3120,30,10,10,0,0
p29,3180,30,10,10,0,0
p29,3240,30,10,10,0,0
p29,3300,30,10,10,0,0
p29,3360,30,10,10,0,0
p29,3420,30,10,10,0,0
p29,3480,30,10,10,0,0
p29,3540,30,10,10,0,0
p29,3600,30,10,10,0,0
p29,3601,30,10,6,0,0
p29,3602,29,9,6,1,0
p29,3603,13,0,5,17,0
p29,3604,10,0,2,20,0
p29,3605,10,0,0,12,1
p29,3610,5,0,0,15,3
p29,3615,4,0,0,16,4
p29,3620,0,0,0,20,7
p29,3630,0,0,0,20,8
p29,3660,0,0,0,20,8
p29,3720,0,0,0,20,8
p29,3780,0,0,0,20,8
p29,3840,0,0,0,20,8
p29,3900,0,0,0,20,8
p29,3960,0,0,0,20,8
