id,t,dTot,dFed,rFed,oFed,sFed
p16,0,0,0,0,20,0
p16,1,40,20,0,18,0
p16,6,40,20,0,1,0
p16,7,40,20,1,0,0
p16,11,40,20,7,0,0
p16,15,40,20,8,0,0
p16,16,40,20,10,0,0
p16,21,40,20,14,0,0
p16,26,40,20,16,0,0
p16,31,40,20,17,0,0
p16,60,40,20,18,0,0
p16,75,40,20,19,0,0
p16,90,40,20,20,0,0
p16,601,38,18,16,2,0
p16,602,38,18,11,2,0
p16,603,38,18,5,2,0
p16,604,38,18,2,2,0
p16,605,38,18,1,0,0
p16,606,32,12,1,4,0
p16,607,20,0,0,10,1
p16,609,19,0,0,11,1
p16,611,19,0,0,11,1
p16,612,19,0,0,4,4
p16,613,18,0,0,5,4
p16,614,16,0,0,7,4
p16,618,16,0,0,4,4
p16,619,15,0,0,5,4
p16,620,13,0,0,7,4
p16,621,12,0,0,8,4
p16,623,12,0,0,8,8
p16,625,9,0,0,11,8
p16,628,9,0,0,11,11
p16,629,8,0,0,12,11
p16,630,7,0,0,13,11
p16,631,6,0,0,14,11
p16,633,6,0,0,14,14
p16,636,4,0,0,16,14
p16,638,4,0,0,16,16
p16,643,4,0,0,16,16
p16,647,3,0,0,17,16
p16,648,3,0,0,17,17
p16,658,3,0,0,17,17
p16,666,2,0,0,18,17
p16,668,2,0,0,18,18
p16,673,2,0,0,18,18
p16,678,2,0,0,18,18
p16,680,1,0,0,19,18
p16,683,1,0,0,19,19
p16,688,1,0,0,19,19
p16,696,0,0,0,20,19
p16,698,0,0,0,20,20
p16,703,0,0,0,20,20
p16,983,0,0,0,20,20
p16,1200,40,20,0,20,20
p16,1204,40,20,0,12,11
p16,1205,40,20,0,7,6
p16,1206,40,20,0,0,0
p16,1208,40,20,0,0,0
p16,1209,40,20,0,0,0
p16,1210,40,20,0,0,0
p16,1213,40,20,0,0,0
p16,1215,40,20,0,0,0
p16,1217,40,20,0,0,0
p16,1219,40,20,1,0,0
p16,1222,40,20,2,0,0
p16,1224,40,20,2,0,0
p16,1226,40,20,4,0,0
p16,1228,40,20,5,0,0
p16,1231,40,20,4,0,0
p16,1232,40,20,5,0,0
p16,1233,40,20,4,0,0
p16,1238,40,20,8,0,0
p16,1241,40,20,9,0,0
p16,1242,40,20,11,0,0
p16,1247,40,20,10,0,0
p16,1248,40,20,11,0,0
p16,1253,40,20,11,0,0
p16,1254,40,20,13,0,0
p16,1259,40,20,14,0,0
p16,1264,40,20,15,0,0
p16,1267,40,20,16,0,0
p16,1268,40,20,14,0,0
p16,1269,40,20,15,0,0
p16,1271,40,20,16,0,0
p16,1273,40,20,17,0,0
p16,1302,40,20,18,0,0
p16,1313,40,20,19,0,0
p16,1323,40,20,20,0,0
p16,1429,40,20,19,0,0
p16,1452,40,20,20,0,0
p16,1493,40,20,19,0,0
p16,1518,40,20,20,0,0
p16,1801,40,20,18,0,0
p16,1802,40,20,16,0,0
p16,1803,40,20,13,0,0
p16,1804,32,12,10,8,0
p16,1805,27,7,5,13,0
p16,1806,21,1,3,19,0
p16,1807,20,0,3,9,9
p16,1808,20,0,0,4,4
p16,1809,20,0,0,4,3
p16,1813,20,0,0,0,0
p16,1824,19,0,0,1,0
p16,1829,19,0,0,1,1
p16,1830,19,0,0,1,1
p16,1831,18,0,0,2,1
p16,1835,18,0,0,2,2
p16,1839,17,0,0,3,2
p16,1840,16,0,0,4,4
p16,1845,15,0,0,5,4
p16,1846,15,0,0,5,5
p16,1850,14,0,0,6,5
p16,1851,14,0,0,6,6
p16,1853,13,0,0,7,6
p16,1855,11,0,0,9,6
p16,1856,10,0,0,10,10
p16,1860,9,0,0,11,10
p16,1861,9,0,0,11,11
p16,1865,7,0,0,13,11
p16,1866,7,0,0,13,13
p16,1867,6,0,0,14,13
p16,1870,5,0,0,15,13
p16,1871,4,0,0,16,16
p16,1876,3,0,0,17,17
p16,1878,2,0,0,18,17
p16,1881,2,0,0,18,18
p16,1887,1,0,0,19,18
p16,1896,1,0,0,19,19
p16,1901,1,0,0,19,19
p16,1920,0,0,0,20,19
p16,1921,0,0,0,20,20
p16,2016,0,0,0,20,20
p16,2031,0,0,0,20,20
p16,2256,0,0,0,20,20
p16,2371,0,0,0,20,20
p16,2400,40,20,0,20,20
p16,2401,40,20,0,17,16
p16,2402,40,20,0,0,0
p16,2403,40,20,1,0,0
p16,2404,40,20,2,0,0
p16,2405,40,20,2,0,0
p16,2407,40,20,5,0,0
p16,2409,40,20,4,0,0
p16,2410,40,20,5,0,0
p16,2413,40,20,2,0,0
p16,2415,40,20,0,0,0
p16,2433,40,20,1,0,0
p16,2436,40,20,1,0,0
p16,2437,40,20,3,0,0
p16,2439,40,20,4,0,0
p16,2440,40,20,4,0,0
