id,t,dTot,dFed,rFed,oFed,sFed
p22,0,0,0,0,20,0
p22,6,0,0,0,20,1
p22,11,0,0,0,20,11
p22,16,0,0,0,20,18
p22,21,0,0,0,20,20
p22,606,7,0,0,20,20
p22,607,27,7,0,20,20
p22,608,30,10,0,20,20
p22,613,30,10,0,20,19
p22,617,30,10,0,19,19
p22,619,30,10,0,17,15
p22,620,30,10,0,16,16
p22,621,30,10,0,15,15
p22,622,30,10,0,11,10
p22,623,30,10,0,6,6
p22,624,30,10,0,0,0
p22,626,30,10,1,0,0
p22,631,30,10,2,0,0
p22,632,30,10,3,0,0
p22,639,30,10,4,0,0
p22,644,30,10,6,0,0
p22,648,30,10,7,0,0
p22,725,30,10,8,0,0
p22,733,30,10,9,0,0
p22,798,30,10,10,0,0
p22,1214,30,10,8,0,0
p22,1215,30,10,6,0,0
p22,1217,29,9,6,1,0
p22,1218,29,9,4,1,1
p22,1219,28,8,4,2,0
p22,1220,27,7,4,3,2
p22,1221,25,5,4,3,3
p22,1222,22,2,4,6,3
p22,1223,18,0,4,10,3
p22,1224,11,0,4,17,3
p22,1225,10,0,4,18,3
p22,1227,10,0,4,18,7
p22,1228,10,0,4,18,15
p22,1229,10,0,4,18,18
p22,1231,10,0,4,17,15
p22,1232,10,0,4,16,16
p22,1233,10,0,4,15,15
p22,1234,10,0,4,14,14
p22,1239,8,0,2,14,14
p22,1241,8,0,0,14,14
p22,1245,8,0,0,12,12
p22,1247,7,0,0,13,12
p22,1248,4,0,0,16,12
p22,1250,4,0,0,16,16
p22,1255,4,0,0,16,16
p22,1264,4,0,0,16,6
p22,1265,3,0,0,17,9
p22,1270,3,0,0,17,10
p22,1275,3,0,0,17,12
p22,1280,3,0,0,17,13
p22,1285,3,0,0,17,15
p22,1290,3,0,0,17,16
p22,1295,3,0,0,17,17
p22,1335,3,0,0,17,17
p22,1339,2,0,0,18,17
p22,1340,1,0,0,19,19
p22,1405,0,0,0,20,20
p22,1410,0,0,0,20,20
p22,1800,30,10,0,20,20
p22,1805,30,10,0,19,19
p22,1806,30,10,0,16,15
p22,1807,30,10,0,12,11
p22,1808,30,10,0,8,7
p22,1809,30,10,0,3,3
p22,1810,30,10,0,1,1
p22,1832,30,10,1,0,0
p22,1863,30,10,2,0,0
p22,1868,30,10,3,0,0
p22,1893,30,10,4,0,0
p22,1903,30,10,6,0,0
p22,1909,30,10,7,0,0
p22,1925,30,10,8,0,0
