id,t,dTot,dFed,rFed,oFed,sFed
p5,0,0,0,0,20,0
p5,1,2,0,0,20,0
p5,2,4,0,0,19,0
p5,3,8,0,0,18,0
p5,4,30,10,0,18,0
p5,8,30,10,0,0,0
p5,11,30,10,3,0,0
p5,12,30,10,4,0,0
p5,16,30,10,5,0,0
p5,17,30,10,6,0,0
p5,60,30,10,6,0,0
p5,120,30,10,6,0,0
p5,180,30,10,6,0,0
p5,240,30,10,6,0,0
p5,300,30,10,6,0,0
p5,360,30,10,6,0,0
p5,420,30,10,6,0,0
p5,480,30,10,6,0,0
p5,540,30,10,6,0,0
p5,600,30,10,6,0,0
p5,601,30,10,7,0,0
p5,602,29,9,7,1,1
p5,603,28,8,7,2,2
p5,608,27,7,7,3,2
p5,609,22,2,7,8,7
p5,610,20,0,8,10,10
p5,611,17,0,8,13,12
p5,612,13,0,8,17,17
p5,613,10,0,8,20,20
p5,615,10,0,8,19,19
p5,616,9,0,7,19,19
p5,617,8,0,7,19,19
p5,618,6,0,5,19,19
p5,619,5,0,4,19,18
p5,620,4,0,3,19,18
p5,622,4,0,3,19,19
p5,633,4,0,3,19,19
p5,660,4,0,3,19,19
p5,662,4,0,3,19,19
p5,704,4,0,3,19,19
p5,720,4,0,3,19,19
p5,746,4,0,3,19,18
p5,749,4,0,3,19,19
p5,780,4,0,3,19,19
p5,797,4,0,3,19,19
p5,821,4,0,2,19,19
p5,834,4,0,2,18,18
p5,840,4,0,2,18,18
p5,900,4,0,2,18,18
p5,960,4,0,2,18,18
p5,1020,4,0,2,18,18
p5,1080,4,0,2,18,18
p5,1140,4,0,2,18,18
p5,1200,4,0,2,18,18
p5,1201,27,7,2,18,18
p5,1202,33,13,1,18,18
p5,1203,33,13,1,17,17
p5,1204,33,13,1,16,16
p5,1205,33,13,1,15,15
p5,1206,33,13,1,14,14
p5,1209,33,13,1,13,13
p5,1210,33,13,1,12,12
p5,1211,33,13,1,9,9
p5,1212,33,13,0,9,9
p5,1213,33,13,0,7,7
p5,1215,32,12,0,8,8
p5,1218,32,12,0,7,6
p5,1219,32,12,0,6,6
p5,1220,32,12,0,5,5
p5,1221,32,12,0,4,4
p5,1222,32,12,0,4,3
p5,1223,32,12,0,3,3
p5,1225,32,12,0,3,4
p5,1227,31,11,0,4,4
p5,1232,31,11,0,4,3
p5,1235,31,11,0,3,3
p5,1238,31,11,0,2,2
p5,1239,31,11,0,0,0
p5,1249,31,11,1,0,0
p5,1260,31,11,1,0,0
p5,1266,31,11,3,0,0
p5,1270,31,11,4,0,0
p5,1271,30,10,3,0,0
p5,1276,30,10,4,0,0
p5,1277,30,10,5,0,0
p5,1295,30,10,6,0,0
p5,1320,30,10,6,0,0
p5,1339,30,10,8,0,0
p5,1353,30,10,9,0,0
p5,1362,30,10,8,0,0
p5,1380,30,10,8,0,0
p5,1389,30,10,9,0,0
p5,1404,30,10,10,0,0
