id,t,dTot,dFed,rFed,oFed,sFed
p16,0,0,0,0,20,0
p16,1,40,20,0,18,0
p16,6,40,20,0,14,0
p16,7,40,20,0,1,1
p16,8,40,20,1,0,0
p16,10,40,20,4,0,0
p16,11,40,20,7,0,0
p16,12,40,20,9,0,0
p16,16,40,20,10,0,0
p16,25,40,20,11,0,0
p16,26,40,20,12,0,0
p16,27,40,20,13,0,0
p16,28,40,20,14,0,0
p16,30,40,20,16,0,0
p16,31,40,20,17,0,0
p16,32,40,20,18,0,0
p16,51,40,20,19,0,0
p16,143,40,20,20,0,0
p16,601,38,18,16,2,0
p16,602,38,18,10,2,0
p16,604,38,18,5,2,0
p16,605,38,18,4,2,0
p16,606,36,16,2,2,0
p16,607,28,8,0,5,3
p16,608,20,0,0,7,6
p16,609,20,0,0,3,3
p16,610,19,0,0,4,3
p16,614,19,0,0,2,2
p16,615,18,0,0,2,1
p16,616,14,0,0,6,1
p16,618,13,0,0,7,1
p16,620,11,0,0,9,8
p16,622,10,0,0,10,8
p16,625,10,0,0,10,10
p16,629,9,0,0,11,10
p16,630,7,0,0,13,12
p16,631,6,0,0,14,12
p16,635,6,0,0,14,14
p16,636,4,0,0,16,14
p16,637,3,0,0,17,14
p16,638,2,0,0,18,14
p16,640,2,0,0,18,18
p16,645,2,0,0,18,18
p16,650,2,0,0,18,18
p16,655,2,0,0,18,18
p16,656,1,0,0,19,18
p16,661,1,0,0,19,19
p16,666,1,0,0,19,19
p16,671,1,0,0,19,19
p16,676,1,0,0,19,19
p16,686,1,0,0,19,19
p16,691,1,0,0,19,19
p16,696,1,0,0,19,19
p16,701,1,0,0,19,19
p16,711,1,0,0,19,19
p16,716,1,0,0,19,19
p16,736,1,0,0,19,19
p16,741,1,0,0,19,19
p16,751,0,0,0,20,20
p16,766,0,0,0,20,20
p16,1006,0,0,0,20,20
p16,1036,0,0,0,20,20
p16,1146,0,0,0,20,20
p16,1201,40,20,0,14,13
p16,1202,40,20,0,7,6
p16,1203,40,20,0,1,0
p16,1204,40,20,0,0,0
p16,1210,40,20,0,0,0
p16,1211,40,20,0,0,0
p16,1212,40,20,0,0,0
p16,1222,40,20,1,0,0
p16,1225,39,19,1,0,0
p16,1227,39,19,2,0,0
p16,1229,39,19,3,0,0
p16,1231,39,19,4,0,0
p16,1232,39,19,4,0,0
p16,1235,39,19,5,0,0
p16,1240,39,19,6,0,0
p16,1242,39,19,7,0,0
p16,1250,39,19,8,0,0
p16,1261,39,19,10,0,0
p16,1263,39,19,11,0,0
p16,1266,39,19,12,0,0
p16,1279,39,19,12,0,0
p16,1291,39,19,13,0,0
p16,1294,39,19,14,0,0
p16,1299,39,19,13,0,0
p16,1305,39,19,12,0,0
p16,1306,39,19,13,0,0
p16,1307,39,19,12,0,0
p16,1309,39,19,13,0,0
p16,1310,39,19,14,0,0
p16,1312,39,19,13,0,0
p16,1321,39,19,14,0,0
p16,1334,39,19,15,0,0
p16,1336,39,19,14,0,0
p16,1339,39,19,13,0,0
p16,1343,39,19,14,0,0
p16,1346,39,19,15,0,0
p16,1351,39,19,14,0,0
p16,1362,39,19,15,0,0
p16,1373,39,19,16,0,0
p16,1375,39,19,17,0,0
p16,1385,39,19,18,0,0
p16,1416,39,19,19,0,0
p16,1801,33,13,17,6,0
p16,1802,26,6,9,13,0
p16,1803,21,1,9,18,0
p16,1804,19,0,8,20,0
p16,1805,19,0,5,9,6
p16,1806,19,0,3,9,6
p16,1808,19,0,0,9,6
p16,1810,19,0,0,1,1
p16,1832,18,0,0,2,1
p16,1834,17,0,0,3,1
p16,1836,17,0,0,3,3
p16,1837,17,0,0,3,3
p16,1848,16,0,0,4,4
p16,1852,15,0,0,5,4
p16,1853,15,0,0,5,5
p16,1854,15,0,0,5,5
p16,1864,12,0,0,8,5
p16,1866,12,0,0,8,8
p16,1867,12,0,0,8,8
p16,1869,11,0,0,9,8
p16,1872,11,0,0,9,9
p16,1878,11,0,0,9,9
p16,1884,10,0,0,10,9
p16,1888,10,0,0,10,10
p16,1893,9,0,0,11,11
p16,1894,8,0,0,12,11
p16,1898,8,0,0,12,12
p16,1904,7,0,0,13,12
p16,1905,6,0,0,14,12
p16,1908,6,0,0,14,14
p16,1912,5,0,0,15,14
p16,1913,4,0,0,16,16
p16,1918,3,0,0,17,16
p16,1925,2,0,0,18,16
p16,1933,2,0,0,18,17
p16,1938,2,0,0,18,18
p16,1945,1,0,0,19,18
p16,1968,1,0,0,19,19
p16,1983,1,0,0,19,19
p16,1989,0,0,0,20,19
p16,1993,0,0,0,20,20
p16,2008,0,0,0,20,20
p16,2073,0,0,0,20,20
p16,2148,0,0,0,20,20
p16,2223,0,0,0,20,20
p16,2388,0,0,0,20,20
