id,t,dTot,dFed,rFed,oFed,sFed
p25,0,0,0,0,20,0
p25,5,0,0,0,20,1
p25,10,0,0,0,20,15
p25,15,0,0,0,20,19
p25,20,0,0,0,20,20
p25,405,0,0,0,20,19
p25,410,0,0,0,20,5
p25,415,0,0,0,20,1
p25,420,0,0,0,20,0
p25,600,40,20,0,20,0
p25,601,40,20,0,0,0
p25,602,40,20,2,0,0
p25,603,40,20,2,0,0
p25,604,40,20,4,0,0
p25,605,40,20,8,0,0
p25,606,40,20,9,0,0
p25,607,40,20,10,0,0
p25,609,40,20,11,0,0
p25,610,40,20,14,0,0
p25,611,40,20,17,0,0
p25,612,40,20,17,0,0
p25,616,40,20,16,0,0
p25,620,40,20,14,0,0
p25,621,40,20,13,0,0
p25,622,40,20,12,0,0
p25,624,40,20,13,0,0
p25,625,40,20,14,0,0
p25,627,40,20,11,0,0
p25,630,40,20,13,0,0
p25,631,40,20,14,0,0
p25,632,40,20,15,0,0
p25,640,40,20,16,0,0
p25,641,40,20,17,0,0
p25,646,40,20,18,0,0
p25,647,40,20,17,0,0
p25,650,40,20,16,0,0
p25,654,40,20,17,0,0
p25,655,40,20,16,0,0
p25,656,40,20,17,0,0
p25,657,40,20,17,0,0
p25,661,40,20,15,0,0
p25,662,40,20,14,0,0
p25,663,40,20,16,0,0
p25,664,40,20,18,0,0
p25,665,40,20,19,0,0
p25,671,40,20,19,0,0
p25,672,40,20,18,0,0
p25,676,40,20,19,0,0
p25,690,40,20,18,0,0
p25,691,40,20,17,0,0
p25,695,40,20,18,0,0
p25,696,40,20,19,0,0
p25,701,40,20,20,0,0
p25,716,40,20,18,0,0
p25,721,40,20,19,0,0
p25,726,40,20,19,0,0
p25,729,40,20,18,0,0
p25,731,40,20,19,0,0
p25,739,40,20,20,0,0
p25,871,40,20,19,0,0
p25,886,40,20,19,0,0
p25,890,40,20,20,0,0
p25,891,40,20,19,0,0
p25,895,40,20,20,0,0
p25,916,40,20,19,0,0
p25,922,40,20,20,0,0
p25,926,40,20,19,0,0
p25,931,40,20,18,0,0
p25,943,40,20,19,0,0
p25,947,40,20,20,0,0
p25,1001,20,0,20,20,0
p25,1004,19,0,19,20,0
p25,1005,18,0,18,20,0
p25,1008,17,0,17,20,0
p25,1009,16,0,16,20,0
p25,1013,15,0,15,20,0
p25,1014,14,0,14,20,0
p25,1015,12,0,12,20,0
p25,1019,11,0,11,20,0
p25,1020,9,0,9,20,0
p25,1022,8,0,8,20,0
p25,1030,6,0,6,20,0
p25,1040,5,0,5,20,0
p25,1043,4,0,4,20,0
p25,1048,3,0,3,20,0
p25,1055,2,0,2,20,0
p25,1061,1,0,1,20,0
p25,1066,0,0,0,20,0
p25,1207,0,0,0,20,5
p25,1212,0,0,0,20,10
p25,1217,0,0,0,20,12
p25,1222,0,0,0,20,14
p25,1227,0,0,0,20,16
p25,1232,0,0,0,20,18
p25,1237,0,0,0,20,19
p25,1242,0,0,0,20,20
p25,1247,0,0,0,20,20
p25,1252,0,0,0,20,20
p25,1607,0,0,0,20,16
p25,1612,0,0,0,20,11
p25,1617,0,0,0,20,9
p25,1622,0,0,0,20,7
p25,1627,0,0,0,20,5
p25,1632,0,0,0,20,4
p25,1642,0,0,0,20,2
p25,1647,0,0,0,20,0
p25,1801,40,20,0,20,0
p25,1802,40,20,0,0,0
p25,1803,40,20,3,0,0
p25,1804,40,20,4,0,0
p25,1805,40,20,9,0,0
p25,1806,40,20,11,0,0
p25,1807,40,20,13,0,0
p25,1809,40,20,14,0,0
p25,1812,40,20,17,0,0
p25,1813,40,20,16,0,0
p25,1815,40,20,17,0,0
