id,t,dTot,dFed,rFed,oFed,sFed
p31,0,0,0,0,20,0
p31,6,0,0,0,20,1
p31,11,0,0,0,20,10
p31,16,0,0,0,20,12
p31,21,0,0,0,20,16
p31,26,0,0,0,20,19
p31,31,0,0,0,20,20
p31,407,0,0,0,20,19
p31,411,0,0,0,20,11
p31,412,0,0,0,20,10
p31,416,0,0,0,20,8
p31,421,0,0,0,20,4
p31,426,0,0,0,20,1
p31,431,0,0,0,20,0
p31,600,40,20,0,20,0
p31,602,40,20,0,0,0
p31,603,40,20,2,0,0
p31,604,40,20,6,0,0
p31,605,40,20,9,0,0
p31,606,40,20,16,0,0
p31,609,40,20,14,0,0
p31,610,40,20,11,0,0
p31,611,40,20,8,0,0
p31,613,40,20,9,0,0
p31,615,40,20,10,0,0
p31,616,40,20,12,0,0
p31,621,40,20,13,0,0
p31,625,40,20,12,0,0
p31,626,40,20,9,0,0
p31,628,40,20,10,0,0
p31,629,40,20,11,0,0
p31,630,40,20,12,0,0
p31,631,40,20,13,0,0
p31,632,40,20,14,0,0
p31,634,40,20,15,0,0
p31,636,40,20,14,0,0
p31,639,40,20,15,0,0
p31,640,40,20,16,0,0
p31,641,40,20,15,0,0
p31,645,40,20,16,0,0
p31,646,40,20,15,0,0
p31,649,40,20,17,0,0
p31,651,40,20,18,0,0
p31,652,40,20,17,0,0
p31,655,40,20,16,0,0
p31,656,40,20,15,0,0
p31,658,40,20,16,0,0
p31,664,40,20,15,0,0
p31,670,40,20,13,0,0
p31,671,40,20,14,0,0
p31,679,40,20,15,0,0
p31,684,40,20,16,0,0
p31,685,40,20,17,0,0
p31,686,40,20,16,0,0
p31,688,40,20,17,0,0
p31,689,40,20,18,0,0
p31,690,40,20,20,0,0
p31,695,40,20,19,0,0
p31,709,40,20,18,0,0
p31,716,40,20,20,0,0
p31,739,40,20,17,0,0
p31,751,40,20,17,0,0
p31,754,40,20,18,0,0
p31,757,40,20,19,0,0
p31,772,40,20,20,0,0
p31,811,40,20,19,0,0
p31,821,40,20,18,0,0
p31,825,40,20,19,0,0
p31,828,40,20,20,0,0
p31,837,40,20,19,0,0
p31,842,40,20,18,0,0
p31,858,40,20,19,0,0
p31,871,40,20,20,0,0
p31,892,40,20,19,0,0
p31,894,40,20,19,0,0
p31,905,40,20,18,0,0
p31,908,40,20,19,0,0
p31,919,40,20,20,0,0
p31,925,40,20,19,0,0
p31,931,40,20,20,0,0
p31,969,40,20,19,0,0
p31,980,40,20,18,0,0
p31,987,40,20,19,0,0
p31,989,40,20,20,0,0
p31,1002,20,0,20,20,0
p31,1009,19,0,19,20,0
p31,1020,17,0,17,20,0
p31,1025,15,0,15,20,0
p31,1026,14,0,14,20,0
p31,1032,12,0,12,20,0
p31,1039,11,0,11,20,0
p31,1041,10,0,10,20,0
p31,1042,9,0,9,20,0
p31,1043,8,0,8,20,0
p31,1044,5,0,5,20,0
p31,1052,4,0,4,20,0
p31,1058,3,0,3,20,0
p31,1067,2,0,2,20,0
p31,1076,1,0,1,20,0
p31,1080,0,0,0,20,0
p31,1204,0,0,0,20,3
p31,1209,0,0,0,20,6
p31,1214,0,0,0,20,9
p31,1219,0,0,0,20,10
p31,1224,0,0,0,20,12
p31,1234,0,0,0,20,13
p31,1239,0,0,0,20,14
p31,1244,0,0,0,20,15
p31,1259,0,0,0,20,16
p31,1269,0,0,0,20,17
p31,1284,0,0,0,20,20
p31,1324,0,0,0,20,20
p31,1339,0,0,0,20,20
p31,1369,0,0,0,20,20
p31,1429,0,0,0,20,20
p31,1464,0,0,0,20,20
p31,1529,0,0,0,20,20
p31,1604,0,0,0,20,17
p31,1609,0,0,0,20,14
p31,1614,0,0,0,20,11
p31,1619,0,0,0,20,10
p31,1624,0,0,0,20,8
p31,1628,0,0,0,20,7
p31,1634,0,0,0,20,6
p31,1639,0,0,0,20,5
p31,1643,0,0,0,20,4
p31,1644,0,0,0,20,2
p31,1674,0,0,0,20,1
p31,1709,0,0,0,20,0
p31,1800,40,20,0,20,0
p31,1804,40,20,0,0,0
p31,1805,40,20,4,0,0
p31,1806,40,20,7,0,0
p31,1807,40,20,8,0,0
p31,1808,40,20,10,0,0
p31,1809,40,20,11,0,0
p31,1811,40,20,12,0,0
p31,1812,40,20,13,0,0
p31,1813,40,20,14,0,0
p31,1816,40,20,15,0,0
p31,1820,40,20,17,0,0
p31,1822,40,20,16,0,0
p31,1824,40,20,17,0,0
p31,1825,40,20,18,0,0
p31,1827,40,20,19,0,0
p31,1831,40,20,17,0,0
p31,1832,40,20,17,0,0
p31,1835,40,20,18,0,0
p31,1836,40,20,19,0,0
p31,1837,40,20,18,0,0
p31,1839,40,20,19,0,0
p31,1840,40,20,18,0,0
p31,1845,40,20,18,0,0
p31,1855,40,20,19,0,0
p31,1865,40,20,20,0,0
p31,1873,40,20,19,0,0
p31,1877,40,20,20,0,0
p31,1890,40,20,19,0,0
p31,1895,40,20,18,0,0
p31,1898,40,20,19,0,0
p31,1905,40,20,17,0,0
p31,1915,40,20,18,0,0
p31,1917,40,20,19,0,0
p31,1929,40,20,20,0,0
p31,1978,40,20,19,0,0
p31,1984,40,20,20,0,0
p31,1995,40,20,19,0,0
p31,1996,40,20,18,0,0
p31,2000,40,20,19,0,0
p31,2002,40,20,20,0,0
p31,2125,40,20,19,0,0
p31,2132,40,20,20,0,0
p31,2140,40,20,19,0,0
p31,2150,40,20,18,0,0
p31,2153,40,20,20,0,0
p31,2160,40,20,19,0,0
p31,2173,40,20,20,0,0
p31,2180,40,20,19,0,0
p31,2187,40,20,20,0,0
p31,2204,20,0,20,20,0
