id,t,dTot,dFed,rFed,oFed,sFed
p44,0,0,0,0,20,0
p44,1,5,0,0,18,0
p44,2,60,40,0,18,0
p44,7,60,40,0,6,0
p44,8,60,40,0,0,0
p44,11,60,40,2,0,0
p44,12,60,40,6,0,0
p44,13,60,40,12,0,0
p44,15,60,40,13,0,0
p44,16,60,40,14,0,0
p44,17,60,40,16,0,0
p44,23,60,40,17,0,0
p44,25,60,40,18,0,0
p44,26,60,40,19,0,0
p44,481,60,40,21,0,0
p44,486,60,40,22,0,0
p44,487,60,40,25,0,0
p44,490,60,40,26,0,0
p44,492,60,40,28,0,0
p44,493,60,40,29,0,0
p44,497,60,40,30,0,0
p44,499,60,40,31,0,0
p44,500,60,40,33,0,0
p44,502,60,40,35,0,0
p44,503,60,40,37,0,0
p44,504,60,40,38,0,0
p44,506,60,40,39,0,0
p44,510,60,40,40,0,0
p44,542,60,40,38,0,0
p44,543,60,40,36,0,0
p44,544,60,40,33,0,0
p44,554,60,40,34,0,0
p44,569,60,40,33,0,0
p44,602,60,40,31,0,0
p44,603,60,40,29,0,0
p44,604,60,40,28,0,0
p44,605,60,40,26,0,0
p44,606,60,40,16,0,0
p44,607,60,40,14,0,0
p44,608,60,40,8,0,0
p44,609,60,40,6,0,0
p44,612,60,40,5,0,0
p44,614,60,40,3,0,0
p44,616,60,40,2,0,0
p44,617,60,40,1,0,0
p44,630,60,40,1,0,0
p44,632,60,40,2,0,0
p44,636,60,40,4,0,0
p44,644,60,40,2,0,0
p44,648,60,40,1,0,0
p44,676,60,40,0,0,0
p44,969,60,40,2,0,0
p44,970,60,40,2,0,0
p44,972,60,40,1,0,0
p44,973,60,40,2,0,0
p44,974,60,40,3,0,0
p44,977,60,40,4,0,0
p44,979,60,40,5,0,0
p44,981,60,40,7,0,0
p44,982,60,40,9,0,0
p44,983,60,40,10,0,0
p44,986,60,40,12,0,0
p44,987,60,40,14,0,0
p44,990,60,40,16,0,0
p44,991,60,40,18,0,0
p44,996,60,40,17,0,0
p44,997,60,40,16,0,0
p44,999,60,40,17,0,0
p44,1009,60,40,16,0,0
p44,1012,60,40,17,0,0
p44,1019,60,40,16,0,0
p44,1024,60,40,15,0,0
p44,1025,60,40,14,0,0
p44,1030,60,40,13,0,0
p44,1032,60,40,12,0,0
p44,1036,60,40,11,0,0
p44,1049,60,40,10,0,0
p44,1057,60,40,9,0,0
p44,1082,60,40,10,0,0
p44,1084,60,40,11,0,0
p44,1085,60,40,13,0,0
p44,1086,60,40,16,0,0
p44,1087,60,40,17,0,0
p44,1088,60,40,19,0,0
p44,1089,60,40,20,0,0
p44,1090,60,40,22,0,0
p44,1092,60,40,25,0,0
p44,1093,60,40,26,0,0
p44,1096,60,40,27,0,0
p44,1097,60,40,26,0,0
p44,1134,60,40,27,0,0
p44,1140,60,40,28,0,0
p44,1141,60,40,27,0,0
p44,1143,60,40,28,0,0
p44,1145,60,40,29,0,0
p44,1158,60,40,30,0,0
p44,1160,60,40,31,0,0
p44,1161,60,40,32,0,0
p44,1165,60,40,33,0,0
p44,1169,60,40,34,0,0
p44,1176,60,40,35,0,0
p44,1201,60,40,33,0,0
p44,1202,60,40,26,0,0
p44,1203,60,40,25,0,0
p44,1205,60,40,24,0,0
p44,1206,60,40,16,0,0
p44,1207,60,40,10,0,0
p44,1208,60,40,9,0,0
p44,1209,60,40,6,0,0
p44,1210,60,40,5,0,0
p44,1211,60,40,3,0,0
p44,1213,60,40,2,0,0
p44,1215,60,40,1,0,0
p44,1220,60,40,0,0,0
p44,1232,60,40,0,0,0
p44,1236,60,40,0,0,0
p44,1250,60,40,0,0,0
p44,1259,60,40,1,0,0
p44,1260,60,40,0,0,0
p44,1261,60,40,1,0,0
p44,1262,60,40,0,0,0
p44,1278,60,40,0,0,0
p44,1295,60,40,0,0,0
p44,1319,60,40,2,0,0
p44,1320,60,40,0,0,0
p44,1324,60,40,0,0,0
p44,1329,60,40,1,0,0
p44,1330,60,40,0,0,0
p44,1345,60,40,3,0,0
p44,1346,60,40,0,0,0
p44,1385,60,40,1,0,0
p44,1390,60,40,0,0,0
p44,1397,60,40,0,0,0
p44,1407,60,40,2,0,0
p44,1419,60,40,1,0,0
p44,1420,60,40,3,0,0
p44,1421,60,40,1,0,0
p44,1436,60,40,0,0,0
p44,1437,60,40,1,0,0
p44,1443,60,40,1,0,0
p44,1681,60,40,2,0,0
p44,1683,60,40,6,0,0
p44,1684,60,40,9,0,0
p44,1685,60,40,11,0,0
p44,1686,60,40,12,0,0
p44,1687,60,40,14,0,0
p44,1688,60,40,15,0,0
p44,1689,60,40,16,0,0
p44,1690,60,40,18,0,0
p44,1691,60,40,19,0,0
p44,1693,60,40,21,0,0
p44,1694,60,40,23,0,0
p44,1695,60,40,24,0,0
p44,1696,60,40,26,0,0
p44,1697,60,40,27,0,0
p44,1698,60,40,29,0,0
p44,1700,60,40,31,0,0
p44,1701,60,40,33,0,0
p44,1702,60,40,34,0,0
p44,1706,60,40,35,0,0
p44,1707,60,40,36,0,0
p44,1708,60,40,34,0,0
p44,1711,60,40,35,0,0
p44,1734,60,40,36,0,0
p44,1762,60,40,37,0,0
p44,1773,60,40,38,0,0
p44,1802,60,40,36,0,0
p44,1803,60,40,29,0,0
p44,1804,60,40,26,0,0
p44,1805,60,40,23,0,0
p44,1806,60,40,20,0,0
p44,1807,60,40,17,0,0
p44,1808,60,40,15,0,0
p44,1809,60,40,12,0,0
p44,1810,60,40,9,0,0
p44,1812,60,40,8,0,0
p44,1813,60,40,4,0,0
p44,1814,60,40,3,0,0
p44,1816,60,40,0,0,0
p44,1939,60,40,0,0,0
p44,1940,60,40,1,0,0
p44,1946,60,40,0,0,0
p44,1985,60,40,1,0,0
p44,1986,60,40,0,0,0
p44,1992,60,40,0,0,0
p44,1998,60,40,0,0,0
p44,2020,60,40,0,0,0
p44,2166,60,40,0,0,0
p44,2297,60,40,1,0,0
p44,2303,60,40,2,0,0
p44,2315,60,40,3,0,0
p44,2320,60,40,5,0,0
p44,2335,60,40,6,0,0
p44,2346,60,40,7,0,0
p44,2365,60,40,8,0,0
p44,2370,60,40,9,0,0
p44,2386,60,40,10,0,0
p44,2396,60,40,11,0,0
p44,2402,60,40,3,0,0
p44,2403,60,40,0,0,0
p44,2886,60,40,1,0,0
p44,2889,60,40,2,0,0
p44,3003,60,40,1,0,0
p44,3012,60,40,0,0,0
p44,4086,60,40,1,0,0
p44,4088,60,40,2,0,0
p44,4159,60,40,3,0,0
p44,4199,60,40,4,0,0
p44,4204,60,40,1,0,0
p44,4221,60,40,0,0,0
p44,4688,60,40,10,0,0
p44,4811,60,40,11,0,0
p44,4838,60,40,8,0,0
p44,4848,60,40,5,0,0
p44,4853,60,40,4,0,0
p44,4858,60,40,3,0,0
p44,4868,60,40,2,0,0
p44,4879,60,40,1,0,0
p44,4894,60,40,0,0,0
p44,5292,60,40,1,0,0
p44,5322,60,40,2,0,0
p44,5403,60,40,0,0,0
p44,6487,60,40,1,0,0
p44,6602,60,40,0,0,0
p44,7085,60,40,8,0,0
p44,7086,60,40,12,0,0
p44,7221,60,40,11,0,0
p44,7226,60,40,8,0,0
p44,7231,60,40,6,0,0
p44,7256,60,40,4,0,0
p44,7306,60,40,2,0,0
p44,7396,60,40,1,0,0
p44,7456,60,40,0,0,0
p44,42002,58,38,0,1,1
p44,42004,0,0,0,0,0
