id,t,dTot,dFed,rFed,oFed,sFed
p26,0,0,0,0,20,0
p26,5,0,0,0,20,1
p26,10,0,0,0,20,17
p26,15,0,0,0,20,20
p26,414,0,0,0,20,20
p26,416,0,0,0,20,19
p26,417,0,0,0,20,20
p26,418,0,0,0,20,20
p26,420,0,0,0,20,21
p26,421,0,0,0,20,19
p26,422,0,0,0,20,20
p26,424,0,0,0,20,19
p26,425,0,0,0,20,16
p26,427,0,0,0,20,20
p26,522,0,0,0,20,16
p26,524,0,0,0,20,20
p26,601,40,20,0,20,20
p26,607,40,20,0,20,19
p26,608,40,20,0,12,11
p26,609,40,20,0,4,4
p26,610,40,20,0,3,2
p26,612,40,20,2,0,0
p26,614,40,20,4,0,0
p26,615,40,20,6,0,0
p26,620,40,20,5,0,0
p26,621,40,20,4,0,0
p26,622,40,20,5,0,0
p26,626,40,20,6,0,0
p26,629,40,20,7,0,0
p26,634,40,20,9,0,0
p26,636,40,20,8,0,0
p26,637,40,20,7,0,0
p26,640,40,20,8,0,0
p26,645,40,20,7,0,0
p26,648,40,20,6,0,0
p26,649,40,20,4,0,0
p26,651,40,20,5,0,0
p26,653,40,20,4,0,0
p26,656,40,20,5,0,0
p26,659,40,20,4,0,0
p26,670,40,20,5,0,0
p26,705,40,20,7,0,0
p26,716,40,20,6,0,0
p26,718,40,20,7,0,0
p26,726,40,20,6,0,0
p26,727,40,20,7,0,0
p26,742,40,20,8,0,0
p26,753,40,20,9,0,0
p26,755,40,20,10,0,0
p26,774,40,20,11,0,0
p26,777,40,20,12,0,0
p26,779,40,20,13,0,0
p26,781,40,20,14,0,0
p26,792,40,20,13,0,0
p26,796,40,20,12,0,0
p26,817,40,20,12,0,0
p26,825,40,20,13,0,0
p26,839,40,20,15,0,0
p26,841,40,20,16,0,0
p26,865,40,20,17,0,0
p26,881,40,20,18,0,0
p26,914,40,20,19,0,0
p26,937,40,20,18,0,0
p26,968,40,20,17,0,0
p26,1007,40,20,16,0,0
p26,1009,39,19,16,1,1
p26,1010,39,19,16,1,2
p26,1011,36,16,16,4,5
p26,1012,35,15,16,5,5
p26,1013,33,13,16,7,7
p26,1014,33,13,15,7,7
p26,1015,33,13,15,7,8
p26,1016,31,11,15,9,9
p26,1017,30,10,16,10,10
p26,1018,29,9,16,11,12
p26,1019,27,7,16,13,14
p26,1020,25,5,16,15,14
p26,1021,20,0,16,18,15
p26,1022,18,0,14,18,16
p26,1023,18,0,14,18,18
p26,1025,18,0,14,18,14
p26,1026,18,0,14,18,12
p26,1029,18,0,14,18,18
p26,1030,18,0,14,16,16
p26,1040,17,0,13,16,16
p26,1056,16,0,12,16,16
p26,1070,15,0,11,16,16
p26,1111,14,0,10,16,16
p26,1127,13,0,9,16,16
p26,1130,12,0,8,16,16
p26,1146,12,0,8,16,12
p26,1147,12,0,8,16,16
p26,1155,11,0,7,16,16
p26,1174,10,0,6,16,16
p26,1179,9,0,5,16,16
p26,1197,8,0,4,16,16
p26,1203,7,0,4,17,17
p26,1204,6,0,3,17,17
p26,1206,6,0,1,17,17
p26,1208,6,0,1,15,15
p26,1214,6,0,1,15,15
p26,1217,5,0,1,16,15
p26,1219,5,0,1,16,16
p26,1220,5,0,1,16,16
p26,1225,5,0,1,16,16
p26,1226,5,0,1,16,16
p26,1233,4,0,1,17,16
p26,1237,4,0,1,17,17
p26,1238,4,0,1,17,17
p26,1239,4,0,1,17,17
p26,1245,4,0,1,17,17
p26,1248,3,0,1,18,17
p26,1252,3,0,1,18,18
p26,1253,3,0,1,18,18
p26,1254,3,0,1,18,18
p26,1255,3,0,1,18,18
p26,1269,3,0,1,18,17
p26,1270,3,0,1,18,18
p26,1273,2,0,1,19,18
p26,1274,2,0,1,19,17
p26,1277,2,0,1,19,19
p26,1280,2,0,1,19,19
p26,1294,2,0,1,19,19
p26,1308,2,0,0,19,19
p26,1311,2,0,0,18,18
p26,1320,2,0,0,18,18
p26,1354,2,0,0,18,18
p26,1384,1,0,0,19,19
p26,1397,0,0,0,20,19
p26,1401,0,0,0,20,20
p26,1520,0,0,0,20,19
p26,1610,0,0,0,20,19
p26,1611,0,0,0,20,20
p26,1614,0,0,0,20,20
p26,1617,0,0,0,20,20
p26,1619,0,0,0,20,19
p26,1620,0,0,0,20,21
p26,1621,0,0,0,20,20
p26,1622,0,0,0,20,19
p26,1623,0,0,0,20,21
p26,1624,0,0,0,20,19
p26,1625,0,0,0,20,20
p26,1626,0,0,0,20,19
p26,1627,0,0,0,20,20
p26,1629,0,0,0,20,19
p26,1630,0,0,0,20,17
p26,1631,0,0,0,20,16
p26,1634,0,0,0,20,20
p26,1638,0,0,0,20,19
p26,1647,0,0,0,20,15
p26,1654,0,0,0,20,14
p26,1655,0,0,0,20,13
p26,1754,0,0,0,20,12
p26,1801,40,20,0,20,12
p26,1804,40,20,0,0,0
p26,1807,40,20,1,0,0
p26,1810,40,20,3,0,0
p26,1812,40,20,4,0,0
p26,1813,40,20,6,0,0
p26,1815,40,20,7,0,0
p26,1816,40,20,8,0,0
p26,1821,40,20,9,0,0
p26,1824,40,20,10,0,0
p26,1826,40,20,9,0,0
p26,1829,40,20,8,0,0
p26,1831,40,20,7,0,0
p26,1833,40,20,9,0,0
p26,1834,40,20,10,0,0
p26,1835,40,20,11,0,0
p26,1837,40,20,12,0,0
p26,1839,40,20,13,0,0
p26,1847,40,20,14,0,0
p26,1869,40,20,15,0,0
p26,1883,40,20,14,0,0
p26,1894,40,20,15,0,0
p26,1896,40,20,16,0,0
p26,1918,40,20,17,0,0
p26,1927,40,20,16,0,0
p26,1934,40,20,15,0,0
p26,1935,40,20,16,0,0
p26,1944,40,20,15,0,0
p26,1945,40,20,16,0,0
p26,1951,40,20,17,0,0
p26,1956,40,20,18,0,0
p26,1964,40,20,19,0,0
p26,1973,40,20,18,0,0
p26,1989,40,20,19,0,0
p26,2002,40,20,20,0,0
p26,2038,40,20,19,0,0
p26,2048,40,20,18,0,0
p26,2153,40,20,19,0,0
p26,2204,38,18,19,2,2
