id,t,dTot,dFed,rFed,oFed,sFed
p29,0,0,0,0,20,0
p29,5,0,0,0,20,1
p29,10,0,0,0,20,20
p29,606,3,0,0,20,20
p29,607,9,0,0,20,20
p29,608,11,0,0,20,20
p29,609,13,0,0,20,20
p29,611,15,0,0,20,20
p29,612,18,0,0,20,20
p29,613,20,0,0,20,20
p29,614,21,1,0,20,19
p29,615,24,4,0,20,19
p29,616,25,5,0,20,19
p29,617,25,5,0,20,18
p29,618,27,7,0,20,18
p29,619,29,9,0,19,18
p29,620,30,10,0,19,18
p29,621,30,10,0,13,13
p29,622,30,10,0,9,8
p29,623,30,10,0,6,6
p29,628,30,10,0,0,0
p29,630,30,10,1,0,0
p29,650,30,10,2,0,0
p29,687,30,10,4,0,0
p29,863,30,10,5,0,0
p29,901,30,10,6,0,0
p29,990,30,10,7,0,0
p29,995,30,10,9,0,0
p29,1041,30,10,10,0,0
p29,1211,30,10,9,0,0
p29,1212,30,10,7,0,0
p29,1216,30,10,5,0,0
p29,1217,30,10,4,0,0
p29,1219,29,9,4,1,0
p29,1220,27,7,4,3,0
p29,1221,26,6,4,4,0
p29,1222,23,3,4,7,0
p29,1223,21,1,4,9,0
p29,1225,19,0,4,11,2
p29,1226,19,0,4,11,4
p29,1227,17,0,4,13,6
p29,1228,17,0,4,13,7
p29,1229,17,0,4,13,6
p29,1230,17,0,4,13,5
p29,1231,17,0,4,13,7
p29,1232,16,0,4,14,7
p29,1233,16,0,4,14,7
p29,1234,16,0,4,14,6
p29,1235,16,0,4,14,6
p29,1236,14,0,4,16,5
p29,1237,14,0,4,16,6
p29,1238,14,0,4,16,6
p29,1239,14,0,4,15,6
p29,1240,13,0,4,16,6
p29,1241,12,0,2,16,8
p29,1242,10,0,0,15,12
p29,1243,10,0,0,14,11
p29,1248,10,0,0,10,7
p29,1255,9,0,0,11,7
p29,1257,8,0,0,12,7
p29,1259,8,0,0,12,9
p29,1272,8,0,0,12,4
p29,1275,8,0,0,12,9
p29,1299,7,0,0,13,9
p29,1304,7,0,0,13,10
p29,1310,6,0,0,14,10
p29,1311,6,0,0,14,11
p29,1490,5,0,0,15,12
p29,1531,4,0,0,16,12
p29,1532,4,0,0,16,13
p29,1547,4,0,0,16,13
p29,1597,3,0,0,17,13
p29,1599,3,0,0,17,14
p29,1619,2,0,0,18,14
p29,1621,2,0,0,18,15
p29,1628,1,0,0,19,16
p29,1652,0,0,0,20,17
p29,1802,21,1,0,20,17
p29,1803,30,10,0,20,17
p29,1808,30,10,0,19,16
p29,1810,30,10,0,18,15
p29,1811,30,10,0,18,14
p29,1812,30,10,0,16,13
p29,1813,30,10,0,15,12
p29,1815,30,10,0,14,11
p29,1816,30,10,0,12,8
p29,1817,30,10,0,11,8
p29,1819,30,10,0,11,7
p29,1820,30,10,0,10,7
p29,1821,30,10,0,9,5
p29,1822,30,10,0,8,5
p29,1823,30,10,0,7,4
p29,1824,30,10,0,5,2
p29,1825,30,10,0,4,1
p29,1826,30,10,0,3,0
p29,1838,30,10,1,3,0
p29,1839,30,10,2,3,0
p29,1841,30,10,3,3,0
p29,1842,30,10,3,3,0
p29,1849,30,10,4,3,0
p29,1861,30,10,3,3,0
p29,1867,30,10,4,3,0
p29,1911,30,10,5,3,0
p29,1924,30,10,6,3,0
p29,1990,30,10,7,3,0
p29,2130,30,10,8,3,0
p29,2144,30,10,9,3,0
p29,2409,29,9,9,4,1
p29,2410,28,8,9,5,1
p29,2411,28,8,10,5,2
p29,2413,27,7,10,6,3
p29,2414,25,5,11,7,4
p29,2415,25,5,11,7,4
p29,2417,24,4,11,8,5
p29,2418,21,1,9,11,8
p29,2419,21,1,10,11,8
p29,2420,20,0,10,12,9
p29,2421,19,0,10,13,10
p29,2422,18,0,10,14,10
p29,2423,18,0,9,14,11
p29,2424,16,0,9,16,13
p29,2425,14,0,9,18,13
p29,2426,13,0,8,19,13
p29,2429,13,0,7,19,14
p29,2430,13,0,7,18,15
p29,2431,13,0,7,18,14
p29,2432,13,0,4,14,11
p29,2433,13,0,3,14,11
p29,2434,13,0,1,14,11
p29,2438,13,0,1,8,5
p29,2443,13,0,0,8,5
p29,2444,12,0,0,9,5
p29,2447,11,0,0,10,5
p29,2448,11,0,0,9,6
p29,2455,10,0,0,10,6
p29,2459,10,0,0,10,7
p29,2472,10,0,0,10,7
p29,2476,9,0,0,11,7
p29,2477,9,0,0,11,8
p29,2478,9,0,0,11,8
p29,2492,9,0,0,11,8
p29,2493,9,0,0,11,8
p29,2524,8,0,0,12,8
p29,2528,8,0,0,12,9
p29,2531,7,0,0,13,9
p29,2535,7,0,0,13,10
p29,2586,7,0,0,13,10
p29,2604,6,0,0,14,11
p29,2650,6,0,0,14,11
p29,2681,6,0,0,14,11
p29,2682,6,0,0,14,11
p29,2700,6,0,0,14,11
p29,2714,5,0,0,15,12
p29,2751,4,0,0,16,12
p29,2754,4,0,0,16,13
p29,3003,19,0,0,16,13
p29,3004,33,13,0,16,13
p29,3005,34,14,0,16,13
p29,3014,33,13,0,17,14
p29,3015,32,12,0,18,15
p29,3017,31,11,0,19,16
p29,3023,30,10,0,20,16
p29,3028,30,10,0,19,15
p29,3029,30,10,0,18,15
p29,3030,30,10,0,18,14
p29,3031,30,10,0,17,13
p29,3032,30,10,0,16,13
p29,3034,30,10,0,16,12
p29,3036,30,10,0,15,11
p29,3037,30,10,0,13,9
p29,3038,30,10,0,12,8
p29,3039,30,10,0,7,4
p29,3040,30,10,0,4,1
p29,3041,30,10,0,3,0
p29,3052,30,10,2,3,0
p29,3057,30,10,3,3,0
p29,3067,30,10,4,3,0
p29,3085,30,10,5,3,0
p29,3087,30,10,6,3,0
p29,3114,30,10,7,3,0
p29,3128,30,10,8,3,0
p29,3130,30,10,9,3,0
p29,3154,30,10,10,3,0
p29,3206,30,10,12,3,0
p29,3607,30,10,10,3,0
p29,3608,30,10,6,3,0
p29,3609,30,10,5,3,0
p29,3610,30,10,4,3,0
p29,3611,30,10,5,3,0
p29,3616,30,10,4,3,0
p29,3617,30,10,3,3,0
p29,3628,29,9,2,4,0
p29,3629,29,9,2,4,1
p29,3630,28,8,2,3,0
p29,3631,27,7,2,4,1
p29,3632,26,6,2,4,1
p29,3633,26,6,2,3,0
p29,3634,26,6,1,3,0
p29,3636,25,5,1,4,0
p29,3637,23,3,1,6,0
p29,3638,22,2,1,7,0
p29,3639,18,0,1,11,1
p29,3640,15,0,1,12,5
p29,3641,14,0,1,12,8
p29,3642,13,0,1,13,10
p29,3643,13,0,1,13,9
p29,3644,13,0,1,12,9
p29,3649,13,0,1,12,5
p29,3650,13,0,1,9,5
p29,3651,13,0,1,8,5
p29,3657,13,0,1,8,5
p29,3662,13,0,1,8,5
p29,3669,13,0,1,8,5
p29,3675,12,0,1,9,6
p29,3682,11,0,1,10,6
p29,3683,11,0,1,10,7
p29,3689,10,0,1,11,7
p29,3690,10,0,1,11,8
p29,3691,10,0,1,11,8
p29,3697,9,0,1,12,9
p29,3702,8,0,1,13,9
p29,3703,8,0,1,13,10
p29,3707,7,0,1,14,10
p29,3711,7,0,1,14,11
p29,3713,7,0,1,14,11
p29,3720,7,0,1,14,11
p29,3736,6,0,1,15,11
p29,3741,6,0,1,15,12
p29,3744,5,0,1,16,12
p29,3748,5,0,1,16,13
p29,3753,4,0,1,17,13
p29,3758,4,0,1,17,14
p29,3781,4,0,1,17,14
p29,3787,3,0,1,18,15
p29,3798,3,0,1,18,15
p29,3849,2,0,1,19,16
p29,3850,1,0,1,20,17
p29,4202,4,0,1,20,17
p29,4203,30,10,1,20,17
p29,4204,31,11,1,19,15
p29,4205,31,11,1,16,13
p29,4206,31,11,1,15,12
p29,4207,31,11,1,14,11
p29,4211,31,11,1,13,10
p29,4213,30,10,0,12,8
p29,4214,30,10,0,11,7
p29,4215,30,10,0,10,6
p29,4216,30,10,0,9,6
p29,4217,30,10,0,8,5
p29,4219,30,10,0,7,4
p29,4220,30,10,0,6,3
p29,4221,30,10,0,5,2
p29,4222,30,10,0,5,1
p29,4223,30,10,0,4,1
p29,4224,30,10,0,3,0
p29,4233,30,10,2,3,0
p29,4241,30,10,3,3,0
p29,4242,30,10,4,3,0
p29,4245,30,10,6,3,0
p29,4263,30,10,7,3,0
p29,4268,30,10,6,3,0
p29,4269,30,10,7,3,0
p29,4273,30,10,8,3,0
p29,4274,30,10,9,3,0
p29,4275,30,10,8,3,0
p29,4288,30,10,9,3,0
p29,4300,30,10,10,3,0
p29,4324,30,10,11,3,0
p29,4327,30,10,10,3,0
p29,4336,30,10,11,3,0
p29,4392,30,10,10,3,0
p29,4404,30,10,11,3,0
p29,4421,30,10,12,3,0
p29,4439,30,10,13,3,0
p29,4804,29,9,12,4,0
p29,4805,26,6,12,7,0
p29,4806,25,5,12,8,0
p29,4807,24,4,12,9,0
p29,4809,24,4,12,9,5
p29,4810,24,4,10,9,6
p29,4811,24,4,9,9,6
p29,4812,23,3,9,10,7
p29,4813,22,2,8,11,7
p29,4814,21,1,8,12,9
p29,4815,20,0,8,13,10
p29,4816,19,0,7,14,11
p29,4818,18,0,6,15,12
p29,4819,17,0,5,16,13
p29,4820,17,0,3,16,13
p29,4821,16,0,2,17,14
p29,4822,15,0,2,18,15
p29,4823,14,0,2,19,15
p29,4824,13,0,2,19,16
p29,4829,13,0,2,19,15
p29,4830,13,0,1,19,16
p29,4835,13,0,0,19,16
p29,4841,13,0,0,18,14
p29,4842,13,0,0,17,14
p29,4843,13,0,0,16,13
p29,4844,13,0,0,15,11
p29,4845,13,0,0,12,8
p29,4846,13,0,0,7,4
p29,4851,13,0,0,7,3
p29,4852,13,0,0,7,4
p29,4853,13,0,0,7,4
p29,4856,12,0,0,8,4
p29,4858,12,0,0,8,5
p29,4859,12,0,0,8,5
p29,4866,11,0,0,9,5
p29,4868,10,0,0,10,5
p29,4869,10,0,0,10,7
p29,4870,9,0,0,11,7
p29,4871,9,0,0,11,8
p29,4876,8,0,0,12,8
p29,4877,8,0,0,12,9
p29,4878,8,0,0,12,9
p29,4879,7,0,0,13,9
p29,4882,6,0,0,14,9
p29,4884,6,0,0,14,11
p29,4892,6,0,0,14,11
p29,4893,6,0,0,14,10
p29,4894,6,0,0,14,11
p29,4901,5,0,0,15,11
p29,4905,5,0,0,15,12
p29,4907,4,0,0,16,13
p29,4931,4,0,0,16,13
p29,4939,4,0,0,16,13
p29,4955,3,0,0,17,14
p29,4956,3,0,0,17,14
p29,4959,2,0,0,18,14
p29,4963,2,0,0,18,15
p29,5013,1,0,0,19,16
p29,5063,0,0,0,20,16
p29,5068,0,0,0,20,17
p29,5082,0,0,0,20,17
p29,5106,0,0,0,20,17
p29,5217,0,0,0,20,17
p29,5315,0,0,0,20,17
p29,5402,30,10,0,20,17
p29,5418,30,10,0,20,16
p29,5419,30,10,0,19,16
p29,5420,30,10,0,18,15
p29,5421,30,10,0,17,14
p29,5422,30,10,0,17,13
p29,5423,30,10,0,16,13
p29,5424,30,10,0,16,12
p29,5425,30,10,0,15,12
p29,5426,30,10,0,14,10
p29,5427,30,10,0,12,8
p29,5428,30,10,0,8,5
