id,t,dTot,dFed,rFed,oFed,sFed
p44,0,0,0,0,20,0
p44,2,60,40,0,18,0
p44,7,60,40,0,0,0
p44,10,60,40,10,0,0
p44,11,60,40,15,0,0
p44,15,60,40,17,0,0
p44,16,60,40,20,0,0
p44,20,60,40,23,0,0
p44,21,60,40,25,0,0
p44,25,60,40,27,0,0
p44,26,60,40,28,0,0
p44,31,60,40,29,0,0
p44,60,60,40,29,0,0
p44,120,60,40,29,0,0
p44,180,60,40,29,0,0
p44,240,60,40,29,0,0
p44,300,60,40,29,0,0
p44,360,60,40,29,0,0
p44,420,60,40,29,0,0
p44,480,60,40,29,0,0
p44,540,60,40,29,0,0
p44,600,60,40,29,0,0
p44,602,60,40,30,0,0
p44,606,60,40,32,0,0
p44,608,60,40,33,0,0
p44,610,60,40,35,0,0
p44,611,60,40,36,0,0
p44,613,60,40,36,0,0
p44,614,60,40,37,0,0
p44,616,60,40,38,0,0
p44,618,60,40,37,0,0
p44,619,60,40,38,0,0
p44,622,60,40,34,0,0
p44,623,60,40,28,0,0
p44,624,60,40,25,0,0
p44,625,60,40,19,0,0
p44,626,60,40,15,0,0
p44,627,60,40,15,0,0
p44,628,60,40,12,0,0
p44,630,60,40,12,0,0
p44,635,60,40,13,0,0
p44,646,60,40,12,0,0
p44,657,60,40,11,0,0
p44,658,60,40,10,0,0
p44,660,60,40,10,0,0
p44,696,60,40,9,0,0
p44,720,60,40,9,0,0
p44,746,60,40,10,0,0
p44,747,60,40,12,0,0
p44,748,60,40,13,0,0
p44,750,60,40,14,0,0
p44,780,60,40,14,0,0
p44,822,60,40,13,0,0
p44,840,60,40,13,0,0
p44,900,60,40,13,0,0
p44,960,60,40,13,0,0
p44,1020,60,40,13,0,0
p44,1080,60,40,13,0,0
p44,1140,60,40,13,0,0
p44,1200,60,40,13,0,0
p44,1207,60,40,14,0,0
p44,1211,60,40,14,0,0
p44,1213,60,40,13,0,0
p44,1214,60,40,11,0,0
p44,1215,60,40,11,0,0
p44,1216,60,40,9,0,0
p44,1217,60,40,9,0,0
p44,1220,60,40,8,0,0
p44,1221,60,40,12,0,0
p44,1222,60,40,12,0,0
p44,1224,60,40,11,0,0
p44,1225,60,40,13,0,0
p44,1226,60,40,15,0,0
p44,1227,60,40,16,0,0
p44,1229,60,40,17,0,0
p44,1231,60,40,18,0,0
p44,1233,60,40,20,0,0
p44,1234,60,40,20,0,0
p44,1235,60,40,20,0,0
p44,1237,60,40,21,0,0
p44,1238,60,40,20,0,0
p44,1239,60,40,21,0,0
p44,1240,60,40,22,0,0
p44,1241,60,40,21,0,0
p44,1242,60,40,19,0,0
p44,1243,60,40,18,0,0
p44,1244,60,40,12,0,0
p44,1246,60,40,11,0,0
p44,1249,60,40,9,0,0
p44,1260,60,40,10,0,0
p44,1262,60,40,11,0,0
p44,1264,60,40,12,0,0
p44,1267,60,40,13,0,0
p44,1268,60,40,12,0,0
p44,1269,60,40,14,0,0
p44,1273,60,40,14,0,0
p44,1274,60,40,15,0,0
p44,1278,60,40,15,0,0
p44,1280,60,40,16,0,0
p44,1282,60,40,15,0,0
p44,1283,60,40,16,0,0
p44,1286,60,40,17,0,0
p44,1287,60,40,16,0,0
p44,1296,60,40,15,0,0
p44,1297,60,40,16,0,0
p44,1302,60,40,15,0,0
p44,1304,60,40,16,0,0
