id,t,dTot,dFed,rFed,oFed,sFed
p36,0,0,0,0,20,0
p36,6,0,0,0,20,1
p36,11,0,0,0,20,4
p36,16,0,0,0,20,6
p36,21,0,0,0,20,7
p36,26,0,0,0,20,8
p36,31,0,0,0,20,10
p36,600,30,10,0,20,10
p36,601,30,10,0,9,8
p36,602,30,10,0,4,4
p36,603,30,10,0,0,0
p36,606,30,10,2,0,0
p36,607,30,10,3,0,0
p36,608,30,10,8,0,0
p36,618,30,10,10,0,0
p36,1201,19,0,10,11,0
p36,1202,14,0,8,16,0
p36,1203,10,0,7,20,0
p36,1204,10,0,3,17,2
p36,1205,10,0,0,17,2
p36,1208,8,0,0,19,2
p36,1209,7,0,0,13,4
p36,1212,4,0,0,16,4
p36,1213,2,0,0,18,4
p36,1214,2,0,0,18,7
p36,1222,1,0,0,19,7
p36,1223,0,0,0,20,7
p36,1800,30,10,0,20,7
p36,1804,30,10,0,13,5
p36,1805,30,10,0,0,0
p36,1808,30,10,1,0,0
p36,1810,30,10,2,0,0
p36,1811,30,10,5,0,0
p36,1816,30,10,6,0,0
p36,1820,30,10,7,0,0
p36,1821,30,10,9,0,0
p36,1825,30,10,9,0,0
p36,1846,30,10,10,0,0
p36,2400,30,10,8,0,0
p36,2401,30,10,3,0,0
p36,2402,30,10,2,0,0
p36,2403,30,10,1,0,0
p36,2404,23,3,2,7,0
p36,2405,10,0,2,20,0
p36,2407,10,0,2,15,9
p36,2411,9,0,2,16,9
p36,2412,8,0,2,14,11
p36,2414,6,0,0,14,11
p36,2417,6,0,0,14,12
p36,2422,4,0,0,16,12
p36,2426,3,0,0,17,12
p36,2432,2,0,0,18,12
p36,2437,1,0,0,19,12
p36,2447,0,0,0,20,12
p36,3000,30,10,0,20,12
p36,3002,30,10,0,9,8
p36,3003,30,10,0,0,0
p36,3004,30,10,1,0,0
p36,3006,30,10,2,0,0
p36,3007,30,10,6,0,0
p36,3009,30,10,7,0,0
p36,3014,30,10,8,0,0
p36,3017,30,10,9,0,0
p36,3019,30,10,10,0,0
p36,3601,30,10,9,0,0
p36,3602,19,0,4,11,0
p36,3603,10,0,4,20,0
p36,3604,9,0,0,16,2
p36,3605,9,0,0,11,5
p36,3609,4,0,0,16,5
p36,3610,3,0,0,17,8
p36,3614,2,0,0,18,8
p36,3615,2,0,0,18,10
p36,3619,1,0,0,19,10
p36,3620,0,0,0,20,11
p36,4200,30,10,0,20,11
p36,4205,30,10,0,0,0
p36,4206,30,10,3,0,0
p36,4207,30,10,5,0,0
p36,4208,30,10,6,0,0
p36,4209,30,10,7,0,0
p36,4214,30,10,8,0,0
p36,4217,30,10,9,0,0
p36,4224,30,10,10,0,0
p36,4802,30,10,6,0,0
p36,4803,30,10,3,0,0
p36,4804,30,10,0,0,0
p36,4805,10,0,0,10,4
p36,4809,6,0,0,14,4
p36,4810,5,0,0,15,4
p36,4815,2,0,0,18,9
p36,4819,1,0,0,19,9
p36,4820,1,0,0,19,10
p36,4825,0,0,0,20,10
p36,5400,30,10,0,1,0
p36,5401,30,10,1,0,0
p36,5403,30,10,3,0,0
p36,5404,30,10,7,0,0
p36,5405,30,10,8,0,0
p36,5409,30,10,10,0,0
p36,6000,11,0,10,19,0
p36,6001,9,0,9,20,0
p36,6003,7,0,7,20,0
p36,6004,3,0,2,20,0
p36,6005,2,0,0,20,0
p36,6006,2,0,0,18,3
p36,6010,1,0,0,19,3
p36,6011,0,0,0,20,5
p36,6016,0,0,0,20,6
p36,6021,0,0,0,20,7
p36,6600,30,10,0,20,7
p36,6601,30,10,0,5,4
p36,6602,30,10,0,0,0
p36,6604,30,10,1,0,0
p36,6605,30,10,2,0,0
p36,6606,30,10,4,0,0
p36,6607,30,10,6,0,0
p36,6616,30,10,8,0,0
p36,6617,30,10,10,0,0
p36,7201,15,0,7,15,0
p36,7202,10,0,3,20,0
p36,7203,10,0,2,13,1
p36,7204,9,0,1,13,1
p36,7205,8,0,0,13,1
p36,7207,6,0,0,15,0
p36,7208,4,0,0,16,2
p36,7213,4,0,0,16,3
p36,7217,2,0,0,18,3
p36,7218,1,0,0,19,5
p36,7222,0,0,0,20,5
p36,7800,30,10,0,20,5
p36,7803,30,10,0,0,0
p36,7804,30,10,1,0,0
p36,7806,30,10,2,0,0
p36,7807,30,10,6,0,0
p36,7814,30,10,8,0,0
p36,7817,30,10,10,0,0
p36,8401,30,10,9,0,0
p36,8402,30,10,4,0,0
p36,8403,10,0,3,20,0
p36,8404,10,0,2,17,2
p36,8405,9,0,0,12,3
p36,8409,5,0,0,16,3
p36,8410,4,0,0,16,8
p36,8414,3,0,0,17,8
p36,8415,3,0,0,17,9
p36,8419,0,0,0,20,9
p36,8420,0,0,0,20,13
p36,8425,0,0,0,20,14
p36,9000,30,10,0,20,14
p36,9004,30,10,0,20,13
p36,9005,30,10,0,0,0
p36,9006,30,10,3,0,0
p36,9008,30,10,4,0,0
p36,9010,30,10,8,0,0
p36,9016,30,10,9,0,0
p36,9020,30,10,10,0,0
p36,9600,30,10,8,0,0
p36,9601,30,10,5,0,0
p36,9602,30,10,3,0,0
p36,9603,30,10,0,0,0
p36,9604,30,10,1,0,0
p36,9605,10,0,1,20,0
p36,9606,10,0,1,12,7
p36,9609,9,0,1,13,7
p36,9610,6,0,1,16,7
p36,9611,6,0,1,15,8
p36,9614,5,0,0,15,8
p36,9616,3,0,0,17,9
p36,9620,2,0,0,18,9
p36,9621,1,0,0,19,9
p36,9626,0,0,0,20,10
p36,10200,30,10,0,20,10
p36,10201,30,10,0,7,6
p36,10202,30,10,0,0,0
p36,10203,30,10,1,0,0
p36,10204,30,10,3,0,0
p36,10205,30,10,7,0,0
p36,10209,30,10,10,0,0
p36,10800,30,10,9,0,0
p36,10801,17,0,9,13,0
p36,10802,10,0,9,19,1
p36,10803,9,0,8,19,1
p36,10804,8,0,7,19,1
p36,10805,4,0,0,19,1
