id,t,dTot,dFed,rFed,oFed,sFed
p33,0,0,0,0,20,0
p33,10,0,0,0,20,1
p33,15,0,0,0,20,4
p33,20,0,0,0,20,8
p33,25,0,0,0,20,11
p33,30,0,0,0,20,13
p33,35,0,0,0,20,14
p33,40,0,0,0,20,18
p33,50,0,0,0,20,19
p33,65,0,0,0,20,20
p33,600,40,20,0,20,20
p33,601,40,20,0,14,14
p33,602,40,20,0,5,4
p33,603,40,20,0,0,0
p33,606,40,20,1,0,0
p33,607,40,20,0,0,0
p33,610,40,20,1,0,0
p33,613,40,20,0,0,0
p33,615,40,20,0,0,0
p33,616,40,20,3,0,0
p33,617,40,20,3,0,0
p33,618,40,20,5,0,0
p33,620,40,20,6,0,0
p33,621,40,20,5,0,0
p33,622,40,20,3,0,0
p33,623,40,20,6,0,0
p33,624,40,20,7,0,0
p33,630,40,20,8,0,0
p33,631,40,20,8,0,0
p33,633,40,20,9,0,0
p33,634,40,20,8,0,0
p33,636,40,20,10,0,0
p33,638,40,20,11,0,0
p33,639,40,20,12,0,0
p33,642,40,20,13,0,0
p33,643,40,20,14,0,0
p33,644,40,20,16,0,0
p33,645,40,20,17,0,0
p33,646,40,20,18,0,0
p33,647,40,20,17,0,0
p33,648,40,20,18,0,0
p33,649,40,20,17,0,0
p33,653,40,20,18,0,0
p33,654,40,20,19,0,0
p33,663,40,20,18,0,0
p33,666,40,20,16,0,0
p33,668,40,20,17,0,0
p33,672,40,20,18,0,0
p33,676,40,20,17,0,0
p33,694,40,20,17,0,0
p33,696,40,20,18,0,0
p33,697,40,20,17,0,0
p33,699,40,20,17,0,0
p33,700,40,20,18,0,0
p33,702,40,20,19,0,0
p33,707,40,20,18,0,0
p33,708,40,20,19,0,0
p33,715,40,20,18,0,0
p33,718,40,20,19,0,0
p33,724,40,20,20,0,0
p33,740,40,20,19,0,0
p33,741,40,20,18,0,0
p33,767,40,20,19,0,0
p33,775,40,20,18,0,0
p33,782,40,20,19,0,0
p33,799,40,20,20,0,0
p33,802,40,20,19,0,0
p33,823,40,20,20,0,0
p33,1008,40,20,19,0,0
p33,1019,40,20,20,0,0
p33,1201,34,14,20,6,0
p33,1202,25,5,19,15,0
p33,1203,20,0,15,20,0
