id,t,dTot,dFed,rFed,oFed,sFed
p33,0,0,0,0,20,0
p33,6,0,0,0,20,1
p33,11,0,0,0,20,8
p33,16,0,0,0,20,11
p33,21,0,0,0,20,14
p33,26,0,0,0,20,15
p33,31,0,0,0,20,17
p33,36,0,0,0,20,20
p33,60,0,0,0,20,20
p33,120,0,0,0,20,20
p33,180,0,0,0,20,20
p33,240,0,0,0,20,20
p33,300,0,0,0,20,20
p33,360,0,0,0,20,20
p33,420,0,0,0,20,20
p33,480,0,0,0,20,20
p33,540,0,0,0,20,20
p33,600,40,20,0,20,20
p33,602,40,20,0,19,18
p33,603,40,20,0,14,13
p33,604,40,20,0,7,6
p33,605,40,20,0,1,0
p33,606,40,20,0,0,0
p33,608,40,20,2,0,0
p33,609,40,20,1,0,0
p33,610,40,20,2,0,0
p33,611,40,20,6,0,0
p33,612,40,20,7,0,0
p33,615,40,20,5,0,0
p33,617,40,20,3,0,0
p33,619,40,20,6,0,0
p33,620,40,20,5,0,0
p33,624,40,20,8,0,0
p33,625,40,20,11,0,0
p33,626,40,20,12,0,0
p33,628,40,20,13,0,0
p33,629,40,20,16,0,0
p33,630,40,20,15,0,0
p33,635,40,20,14,0,0
p33,636,40,20,12,0,0
p33,639,40,20,13,0,0
p33,640,40,20,14,0,0
p33,641,40,20,13,0,0
p33,642,40,20,14,0,0
p33,643,40,20,16,0,0
p33,648,40,20,18,0,0
p33,649,40,20,18,0,0
p33,652,40,20,19,0,0
p33,653,40,20,20,0,0
p33,660,40,20,19,0,0
p33,666,40,20,20,0,0
p33,672,40,20,19,0,0
p33,683,40,20,18,0,0
p33,685,40,20,18,0,0
p33,693,40,20,19,0,0
p33,694,40,20,20,0,0
p33,708,40,20,19,0,0
p33,709,40,20,18,0,0
p33,713,40,20,19,0,0
p33,720,40,20,19,0,0
p33,721,40,20,20,0,0
p33,734,40,20,19,0,0
p33,747,40,20,20,0,0
p33,752,40,20,19,0,0
p33,759,40,20,20,0,0
p33,780,40,20,20,0,0
p33,840,40,20,20,0,0
p33,879,40,20,19,0,0
p33,891,40,20,20,0,0
p33,900,40,20,20,0,0
p33,960,40,20,20,0,0
p33,1020,40,20,20,0,0
p33,1080,40,20,20,0,0
p33,1129,40,20,19,0,0
p33,1133,40,20,20,0,0
p33,1140,40,20,20,0,0
p33,1200,40,20,20,0,0
p33,1201,40,20,16,0,0
p33,1202,39,19,15,1,0
p33,1203,34,14,15,6,0
p33,1204,28,8,11,12,0
p33,1205,21,1,4,19,0
p33,1206,20,0,2,20,0
p33,1207,20,0,2,8,8
p33,1208,20,0,1,2,0
p33,1210,20,0,0,2,0
p33,1212,19,0,0,3,0
p33,1213,19,0,0,1,1
p33,1214,18,0,0,2,1
p33,1215,17,0,0,3,1
p33,1218,17,0,0,3,3
p33,1220,16,0,0,4,3
p33,1223,16,0,0,4,4
p33,1225,15,0,0,5,4
p33,1226,14,0,0,6,4
p33,1228,14,0,0,6,6
p33,1229,13,0,0,7,6
p33,1230,11,0,0,9,6
p33,1231,10,0,0,10,6
p33,1233,10,0,0,10,10
p33,1234,10,0,0,10,10
p33,1235,8,0,0,12,10
p33,1239,8,0,0,12,12
p33,1240,7,0,0,13,12
p33,1244,7,0,0,13,13
p33,1245,6,0,0,14,13
p33,1246,5,0,0,15,13
p33,1247,4,0,0,16,13
p33,1249,4,0,0,16,16
p33,1252,2,0,0,18,16
p33,1254,2,0,0,18,18
p33,1260,2,0,0,18,18
p33,1264,1,0,0,19,18
p33,1269,1,0,0,19,19
p33,1272,0,0,0,20,19
p33,1274,0,0,0,20,20
p33,1320,0,0,0,20,20
p33,1380,0,0,0,20,20
p33,1440,0,0,0,20,20
p33,1500,0,0,0,20,20
p33,1560,0,0,0,20,20
p33,1620,0,0,0,20,20
p33,1680,0,0,0,20,20
p33,1740,0,0,0,20,20
p33,1800,40,20,0,20,20
p33,1804,40,20,0,20,19
p33,1805,40,20,0,13,12
p33,1806,40,20,0,6,5
p33,1807,40,20,0,0,0
p33,1809,40,20,1,0,0
p33,1810,40,20,1,0,0
p33,1821,40,20,2,0,0
p33,1825,40,20,3,0,0
p33,1826,40,20,8,0,0
p33,1830,40,20,8,0,0
p33,1831,40,20,7,0,0
p33,1833,40,20,8,0,0
p33,1834,40,20,7,0,0
p33,1837,40,20,8,0,0
p33,1838,40,20,9,0,0
p33,1839,40,20,11,0,0
p33,1841,40,20,13,0,0
p33,1844,40,20,12,0,0
p33,1845,40,20,12,0,0
p33,1846,40,20,12,0,0
p33,1847,40,20,13,0,0
p33,1849,40,20,14,0,0
p33,1850,40,20,14,0,0
p33,1851,40,20,14,0,0
p33,1853,40,20,13,0,0
p33,1856,40,20,14,0,0
p33,1860,40,20,15,0,0
p33,1861,40,20,16,0,0
p33,1864,40,20,17,0,0
p33,1865,40,20,18,0,0
p33,1868,40,20,19,0,0
p33,1869,40,20,18,0,0
p33,1870,40,20,19,0,0
p33,1881,40,20,20,0,0
p33,1884,40,20,19,0,0
p33,1891,40,20,18,0,0
p33,1892,40,20,17,0,0
p33,1897,40,20,18,0,0
p33,1901,40,20,19,0,0
p33,1908,40,20,20,0,0
p33,1920,40,20,20,0,0
