id,t,dTot,dFed,rFed,oFed,sFed
p17,0,0,0,0,20,0
p17,1,19,0,0,19,0
p17,2,40,20,0,19,0
p17,6,40,20,0,13,0
p17,7,40,20,0,0,0
p17,10,40,20,7,0,0
p17,12,40,20,8,0,0
p17,17,40,20,9,0,0
p17,20,40,20,11,0,0
p17,22,40,20,12,0,0
p17,25,40,20,15,0,0
p17,35,40,20,16,0,0
p17,45,40,20,17,0,0
p17,62,40,20,18,0,0
p17,76,40,20,19,0,0
p17,175,40,20,20,0,0
p17,401,39,19,20,1,0
p17,406,34,14,20,6,0
p17,407,20,0,20,20,0
p17,410,16,0,16,20,0
p17,411,13,0,13,20,0
p17,412,12,0,12,20,0
p17,417,11,0,11,20,0
p17,420,9,0,9,20,0
p17,422,8,0,8,20,0
p17,425,5,0,5,20,0
p17,435,4,0,4,20,0
p17,445,3,0,3,20,0
p17,462,2,0,2,20,0
p17,476,1,0,1,20,0
p17,575,0,0,0,20,0
p17,604,0,0,0,20,15
p17,609,0,0,0,20,20
p17,614,0,0,0,20,20
p17,615,0,0,0,20,20
p17,620,0,0,0,20,20
p17,625,0,0,0,20,20
p17,630,0,0,0,20,20
p17,635,0,0,0,20,20
p17,645,0,0,0,20,20
p17,655,0,0,0,20,20
p17,665,0,0,0,20,20
p17,675,0,0,0,20,20
p17,705,0,0,0,20,20
p17,715,0,0,0,20,20
p17,720,0,0,0,20,20
p17,730,0,0,0,20,20
p17,745,0,0,0,20,20
p17,760,0,0,0,20,20
p17,875,0,0,0,20,20
p17,930,0,0,0,20,20
p17,945,0,0,0,20,20
p17,1004,0,0,0,20,16
p17,1009,0,0,0,20,15
p17,1010,0,0,0,20,14
p17,1015,0,0,0,20,13
p17,1019,0,0,0,20,11
p17,1020,0,0,0,20,10
p17,1025,0,0,0,20,6
p17,1029,0,0,0,20,5
p17,1030,0,0,0,20,4
p17,1035,0,0,0,20,3
p17,1045,0,0,0,20,1
p17,1070,0,0,0,20,0
p17,1201,40,20,0,20,0
p17,1205,40,20,0,0,0
p17,1206,40,20,2,0,0
p17,1207,40,20,4,0,0
p17,1208,40,20,7,0,0
p17,1209,40,20,12,0,0
p17,1211,40,20,13,0,0
p17,1212,40,20,14,0,0
p17,1214,40,20,14,0,0
p17,1216,40,20,16,0,0
p17,1218,40,20,17,0,0
p17,1223,40,20,17,0,0
p17,1228,40,20,16,0,0
p17,1229,40,20,17,0,0
p17,1233,40,20,16,0,0
p17,1234,40,20,16,0,0
p17,1239,40,20,17,0,0
p17,1246,40,20,16,0,0
p17,1253,40,20,17,0,0
p17,1259,40,20,19,0,0
p17,1268,40,20,20,0,0
p17,1394,40,20,19,0,0
p17,1417,40,20,20,0,0
p17,1605,20,0,20,20,0
p17,1606,18,0,18,20,0
p17,1607,16,0,16,20,0
p17,1608,15,0,15,20,0
p17,1609,11,0,11,20,0
p17,1611,10,0,10,20,0
p17,1612,9,0,9,20,0
p17,1614,7,0,7,20,0
p17,1616,6,0,6,20,0
p17,1619,5,0,5,20,0
p17,1623,3,0,3,20,0
p17,1659,2,0,2,20,0
p17,1663,1,0,1,20,0
p17,1667,0,0,0,20,0
p17,1806,0,0,0,20,20
p17,1811,0,0,0,20,20
p17,1816,0,0,0,20,20
p17,1826,0,0,0,20,20
p17,1831,0,0,0,20,20
p17,1836,0,0,0,20,20
p17,1841,0,0,0,20,20
p17,1846,0,0,0,20,20
p17,1856,0,0,0,20,20
p17,1871,0,0,0,20,20
p17,1886,0,0,0,20,20
p17,1891,0,0,0,20,20
p17,1911,0,0,0,20,20
p17,1956,0,0,0,20,20
p17,1961,0,0,0,20,20
p17,2076,0,0,0,20,20
p17,2206,0,0,0,20,14
p17,2211,0,0,0,20,12
p17,2216,0,0,0,20,7
p17,2221,0,0,0,20,5
p17,2226,0,0,0,20,3
p17,2231,0,0,0,20,2
p17,2251,0,0,0,20,1
p17,2266,0,0,0,20,0
p17,2400,40,20,0,20,0
p17,2401,40,20,0,0,0
p17,2402,40,20,3,0,0
p17,2403,40,20,5,0,0
p17,2404,40,20,9,0,0
p17,2405,40,20,12,0,0
p17,2406,40,20,13,0,0
p17,2409,40,20,15,0,0
p17,2411,40,20,16,0,0
p17,2413,40,20,17,0,0
p17,2419,40,20,20,0,0
p17,2461,40,20,19,0,0
p17,2465,40,20,20,0,0
p17,2466,40,20,19,0,0
p17,2474,40,20,20,0,0
p17,2479,40,20,19,0,0
p17,2490,40,20,20,0,0
p17,2524,40,20,19,0,0
p17,2543,40,20,20,0,0
p17,2801,20,0,20,20,0
p17,2802,17,0,17,20,1
p17,2803,15,0,15,20,1
p17,2804,14,0,14,20,1
p17,2805,10,0,10,20,1
p17,2809,8,0,8,20,1
p17,2813,7,0,7,20,1
p17,2814,5,0,5,20,1
p17,2815,4,0,4,20,1
p17,2819,1,0,1,20,1
p17,2823,0,0,0,20,1
p17,2862,0,0,0,20,0
p17,3002,0,0,0,20,4
p17,3007,0,0,0,20,20
p17,3012,0,0,0,20,20
p17,3017,0,0,0,20,20
p17,3022,0,0,0,20,20
p17,3027,0,0,0,20,20
p17,3032,0,0,0,20,20
p17,3037,0,0,0,20,20
p17,3042,0,0,0,20,20
p17,3087,0,0,0,20,20
p17,3102,0,0,0,20,20
p17,3122,0,0,0,20,20
p17,3127,0,0,0,20,20
p17,3192,0,0,0,20,20
