id,t,dTot,dFed,rFed,oFed,sFed
p3,0,0,0,0,20,0
p3,5,40,20,0,0,0
p3,6,40,20,1,0,0
p3,10,40,20,5,0,0
p3,11,40,20,6,0,0
p3,12,40,20,7,0,0
p3,15,40,20,8,0,0
p3,17,40,20,9,0,0
p3,20,40,20,11,0,0
p3,22,40,20,12,0,0
p3,25,40,20,13,0,0
p3,27,40,20,15,0,0
p3,32,40,20,16,0,0
p3,36,40,20,18,0,0
p3,50,40,20,19,0,0
p3,56,40,20,20,0,0
p3,60,40,20,20,0,0
p3,120,40,20,20,0,0
p3,180,40,20,20,0,0
p3,240,40,20,20,0,0
p3,300,40,20,20,0,0
p3,360,40,20,20,0,0
p3,400,38,18,20,2,0
p3,405,20,0,20,20,0
p3,406,19,0,19,20,0
p3,410,17,0,17,20,0
p3,411,14,0,14,20,0
p3,412,13,0,13,20,0
p3,415,12,0,12,20,0
p3,417,11,0,11,20,0
p3,420,9,0,9,20,0
p3,422,8,0,8,20,0
p3,425,7,0,7,20,0
p3,427,5,0,5,20,0
p3,432,4,0,4,20,0
p3,436,2,0,2,20,0
p3,450,1,0,1,20,0
p3,456,0,0,0,20,0
p3,480,0,0,0,20,0
p3,540,0,0,0,20,0
p3,600,0,0,0,20,0
p3,603,0,0,0,20,8
p3,608,0,0,0,20,9
p3,613,0,0,0,20,10
p3,618,0,0,0,20,11
p3,623,0,0,0,20,13
p3,628,0,0,0,20,15
p3,638,0,0,0,20,17
p3,643,0,0,0,20,19
p3,648,0,0,0,20,20
p3,653,0,0,0,20,20
p3,658,0,0,0,20,20
p3,660,0,0,0,20,20
p3,668,0,0,0,20,20
p3,673,0,0,0,20,20
p3,708,0,0,0,20,20
p3,713,0,0,0,20,20
p3,720,0,0,0,20,20
p3,743,0,0,0,20,20
p3,748,0,0,0,20,20
p3,763,0,0,0,20,20
p3,780,0,0,0,20,20
p3,783,0,0,0,20,20
p3,788,0,0,0,20,20
p3,840,0,0,0,20,20
p3,868,0,0,0,20,20
p3,900,0,0,0,20,20
p3,960,0,0,0,20,20
p3,1003,0,0,0,20,15
p3,1008,0,0,0,20,14
p3,1013,0,0,0,20,13
p3,1018,0,0,0,20,9
p3,1020,0,0,0,20,9
p3,1023,0,0,0,20,7
p3,1028,0,0,0,20,3
p3,1033,0,0,0,20,2
p3,1043,0,0,0,20,1
p3,1058,0,0,0,20,0
p3,1080,0,0,0,20,0
p3,1140,0,0,0,20,0
p3,1200,40,20,0,20,0
p3,1204,40,20,0,0,0
p3,1205,40,20,0,0,0
p3,1206,40,20,1,0,0
p3,1207,40,20,5,0,0
p3,1208,40,20,10,0,0
p3,1209,40,20,12,0,0
p3,1211,40,20,13,0,0
p3,1213,40,20,16,0,0
p3,1217,40,20,17,0,0
p3,1218,40,20,19,0,0
p3,1229,40,20,20,0,0
p3,1260,40,20,20,0,0
p3,1288,40,20,19,0,0
p3,1320,40,20,19,0,0
p3,1332,40,20,20,0,0
p3,1380,40,20,20,0,0
p3,1388,40,20,19,0,0
p3,1394,40,20,20,0,0
p3,1440,40,20,20,0,0
p3,1500,40,20,20,0,0
p3,1560,40,20,20,0,0
p3,1604,20,0,20,20,0
p3,1606,19,0,19,20,0
p3,1607,15,0,15,20,0
p3,1608,10,0,10,20,0
p3,1609,8,0,8,20,0
p3,1611,7,0,7,20,0
p3,1613,5,0,5,20,0
p3,1617,4,0,4,20,0
p3,1618,3,0,3,20,0
p3,1619,2,0,2,20,0
p3,1620,2,0,2,20,0
p3,1629,1,0,1,20,0
p3,1662,0,0,0,20,0
p3,1680,0,0,0,20,0
p3,1740,0,0,0,20,0
p3,1800,0,0,0,20,0
p3,1804,0,0,0,20,9
p3,1809,0,0,0,20,15
p3,1814,0,0,0,20,17
p3,1819,0,0,0,20,20
p3,1850,0,0,0,20,20
p3,1860,0,0,0,20,20
p3,1865,0,0,0,20,20
p3,1880,0,0,0,20,20
p3,1885,0,0,0,20,20
p3,1920,0,0,0,20,20
p3,1925,0,0,0,20,20
p3,1945,0,0,0,20,20
p3,1980,0,0,0,20,20
p3,2005,0,0,0,20,20
p3,2040,0,0,0,20,20
p3,2050,0,0,0,20,20
p3,2065,0,0,0,20,20
p3,2095,0,0,0,20,20
p3,2100,0,0,0,20,20
p3,2160,0,0,0,20,20
p3,2204,0,0,0,20,15
p3,2209,0,0,0,20,12
p3,2214,0,0,0,20,10
p3,2219,0,0,0,20,8
p3,2220,0,0,0,20,8
p3,2224,0,0,0,20,7
p3,2229,0,0,0,20,4
p3,2234,0,0,0,20,3
p3,2235,0,0,0,20,2
p3,2249,0,0,0,20,0
p3,2280,0,0,0,20,0
p3,2340,0,0,0,20,0
p3,2400,40,20,0,20,0
p3,2405,40,20,4,0,0
p3,2409,40,20,10,0,0
p3,2410,40,20,12,0,0
p3,2413,40,20,14,0,0
