id,t,dTot,dFed,rFed,oFed,sFed
p2,0,0,0,0,20,0
p2,5,40,20,3,0,0
p2,7,40,20,3,0,0
p2,10,40,20,8,0,0
p2,12,40,20,10,0,0
p2,15,40,20,12,0,0
p2,20,40,20,16,0,0
p2,45,40,20,17,0,0
p2,60,40,20,17,0,0
p2,70,40,20,18,0,0
p2,96,40,20,19,0,0
p2,101,40,20,20,0,0
p2,120,40,20,20,0,0
p2,180,40,20,20,0,0
p2,240,40,20,20,0,0
p2,300,40,20,20,0,0
p2,360,40,20,20,0,0
p2,400,38,18,20,2,0
p2,405,17,0,17,20,0
p2,410,12,0,12,20,0
p2,412,10,0,10,20,0
p2,415,8,0,8,20,0
p2,420,4,0,4,20,0
p2,445,3,0,3,20,0
p2,470,2,0,2,20,0
p2,480,2,0,2,20,0
p2,496,1,0,1,20,0
p2,501,0,0,0,20,0
p2,540,0,0,0,20,0
p2,600,0,0,0,20,0
p2,602,0,0,0,20,9
p2,607,0,0,0,20,18
p2,612,0,0,0,20,20
p2,617,0,0,0,20,20
p2,622,0,0,0,20,20
p2,627,0,0,0,20,20
p2,637,0,0,0,20,20
p2,647,0,0,0,20,20
p2,652,0,0,0,20,20
p2,657,0,0,0,20,20
p2,660,0,0,0,20,20
p2,662,0,0,0,20,20
p2,692,0,0,0,20,20
p2,712,0,0,0,20,20
p2,720,0,0,0,20,20
p2,777,0,0,0,20,20
p2,780,0,0,0,20,20
p2,840,0,0,0,20,20
p2,900,0,0,0,20,20
p2,953,0,0,0,20,20
p2,960,0,0,0,20,20
p2,1002,0,0,0,20,17
p2,1007,0,0,0,20,15
p2,1012,0,0,0,20,9
p2,1017,0,0,0,20,7
p2,1020,0,0,0,20,7
p2,1022,0,0,0,20,5
p2,1027,0,0,0,20,4
p2,1037,0,0,0,20,2
p2,1042,0,0,0,20,1
p2,1052,0,0,0,20,0
p2,1080,0,0,0,20,0
p2,1140,0,0,0,20,0
p2,1200,40,20,0,20,0
