id,t,dTot,dFed,rFed,oFed,sFed
p8,0,0,0,0,13,0
p8,141,1,0,0,12,0
p8,148,0,0,0,13,0
p8,207,18,5,0,13,0
p8,212,19,6,0,13,0
p8,231,19,6,0,0,0
p8,234,18,5,0,1,0
p8,237,19,6,0,1,0
p8,238,16,3,0,4,0
p8,242,16,3,1,4,0
p8,243,16,3,6,4,0
p8,250,15,2,6,5,0
p8,251,13,0,5,6,0
p8,256,12,0,5,7,0
p8,257,11,0,4,7,0
p8,258,10,0,3,7,0
p8,261,10,0,3,6,0
p8,263,9,0,2,6,0
p8,266,8,0,2,7,0
p8,281,7,0,2,8,0
p8,282,6,0,2,9,0
p8,285,5,0,2,10,0
p8,292,4,0,2,11,0
p8,301,3,0,2,12,0
p8,321,3,0,2,12,1
p8,324,3,0,2,12,0
p8,333,3,0,1,12,0
p8,346,2,0,0,12,0
p8,351,2,0,0,11,0
p8,360,1,0,0,12,0
p8,375,4,0,0,12,0
p8,381,4,0,0,9,0
p8,382,3,0,0,10,0
p8,387,2,0,0,11,0
p8,390,1,0,0,12,0
p8,400,2,0,0,12,0
p8,401,1,0,0,13,0
p8,411,1,0,0,12,0
p8,453,3,0,0,12,0
p8,460,2,0,0,13,0
p8,471,2,0,0,11,0
p8,493,1,0,0,12,0
p8,613,5,0,0,12,0
p8,621,5,0,0,8,0
p8,625,3,0,0,10,0
p8,690,2,0,0,11,0
p8,706,1,0,0,12,0
p8,729,2,0,0,12,0
p8,741,2,0,0,11,0
p8,836,1,0,0,12,0
p8,837,3,0,0,12,0
p8,839,4,0,0,12,0
p8,861,4,0,0,9,0
p8,865,3,0,0,10,0
p8,909,2,0,0,11,0
p8,930,1,0,0,12,0
p8,1097,0,0,0,13,0
p8,1551,0,0,0,13,1
p8,1629,1,0,0,13,1
p8,1641,1,0,0,12,1
p8,1701,1,0,0,12,2
p8,1762,1,0,0,12,1
p8,1846,0,0,0,13,1
p8,1906,1,0,0,13,1
p8,1910,3,0,0,13,1
p8,1913,3,0,0,10,1
p8,1919,2,0,0,11,1
p8,1931,1,0,0,12,1
p8,1940,0,0,0,13,1
p8,2127,23,10,0,13,1
p8,2154,23,10,0,0,0
p8,2157,23,10,1,0,0
p8,2161,21,8,1,2,0
p8,2162,20,7,1,3,0
p8,2163,19,6,1,4,0
p8,2164,16,3,1,7,0
p8,2165,15,2,0,7,0
p8,2169,15,2,1,7,0
p8,2172,15,2,2,7,0
p8,2176,15,2,3,7,0
p8,2181,14,1,3,8,0
p8,2183,13,0,3,9,0
p8,2184,13,0,3,6,0
p8,2185,12,0,2,5,0
p8,2189,10,0,1,6,0
p8,2193,9,0,1,7,0
p8,2206,8,0,1,8,0
p8,2210,7,0,1,9,0
p8,2211,6,0,1,10,0
p8,2215,6,0,1,8,0
p8,2228,6,0,1,9,0
p8,2229,5,0,0,9,0
p8,2230,4,0,0,10,0
p8,2241,3,0,0,11,0
p8,2245,3,0,0,10,0
p8,2282,2,0,0,11,0
p8,2324,1,0,0,12,0
p8,2394,0,0,0,13,0
p8,2426,0,0,0,13,1
p8,2435,0,0,0,13,0
p8,2792,31,18,0,13,0
p8,2817,31,18,0,1,0
p8,2819,30,17,0,2,0
p8,2821,28,15,0,4,0
p8,2823,27,14,0,5,0
p8,2824,26,13,0,6,0
p8,2825,26,13,1,6,0
p8,2826,25,12,0,7,0
p8,2831,25,12,1,7,0
p8,2833,25,12,2,7,0
p8,2836,24,11,2,7,0
p8,2837,23,10,2,8,0
p8,2839,21,8,2,9,0
p8,2847,21,8,2,2,1
p8,2848,21,8,2,1,0
p8,2852,20,7,2,2,0
p8,2853,19,6,2,3,0
p8,2854,17,4,1,4,0
p8,2857,16,3,1,5,0
p8,2863,16,3,2,5,0
p8,2864,16,3,3,5,0
p8,2865,16,3,2,5,0
p8,2872,15,2,2,6,0
p8,2876,14,1,1,6,0
p8,2878,14,1,1,1,0
p8,2881,13,0,1,2,0
p8,2882,12,0,1,3,0
p8,2885,11,0,1,4,0
p8,2889,10,0,1,5,0
p8,2891,11,0,1,5,0
p8,2908,11,0,1,3,0
p8,2916,10,0,1,4,0
p8,2924,9,0,1,5,0
p8,2925,10,0,1,5,0
p8,2926,9,0,1,6,0
p8,2938,9,0,1,5,0
p8,2940,8,0,1,6,0
p8,2942,7,0,1,7,0
p8,2977,6,0,0,7,0
p8,2986,15,2,0,7,0
p8,2998,15,2,0,1,0
p8,3001,13,0,0,3,0
p8,3002,12,0,0,4,0
p8,3005,11,0,0,5,0
p8,3006,10,0,0,6,0
p8,3007,9,0,0,7,0
p8,3013,8,0,0,8,0
p8,3028,8,0,0,7,0
p8,3034,7,0,0,8,0
p8,3036,6,0,0,9,0
p8,3040,5,0,0,10,0
p8,3045,5,0,1,10,0
p8,3048,4,0,0,10,0
p8,3058,4,0,0,9,0
p8,3088,5,0,0,9,0
p8,3089,5,0,0,8,0
p8,3092,4,0,0,9,0
p8,3109,3,0,0,10,0
p8,3114,2,0,0,11,0
p8,3196,2,0,0,12,0
p8,3209,2,0,0,11,0
p8,3334,12,0,0,11,0
p8,3360,12,0,0,3,1
p8,3364,11,0,0,3,0
p8,3365,10,0,0,4,0
p8,3367,9,0,0,5,0
p8,3368,8,0,0,6,0
p8,3369,7,0,0,7,0
p8,3371,5,0,0,9,0
p8,3375,4,0,0,10,0
p8,3384,3,0,0,11,0
p8,3390,3,0,0,10,0
p8,3419,2,0,0,11,0
p8,3492,4,0,0,11,0
p8,3510,4,0,0,9,0
p8,3520,3,0,0,10,0
p8,3524,2,0,0,11,0
p8,3567,1,0,0,12,0
p8,3630,2,0,0,12,0
p8,3631,2,0,0,11,0
p8,3633,1,0,0,12,0
p8,3662,2,0,0,12,0
p8,3691,2,0,0,11,0
p8,3701,1,0,0,12,0
p8,3757,2,0,0,12,0
p8,3782,2,0,0,11,0
p8,3788,1,0,0,12,0
p8,3802,5,0,0,12,0
p8,3812,5,0,0,8,0
p8,3817,4,0,0,9,0
p8,3827,2,0,0,11,0
p8,3831,1,0,0,12,0
p8,3893,2,0,0,12,0
p8,3902,2,0,0,11,1
p8,3908,1,0,0,12,1
p8,4053,1,0,0,12,2
p8,4079,0,0,0,13,2
p8,4284,0,0,0,13,1
p8,4340,1,0,0,13,1
p8,4354,1,0,0,12,1
p8,4385,0,0,0,13,1
p8,4397,3,0,0,13,1
p8,4413,4,0,0,13,1
p8,4416,4,0,0,9,1
p8,4423,3,0,0,10,1
p8,4426,2,0,0,11,1
p8,4432,1,0,0,12,1
p8,4513,3,0,0,12,1
p8,4536,3,0,0,10,1
p8,4540,2,0,0,11,1
p8,4560,1,0,0,12,1
p8,4561,0,0,0,13,1
p8,4627,3,0,0,13,1
p8,4657,3,0,0,10,1
p8,4663,2,0,0,11,1
p8,4689,1,0,0,12,1
p8,4694,0,0,0,13,1
p8,4754,1,0,0,13,1
p8,4778,1,0,0,12,1
p8,4811,0,0,0,13,1
p8,4839,0,0,0,13,2
p8,4869,0,0,0,13,3
p8,4893,3,0,0,13,3
p8,4899,3,0,0,10,3
p8,4907,2,0,0,11,3
p8,4930,1,0,0,12,3
p8,4950,0,0,0,13,3
p8,4969,0,0,0,13,2
p8,5110,1,0,0,13,2
p8,5112,1,0,0,12,2
p8,5118,0,0,0,13,2
p8,5142,0,0,0,13,3
p8,5549,1,0,0,13,3
p8,5564,1,0,0,12,3
