id,t,dTot,dFed,rFed,oFed,sFed
p44,0,0,0,0,13,0
p44,282,0,0,0,13,1
p44,342,0,0,0,13,2
p44,345,0,0,0,13,1
p44,630,1,0,0,13,1
p44,642,1,0,0,12,1
p44,652,3,0,0,12,1
p44,672,3,0,0,10,1
p44,695,2,0,0,11,1
p44,801,1,0,0,12,1
p44,852,1,0,0,12,2
p44,882,1,0,0,12,1
p44,945,2,0,0,12,1
p44,957,1,0,0,13,1
p44,972,1,0,0,12,1
p44,1002,1,0,0,12,2
p44,1022,1,0,0,12,1
p44,1023,2,0,0,12,1
p44,1032,2,0,0,11,1
p44,1083,1,0,0,12,1
p44,1102,2,0,0,12,1
p44,1108,4,0,0,12,1
p44,1122,4,0,0,9,1
p44,1143,3,0,0,10,1
p44,1152,3,0,0,10,2
p44,1212,3,0,0,10,3
p44,1213,3,0,0,10,2
p44,1338,3,0,0,10,1
p44,1345,3,0,0,10,0
p44,1392,3,0,0,10,2
p44,1407,3,0,0,10,1
p44,1482,3,0,0,10,2
p44,1506,5,0,0,10,2
p44,1512,5,0,0,8,2
p44,1599,20,7,0,8,2
p44,1602,20,7,0,0,0
p44,1607,20,7,1,0,0
p44,1621,19,6,1,1,0
p44,1624,18,5,1,2,0
p44,1625,17,4,2,3,0
p44,1626,17,4,3,3,0
p44,1627,17,4,5,3,0
p44,1628,16,3,7,4,0
p44,1630,15,2,6,4,0
p44,1631,14,1,5,4,0
p44,1635,13,0,4,4,0
p44,1640,12,0,4,5,0
p44,1646,11,0,3,5,0
p44,1657,19,6,2,5,0
p44,1660,18,5,2,6,0
p44,1663,18,5,2,0,0
p44,1667,17,4,3,1,0
p44,1672,16,3,3,2,0
p44,1676,15,2,3,3,0
p44,1677,14,1,3,4,0
p44,1678,13,0,3,5,0
p44,1684,13,0,4,5,0
p44,1690,12,0,4,6,0
p44,1692,12,0,5,6,0
p44,1693,12,0,5,6,1
p44,1704,10,0,4,7,1
p44,1758,9,0,3,7,1
p44,1824,8,0,2,7,1
p44,1830,7,0,2,8,1
p44,1843,7,0,2,8,2
p44,1845,7,0,2,8,1
p44,1846,6,0,2,9,1
p44,1897,6,0,2,9,0
p44,1898,5,0,2,10,0
p44,2016,5,0,1,10,0
p44,2023,5,0,1,9,1
p44,2143,5,0,1,9,3
p44,2154,5,0,1,9,2
p44,2263,5,0,1,9,4
p44,2296,5,0,0,9,4
p44,2300,5,0,0,9,3
p44,2323,5,0,0,8,3
p44,2353,5,0,0,8,5
p44,2363,5,0,0,8,4
p44,2413,5,0,0,8,5
p44,2429,5,0,0,8,4
p44,2434,5,0,0,8,3
p44,2443,5,0,0,8,4
p44,2447,4,0,0,9,4
p44,2449,4,0,0,9,3
p44,2453,4,0,0,9,2
p44,2642,3,0,0,10,2
p44,2687,5,0,0,10,2
p44,2713,5,0,0,8,5
p44,2716,5,0,0,8,3
p44,2733,5,0,0,8,2
p44,2751,4,0,0,9,2
p44,2833,4,0,0,9,4
p44,2834,4,0,0,9,9
p44,2837,4,0,0,9,8
p44,2851,4,0,0,9,7
p44,2862,4,0,0,9,6
p44,2864,4,0,0,9,7
p44,2869,4,0,0,9,6
p44,2883,4,0,0,9,5
p44,2886,4,0,0,9,4
p44,2892,4,0,0,9,3
p44,2895,4,0,0,9,8
p44,2916,4,0,0,9,7
p44,2922,6,0,0,9,7
p44,2925,6,0,0,7,7
p44,2927,6,0,0,7,6
p44,2933,6,0,0,7,5
p44,2953,6,0,0,7,4
p44,2957,6,0,0,7,3
p44,3008,7,0,0,7,3
p44,3014,16,3,0,7,3
p44,3015,16,3,0,2,2
p44,3016,16,3,0,0,0
p44,3017,16,3,1,0,0
p44,3025,16,3,2,0,0
p44,3027,15,2,2,1,0
p44,3033,14,1,2,2,0
p44,3036,12,0,2,4,0
p44,3038,11,0,2,5,0
p44,3049,10,0,2,6,0
p44,3074,11,0,2,6,0
p44,3076,11,0,2,4,0
p44,3081,10,0,1,4,0
p44,3106,10,0,1,4,1
p44,3115,9,0,1,5,1
p44,3123,8,0,0,5,1
p44,3136,8,0,0,5,5
p44,3146,8,0,0,5,4
p44,3147,8,0,0,5,2
p44,3150,8,0,0,5,1
p44,3162,8,0,0,5,0
p44,3166,8,0,0,5,5
p44,3172,7,0,0,6,5
p44,3175,7,0,0,6,4
p44,3182,6,0,0,7,4
p44,3185,6,0,0,7,2
p44,3188,6,0,0,7,1
p44,3196,6,0,0,7,7
p44,3211,6,0,0,7,6
p44,3219,6,0,0,7,5
p44,3220,6,0,0,7,4
p44,3221,6,0,0,7,3
p44,3225,6,0,0,7,2
p44,3226,6,0,0,7,7
p44,3249,6,0,0,7,6
p44,3251,6,0,0,7,5
p44,3253,6,0,0,7,4
p44,3256,6,0,0,7,3
p44,3257,6,0,0,7,7
p44,3266,6,0,0,7,6
p44,3275,6,0,0,7,5
p44,3277,6,0,0,7,3
p44,3287,6,0,0,7,7
p44,3316,6,0,0,7,6
p44,3317,6,0,0,7,7
p44,3324,6,0,0,7,5
p44,3331,6,0,0,7,4
p44,3347,6,0,0,7,7
p44,3350,6,0,0,7,6
p44,3376,6,0,0,7,5
p44,3377,6,0,0,7,7
p44,3382,6,0,0,7,6
p44,3390,6,0,0,7,5
p44,3392,6,0,0,7,4
