SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
10 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
15 200 1 U3 P1 gwa-t1 C1 C4 C1
30 200 1 U3 P1 gwa-t1 C1 C4 C1
